 	l'	argument	que	tu	as	avancé	n'	est	pas	pertinent	</S>
a66	0.231965	0.127024	0.0397428	0.0484623	0.0965701	0.0933107	0.127992	0.123159	0.0498077	0.034264	0.0277021
a87	0.519496	0.239618	0.0519272	0.020419	0.028371	0.0263717	0.0336038	0.0320813	0.0135306	0.0168389	0.0177418
a23	0.374757	0.332614	0.0787925	0.024129	0.0439745	0.0349781	0.0326921	0.0372082	0.0168985	0.0122625	0.0116932
a87	0.246264	0.417191	0.100948	0.0367844	0.0581177	0.0365532	0.0258653	0.02219	0.0144299	0.0169462	0.0247097
a23	0.249038	0.382304	0.102364	0.0314706	0.0578829	0.0427597	0.0322626	0.0309179	0.0185159	0.0218741	0.0306096
a83	0.215276	0.257378	0.0611571	0.0266842	0.0436305	0.0522717	0.0488003	0.055913	0.0586287	0.0860086	0.0942523
a5	0.257832	0.250586	0.0981627	0.0543263	0.0549888	0.0529167	0.044201	0.0419867	0.0380725	0.056235	0.0506924
a23	0.240573	0.249391	0.246667	0.0592504	0.0307681	0.022871	0.0164099	0.0167056	0.0223258	0.0533566	0.0416816
a37	0.213245	0.190445	0.279126	0.0915512	0.0455977	0.027442	0.0169442	0.0172096	0.0246787	0.0516103	0.0421514
a61	0.124046	0.0941206	0.220362	0.171782	0.113913	0.0813425	0.0384745	0.0315996	0.0325603	0.0502217	0.0415777
a12	0.0729452	0.0488283	0.158395	0.181911	0.145288	0.133	0.0645388	0.0519134	0.0435457	0.0543569	0.0452777
a61	0.0431784	0.0310885	0.11668	0.186703	0.162595	0.170783	0.0803908	0.0535499	0.0412252	0.0595723	0.0542335
a75	0.045715	0.0294589	0.105404	0.172648	0.155314	0.181534	0.106203	0.0708832	0.0407848	0.0489619	0.0430916
a37	0.0185537	0.0138335	0.0747304	0.168506	0.170832	0.18115	0.112943	0.0834582	0.0512752	0.062134	0.0625845
a93	0.0150288	0.00912073	0.0389307	0.133045	0.192149	0.241153	0.141023	0.0785213	0.0378568	0.0533408	0.0598303
a13	0.0176864	0.0109142	0.0362898	0.101297	0.1622	0.218467	0.170375	0.109469	0.047068	0.0645131	0.0617204
a53	0.0132998	0.0084686	0.0277115	0.0797181	0.158007	0.205213	0.176428	0.126598	0.0555608	0.0736384	0.0753564
a90	0.0122204	0.00678272	0.0195083	0.0601154	0.125634	0.166896	0.172726	0.157974	0.0958946	0.0914868	0.0907619
a4	0.0063501	0.00410472	0.0130739	0.043773	0.107796	0.148415	0.185254	0.17726	0.113256	0.0998027	0.100914
a54	0.00514754	0.00346496	0.00987009	0.0332662	0.079274	0.109648	0.157468	0.184303	0.145179	0.120788	0.151591
a47	0.003204	0.00282426	0.00791825	0.029787	0.0586297	0.0738857	0.0984912	0.137834	0.161652	0.179243	0.246531
a36	0.00204065	0.00188032	0.00592096	0.0207587	0.0455541	0.0450854	0.056287	0.0856246	0.139337	0.228372	0.36914
a2	0.00423385	0.00428199	0.00671092	0.014312	0.0338894	0.0238044	0.0420155	0.090739	0.12777	0.27536	0.376882
a57	0.00917466	0.00763051	0.011394	0.0180205	0.0324194	0.0220861	0.0328438	0.0738408	0.106309	0.289877	0.396405
a87	0.0167019	0.0121984	0.0159376	0.0217385	0.0324707	0.023494	0.0331787	0.0750108	0.127591	0.273473	0.368205
a23	0.0290377	0.0201569	0.0168221	0.0184364	0.0211907	0.0223076	0.0342355	0.0789671	0.174949	0.29164	0.292257
a87	0.00768537	0.00740171	0.0109655	0.00934359	0.0057414	0.0073612	0.012667	0.0424047	0.23747	0.342862	0.316098
</S>	0.0147829	0.0170021	0.0293052	0.0254596	0.0146029	0.0163585	0.0182046	0.0334538	0.170136	0.347426	0.313268
