 	on	ne	danse	pas	en	suivant	les	pas	des	autres	</S>
a66	0.316463	0.216263	0.0901481	0.0536867	0.0716673	0.0762116	0.0646203	0.0456859	0.0271428	0.0199586	0.0181526
a87	0.480923	0.32811	0.083712	0.0256214	0.0156843	0.0135212	0.0111032	0.0099499	0.0086748	0.0105818	0.0121185
a23	0.399812	0.232573	0.0917974	0.0469556	0.0348807	0.0438996	0.031669	0.0260807	0.0259877	0.0301191	0.0362254
a40	0.268284	0.159499	0.0805193	0.0415047	0.0362506	0.0462333	0.0399105	0.042784	0.0629678	0.0955683	0.126479
a36	0.371751	0.23051	0.0931152	0.0427981	0.0388108	0.0520941	0.0463609	0.0384235	0.0300557	0.0274741	0.028607
a37	0.252561	0.292011	0.192044	0.0706498	0.038138	0.0298367	0.0218597	0.0220202	0.0253162	0.0256848	0.0298796
a96	0.194279	0.232765	0.252736	0.132894	0.0695333	0.03721	0.020671	0.0160773	0.0148406	0.0135212	0.0154736
a75	0.0946177	0.118687	0.220228	0.206049	0.137333	0.080649	0.0431457	0.0296081	0.0242227	0.0215782	0.0238816
a85	0.0573891	0.0981155	0.208987	0.211316	0.141333	0.0808768	0.0511759	0.038144	0.034894	0.0363572	0.041412
a6	0.0665738	0.109179	0.185991	0.166308	0.115987	0.0864189	0.0769474	0.0645269	0.0464871	0.0402875	0.0412932
a36	0.0707086	0.095275	0.169841	0.209799	0.166907	0.0960749	0.0546453	0.0346179	0.0297888	0.0345503	0.037792
a18	0.0362339	0.0444659	0.0762435	0.168719	0.207225	0.133477	0.0837079	0.0573195	0.054812	0.0631809	0.0746152
a62	0.0265013	0.0282129	0.0464203	0.115432	0.197428	0.167985	0.112372	0.0719303	0.0653633	0.0769323	0.0914227
a47	0.0239659	0.0249021	0.0377303	0.0685674	0.131384	0.175689	0.170619	0.129797	0.0878939	0.0730897	0.0763614
a75	0.0249058	0.0264571	0.0409987	0.0716656	0.122568	0.175476	0.179272	0.128157	0.0847222	0.0709732	0.0748027
a96	0.00451556	0.00454045	0.00798041	0.0223052	0.0597037	0.108518	0.150173	0.162202	0.165544	0.153613	0.160904
a94	0.0062988	0.00616596	0.00839178	0.0176764	0.0448187	0.0951538	0.169919	0.185969	0.158796	0.148903	0.157907
a93	0.00496342	0.00417493	0.0044141	0.0102236	0.0273517	0.0621613	0.127222	0.181369	0.186271	0.190181	0.201668
a4	0.00320477	0.00275053	0.00310208	0.00687539	0.018212	0.0452125	0.10214	0.169365	0.21617	0.224782	0.208185
a70	0.00155598	0.00127019	0.00142263	0.00387215	0.011406	0.0299254	0.0723965	0.1391	0.223445	0.269886	0.245721
a34	0.000793585	0.000667237	0.000803371	0.00222381	0.00603118	0.0167465	0.0428994	0.0947189	0.202742	0.322171	0.310203
a93	0.000294833	0.000257158	0.000343808	0.00104703	0.00327527	0.0098407	0.0283623	0.0699903	0.17764	0.333689	0.375259
a4	0.000405292	0.000329563	0.000354552	0.000971616	0.00273258	0.00814753	0.0214123	0.0515989	0.143981	0.328606	0.441461
a62	0.000417348	0.000335285	0.000331337	0.00115896	0.00340994	0.00965359	0.0237034	0.0537276	0.152255	0.326413	0.428595
a75	0.000291785	0.00025798	0.000326449	0.00108103	0.00272112	0.00662011	0.0160037	0.040733	0.131824	0.329967	0.470173
a5	0.000127449	0.000112916	0.000130304	0.000528669	0.00206384	0.00652961	0.0158775	0.0366621	0.120838	0.325708	0.491421
a36	0.000249955	0.000202072	0.00023627	0.000830574	0.00207528	0.00468277	0.0120294	0.0332537	0.127957	0.328815	0.489668
a54	0.000609846	0.000506558	0.000569643	0.00152518	0.00358023	0.00778534	0.0168093	0.0388031	0.135372	0.333768	0.460671
a36	0.000214188	0.000191636	0.000254224	0.000722111	0.00169474	0.00415283	0.0107719	0.027497	0.105081	0.331455	0.517966
a2	0.00194535	0.0017585	0.00179329	0.00325858	0.0049456	0.00996317	0.027312	0.0689628	0.185976	0.311152	0.382933
a57	0.0904896	0.0627398	0.0478328	0.0571064	0.0597034	0.0602098	0.0850448	0.118338	0.136445	0.132292	0.149798
a87	0.33035	0.175267	0.0752101	0.0463725	0.0335988	0.0261321	0.0329838	0.048549	0.0662473	0.0774773	0.0878115
a23	0.312933	0.203282	0.0903789	0.0468347	0.0302413	0.0193878	0.0232927	0.0362873	0.0538304	0.0803549	0.103178
a99	0.118339	0.0805877	0.0436033	0.0301159	0.0245726	0.021247	0.0387023	0.0746411	0.137043	0.20798	0.223169
</S>	0.0840071	0.0492015	0.0240111	0.0166714	0.0172242	0.0251629	0.0470914	0.0803562	0.152811	0.239304	0.264159
