 	les	ailes	de	la	libellule	sont	transparentes	</S>
a23	0.207038	0.182771	0.148995	0.172924	0.118769	0.0620291	0.0568169	0.0506579
a87	0.159232	0.111184	0.0800149	0.11421	0.114532	0.0964895	0.153776	0.170562
a23	0.109435	0.0942451	0.0797708	0.121653	0.137509	0.117622	0.142674	0.197091
a10	0.0961089	0.0892994	0.0657004	0.106016	0.159348	0.122371	0.15086	0.210296
a87	0.114442	0.131686	0.087323	0.0793651	0.150985	0.115869	0.155408	0.164921
a10	0.122725	0.129895	0.0886523	0.0891093	0.13442	0.116537	0.143892	0.174768
a87	0.143644	0.135968	0.0834722	0.0933513	0.149534	0.105879	0.130132	0.158019
a23	0.169426	0.170942	0.123697	0.116094	0.118322	0.0761575	0.0947265	0.130636
a10	0.14787	0.161454	0.086376	0.0716839	0.149269	0.107993	0.132117	0.143237
a11	0.249505	0.204382	0.102662	0.088372	0.115754	0.0563091	0.079671	0.103344
a54	0.321203	0.226257	0.122179	0.094459	0.108678	0.0409575	0.0400877	0.0461783
a30	0.241528	0.199591	0.135965	0.14337	0.168694	0.0495994	0.0367397	0.0245116
a35	0.195753	0.201975	0.161	0.160139	0.151545	0.0558436	0.0397055	0.0340395
a30	0.171969	0.193682	0.158539	0.143944	0.166456	0.0840204	0.0505362	0.0308529
a41	0.10501	0.157084	0.178528	0.171306	0.167641	0.100621	0.0709083	0.0489019
a14	0.12925	0.181034	0.189321	0.184723	0.14969	0.0762478	0.0586379	0.0310969
a35	0.104767	0.197468	0.205864	0.168012	0.134847	0.0751976	0.0721221	0.0417222
a66	0.0636426	0.146423	0.205524	0.186427	0.155157	0.0868005	0.0970613	0.0589651
a38	0.0288883	0.0709911	0.124103	0.167398	0.199654	0.136941	0.168283	0.103742
a94	0.0332336	0.0881224	0.160083	0.173888	0.159207	0.127608	0.159154	0.0987033
a35	0.0545883	0.135523	0.194593	0.180101	0.133917	0.0905797	0.126359	0.0843391
a66	0.0212719	0.0633013	0.121917	0.151642	0.131773	0.115887	0.226874	0.167333
a20	0.00930009	0.0314308	0.0789867	0.119359	0.142338	0.152818	0.27094	0.194827
a73	0.0189634	0.0578399	0.106826	0.118478	0.0964625	0.117403	0.262269	0.221758
a44	0.0141146	0.0362176	0.0602244	0.0801839	0.0932933	0.122648	0.297335	0.295983
a57	0.0101091	0.0247878	0.033177	0.044175	0.0822376	0.13068	0.33018	0.344653
a20	0.0020584	0.00543326	0.0111943	0.0297216	0.0747453	0.147738	0.340129	0.38898
a90	0.00506177	0.0107687	0.0160342	0.0298579	0.0796116	0.142494	0.347611	0.368561
a76	0.0100954	0.0250091	0.0325034	0.0390552	0.077216	0.142097	0.334515	0.339509
a94	0.016496	0.0293781	0.033311	0.0280906	0.0351339	0.0891294	0.280134	0.488327
a98	0.00360971	0.00856205	0.0120054	0.0153894	0.0336675	0.103228	0.309801	0.513737
a76	0.00584674	0.0112253	0.0147476	0.0135143	0.0257041	0.0765989	0.270356	0.582007
a20	0.00660622	0.0111473	0.0140407	0.0120927	0.0169767	0.0686162	0.264277	0.606243
a84	0.00846954	0.0147121	0.0172636	0.0191643	0.0342952	0.0814648	0.266385	0.558245
a87	0.00197155	0.00355098	0.00504582	0.00870402	0.0208945	0.0826474	0.373127	0.504059
a23	0.00218461	0.00432607	0.00345801	0.00262241	0.00771977	0.0751526	0.358427	0.54611
a12	0.00631732	0.0126772	0.00816867	0.00464023	0.0140427	0.0924521	0.282374	0.579328
a98	0.00809469	0.00837166	0.00590229	0.00485118	0.0141163	0.0676266	0.300701	0.590337
a38	0.00216467	0.00220457	0.00212588	0.00234085	0.0083027	0.0568793	0.307578	0.618404
a26	0.000846859	0.00113177	0.00145725	0.00163331	0.00537848	0.0475786	0.267364	0.674609
a98	0.000408478	0.000691288	0.000971774	0.00124942	0.00414955	0.0410756	0.256293	0.695161
a4	0.000787021	0.00110381	0.00204938	0.0030539	0.0109988	0.0714801	0.290931	0.619596
a93	0.00156087	0.00230153	0.00330727	0.00411627	0.00971796	0.0489272	0.270222	0.659847
a4	0.00126174	0.0018831	0.00273807	0.00445874	0.0114383	0.0578551	0.277962	0.642403
a13	0.00177254	0.00243625	0.00320456	0.00491912	0.0134049	0.0608702	0.294042	0.61935
a9	0.00254996	0.00312757	0.00415682	0.00634584	0.015165	0.065596	0.307988	0.595071
a87	0.00384083	0.00762966	0.0081318	0.00638916	0.0147087	0.084989	0.349858	0.524453
a23	0.00337296	0.00637834	0.00532997	0.00393924	0.0136824	0.0988907	0.339073	0.529333
a87	0.0123389	0.0218917	0.0128934	0.00706311	0.0301544	0.141239	0.279753	0.494666
</S>	0.00497378	0.0128078	0.0103198	0.00570982	0.0253926	0.119078	0.281217	0.540501
