 	ma	femme	a	acheté	une	houe	chez	le	forgeron	</S>
a66	0.274217	0.230996	0.169705	0.104908	0.064739	0.0520307	0.0349781	0.0268561	0.0225812	0.0189894
a87	0.436347	0.294046	0.146002	0.0539016	0.0182016	0.0122041	0.00937027	0.00932584	0.00980243	0.0107992
a23	0.397995	0.231566	0.132987	0.0814955	0.0377586	0.0256301	0.0176395	0.0171504	0.0270042	0.0307738
a99	0.352324	0.190058	0.118833	0.101017	0.0666323	0.0498228	0.0303528	0.0237232	0.0280028	0.0392343
a40	0.25057	0.189908	0.157858	0.120076	0.0628738	0.0354748	0.0341011	0.0360291	0.0461562	0.0669528
a7	0.239223	0.24555	0.242886	0.140749	0.0615117	0.0249718	0.0156952	0.00987983	0.0080808	0.0114517
a79	0.187971	0.225023	0.242724	0.164472	0.0847358	0.0345929	0.0196283	0.0123887	0.0106513	0.0178131
a15	0.151162	0.206444	0.250902	0.185046	0.0994292	0.0465504	0.0251061	0.0133376	0.00956562	0.012458
a0	0.113668	0.172327	0.216763	0.175489	0.113444	0.0747737	0.051226	0.0316923	0.0238077	0.0268099
a54	0.0810428	0.1128	0.138257	0.129536	0.105365	0.090744	0.076788	0.06907	0.081638	0.11476
a56	0.0417987	0.0638769	0.104885	0.133021	0.144272	0.13201	0.120516	0.0907278	0.0779645	0.0909277
a0	0.0646207	0.0755691	0.0938136	0.119942	0.132707	0.137429	0.114748	0.0853392	0.0820791	0.0937521
a90	0.0467644	0.0508839	0.0610512	0.088735	0.127968	0.164813	0.150667	0.114499	0.0936961	0.100922
a93	0.0217873	0.0263299	0.0419455	0.0811745	0.134598	0.166468	0.162236	0.138627	0.122682	0.104152
a70	0.0216403	0.0230734	0.0327812	0.0644465	0.127659	0.180955	0.185942	0.147103	0.115516	0.100884
a90	0.0107501	0.0105246	0.0147539	0.0326194	0.0927599	0.180514	0.215459	0.180174	0.138138	0.124307
a79	0.00786738	0.00897669	0.0158352	0.0373664	0.0926019	0.159041	0.194679	0.178488	0.166326	0.138818
a69	0.00637752	0.00695865	0.0126741	0.0317546	0.0846391	0.149662	0.189811	0.175254	0.181636	0.161233
a32	0.00313949	0.00301566	0.00496226	0.0123804	0.0396514	0.0912174	0.178102	0.217593	0.231929	0.218009
a75	0.00240911	0.00219652	0.00335362	0.00741458	0.0219475	0.0541374	0.138969	0.199692	0.26575	0.30413
a47	0.00115669	0.00123755	0.00229793	0.00631381	0.0219492	0.0585791	0.129148	0.181847	0.259533	0.337937
a6	0.000319926	0.000373584	0.000874608	0.00312653	0.0141586	0.0422332	0.105038	0.185549	0.290781	0.357546
a92	0.000430088	0.000413849	0.000816225	0.00228439	0.00930834	0.0247695	0.0780917	0.159423	0.309673	0.41479
a56	0.000544467	0.000491338	0.000822941	0.00190308	0.00691686	0.0208461	0.066468	0.147847	0.321473	0.432687
a96	0.000747143	0.000689273	0.00104728	0.00201535	0.00616906	0.0180688	0.06568	0.154921	0.313301	0.437361
a18	0.000943804	0.000855376	0.00133904	0.00237099	0.00572543	0.0114061	0.0400428	0.117832	0.289351	0.530134
a4	0.00126944	0.00123715	0.00230089	0.00430182	0.00858352	0.0111474	0.0299664	0.103944	0.314196	0.523054
a13	0.000617332	0.000635526	0.00125722	0.00255545	0.00564637	0.00736461	0.0234749	0.0869798	0.301543	0.569926
a57	0.000953863	0.000955042	0.00170901	0.0032246	0.00693633	0.00990102	0.0282488	0.100565	0.317513	0.529993
a13	0.0128047	0.00941111	0.0101012	0.0125233	0.0178091	0.0248994	0.0445197	0.114466	0.309534	0.443931
a57	0.00956989	0.00715905	0.00833086	0.0121252	0.0189664	0.0287857	0.0498461	0.116001	0.295345	0.453871
a82	0.0581038	0.0285296	0.0202509	0.0207872	0.0247466	0.0368828	0.0581836	0.128697	0.277647	0.346171
a57	0.120393	0.0584405	0.0306597	0.0238941	0.0236032	0.0360424	0.0563293	0.120418	0.24292	0.287299
a87	0.10608	0.0664952	0.038405	0.0267119	0.0225736	0.0376523	0.0635558	0.128715	0.239432	0.270379
a23	0.0817883	0.0575927	0.0401003	0.0322109	0.0311881	0.059183	0.0933957	0.148955	0.228658	0.226928
a87	0.0604481	0.0360146	0.0277635	0.0287182	0.0327265	0.0509338	0.0950236	0.132173	0.2185	0.317699
</S>	0.0404892	0.027632	0.0251597	0.0320784	0.0460242	0.065617	0.094853	0.119003	0.209414	0.33973
