 	il	viendra	après	demain	</S>
a85	0.393995	0.337153	0.125027	0.0725305	0.0712947
a87	0.311795	0.192062	0.154652	0.16939	0.172101
a10	0.480513	0.23536	0.105602	0.0932848	0.0852401
a87	0.324791	0.212585	0.143589	0.134855	0.184181
a23	0.332908	0.23689	0.177165	0.134449	0.118589
a20	0.264397	0.218632	0.110794	0.169758	0.236419
a41	0.386559	0.239341	0.143966	0.11575	0.114383
a73	0.341796	0.289761	0.193624	0.103394	0.0714248
a94	0.374597	0.302715	0.160484	0.0851532	0.077051
a90	0.301256	0.288069	0.189082	0.110395	0.111198
a94	0.263561	0.308546	0.209749	0.117695	0.100449
a24	0.172964	0.236029	0.226947	0.190547	0.173513
a18	0.107643	0.117934	0.180631	0.259188	0.334604
a66	0.109239	0.0955935	0.128546	0.248764	0.417857
a24	0.141925	0.101807	0.110497	0.21595	0.429821
a21	0.0703129	0.0594616	0.088414	0.235642	0.546169
a41	0.0544035	0.0642861	0.113634	0.277988	0.489689
a24	0.0147959	0.031451	0.0770128	0.276837	0.599904
a32	0.0169602	0.0324668	0.0576753	0.207226	0.685672
a24	0.0295087	0.0568951	0.072096	0.203058	0.638442
a9	0.0176229	0.0331531	0.0562133	0.193348	0.699663
a87	0.0296343	0.0536519	0.0526617	0.165546	0.698506
</S>	0.0851833	0.0763457	0.0494159	0.179212	0.609843
