 	j'	ai	eu	une	forte	émotion	</S>
a66	0.409008	0.281025	0.151128	0.0617894	0.0354019	0.0289986	0.0326496
a87	0.424941	0.241518	0.130561	0.0684577	0.0648376	0.0456465	0.0240384
a23	0.45595	0.287991	0.119514	0.0447935	0.0354961	0.0363352	0.0199209
a99	0.469609	0.291037	0.117078	0.0444038	0.0302041	0.0268942	0.0207739
a30	0.347398	0.192953	0.131286	0.0812367	0.0843092	0.0965545	0.066262
a4	0.257922	0.192122	0.173452	0.114825	0.112236	0.0987029	0.0507402
a44	0.0909351	0.150981	0.256585	0.237914	0.17926	0.0623941	0.0219305
a93	0.0499277	0.0940068	0.189147	0.275481	0.25586	0.102817	0.0327604
a94	0.0483512	0.0733655	0.125732	0.219029	0.278421	0.185729	0.0693723
a4	0.0645785	0.0800544	0.102595	0.149478	0.228493	0.258271	0.11653
a93	0.0724147	0.069573	0.0660961	0.0919336	0.17284	0.32904	0.198102
a4	0.0316267	0.0261275	0.0240113	0.0419981	0.114648	0.421005	0.340583
a11	0.016743	0.0135543	0.0130036	0.0273597	0.0824187	0.410095	0.436825
a62	0.00428073	0.00269977	0.00197037	0.004425	0.0237207	0.266654	0.69625
a47	0.0042375	0.00267292	0.00226163	0.00498122	0.0180883	0.202049	0.765709
a62	0.0137525	0.0103393	0.00998807	0.0150259	0.0386942	0.222683	0.689517
a88	0.00519018	0.00341368	0.00318158	0.00582391	0.017332	0.189128	0.775931
a71	0.00472099	0.00329547	0.00337349	0.00618377	0.0225654	0.201202	0.758659
a9	0.0582268	0.0342454	0.0228588	0.023637	0.0507834	0.239566	0.570683
a10	0.33454	0.168133	0.0753008	0.0416905	0.0531259	0.119006	0.208204
a9	0.340686	0.19265	0.0769341	0.0311119	0.0450098	0.118635	0.194973
a10	0.300369	0.180114	0.079634	0.0385971	0.0600155	0.129868	0.211402
a87	0.197031	0.149557	0.0994197	0.0588918	0.0765715	0.144883	0.273646
a23	0.172816	0.129391	0.0883338	0.0538462	0.069837	0.150544	0.335232
a87	0.198417	0.110729	0.0506101	0.0262952	0.0352101	0.123525	0.455214
</S>	0.0613275	0.0294222	0.0157803	0.0176269	0.0345421	0.177274	0.664027
