 	la	soupe	du	poulet	est	alléchante	</S>
a66	0.340106	0.302344	0.146899	0.105278	0.0688336	0.0227772	0.0137622
a87	0.364468	0.265694	0.139894	0.126276	0.0620646	0.0228047	0.0187989
a23	0.603228	0.211003	0.0825502	0.0465915	0.023968	0.0151123	0.0175468
a10	0.534356	0.209606	0.114067	0.0772205	0.0281704	0.0157825	0.0207983
a83	0.483163	0.188657	0.130313	0.11268	0.0450411	0.0217761	0.0183696
a13	0.316565	0.204432	0.150839	0.109058	0.0841147	0.0686898	0.0663008
a44	0.194331	0.233118	0.247275	0.169338	0.0865818	0.042034	0.0273228
a36	0.120346	0.185504	0.274153	0.208323	0.119612	0.057831	0.0342322
a37	0.108225	0.145002	0.223429	0.193237	0.134187	0.111587	0.0843325
a18	0.116769	0.151114	0.233695	0.172679	0.106564	0.112795	0.106385
a11	0.128144	0.131428	0.222089	0.162817	0.0911959	0.113079	0.151247
a96	0.10691	0.0957921	0.179113	0.16521	0.109572	0.144797	0.198606
a0	0.0660013	0.0749892	0.1436	0.179723	0.165645	0.172154	0.197887
a93	0.053497	0.0490657	0.0977676	0.151161	0.198427	0.21144	0.238642
a13	0.0439472	0.0455011	0.0689257	0.101265	0.230684	0.254101	0.255576
a83	0.0215138	0.0169715	0.027763	0.0481312	0.196701	0.333061	0.355859
a9	0.0190422	0.0175458	0.0260448	0.0417476	0.170877	0.341703	0.383039
a50	0.0556069	0.0306866	0.031204	0.0368613	0.138005	0.299412	0.408225
a83	0.053796	0.0282037	0.0219867	0.0218159	0.104034	0.318481	0.451683
a36	0.00683365	0.00391105	0.00455934	0.00839815	0.067279	0.322342	0.586677
a37	0.00544167	0.00363695	0.00355529	0.00553454	0.0368689	0.258679	0.686284
a26	0.00786562	0.00485092	0.00434384	0.00543753	0.0298207	0.232443	0.715238
a40	0.101375	0.0605099	0.0358827	0.0295369	0.0604064	0.216202	0.496087
a36	0.00388819	0.00158291	0.00212677	0.0040823	0.0308144	0.259501	0.698004
a37	0.00393227	0.00185641	0.00213052	0.00347029	0.0182373	0.16931	0.801063
a26	0.0099666	0.00498133	0.00525487	0.00698464	0.0224333	0.167956	0.782423
a30	0.135361	0.0506703	0.0269814	0.0218907	0.0362278	0.149143	0.579725
a57	0.478632	0.155562	0.0536172	0.0327799	0.0324812	0.0714981	0.17543
a87	0.374052	0.150743	0.0670872	0.0422919	0.0412544	0.101645	0.222926
a23	0.311088	0.151478	0.0844364	0.0693197	0.0742317	0.125106	0.18434
a3	0.267183	0.0939915	0.0475499	0.0341409	0.0573868	0.145852	0.353896
a97	0.146905	0.0539994	0.0388143	0.0453155	0.0800985	0.158416	0.476451
a30	0.217819	0.0966803	0.0771182	0.0942863	0.0984159	0.125431	0.290249
</S>	0.231882	0.0932437	0.0806643	0.0986269	0.0978694	0.116807	0.280907
