 	j'	en	ai	assez	de	ton	mauvais	comportement	</S>
a66	0.170973	0.108438	0.0831556	0.130279	0.201262	0.141803	0.100719	0.0359417	0.0274284
a97	0.173162	0.125025	0.112975	0.11613	0.104403	0.0894328	0.105813	0.0865711	0.0864882
a87	0.35997	0.221523	0.139998	0.0837602	0.0562513	0.04489	0.0388882	0.026833	0.0278866
a97	0.367871	0.234599	0.14595	0.085551	0.0508255	0.0359374	0.0312383	0.0237875	0.0242403
a87	0.348064	0.239016	0.145999	0.0887286	0.0523853	0.0365883	0.0320086	0.0282097	0.0290001
a97	0.357194	0.237651	0.136472	0.0801983	0.0509811	0.0402029	0.0360698	0.0309146	0.0303169
a87	0.369265	0.224772	0.13051	0.0763822	0.0513118	0.0408201	0.0408965	0.0348199	0.0312223
a3	0.323785	0.207963	0.132792	0.0859217	0.0610346	0.0508286	0.0491932	0.0457409	0.0427415
a99	0.3704	0.226193	0.140297	0.0747968	0.046477	0.0375825	0.0355013	0.0344578	0.0342948
a83	0.404417	0.214354	0.119554	0.0617751	0.0468942	0.0408899	0.0415992	0.0367966	0.0337198
a70	0.249342	0.199886	0.1559	0.11547	0.0797737	0.0538747	0.0520464	0.0411667	0.052541
a24	0.205931	0.211066	0.205858	0.150525	0.0786539	0.0415322	0.0421239	0.0299368	0.0343733
a61	0.189553	0.209293	0.207117	0.150134	0.0797845	0.0421411	0.0442637	0.034052	0.0436617
a34	0.142414	0.181723	0.222271	0.169192	0.0879954	0.0467957	0.0520424	0.0445332	0.0530333
a93	0.11387	0.158907	0.205944	0.170321	0.0910375	0.0509001	0.0611953	0.0649711	0.0828532
a96	0.0989136	0.148642	0.20068	0.186428	0.110394	0.05794	0.0667712	0.0600814	0.070151
a44	0.108535	0.143966	0.182098	0.172634	0.112196	0.0672731	0.0720644	0.0650128	0.076221
a54	0.0775338	0.0982331	0.132185	0.156865	0.136677	0.107212	0.113594	0.0852818	0.0924185
a98	0.0405958	0.0577217	0.0849262	0.139255	0.15187	0.145232	0.153747	0.118034	0.108619
a44	0.0535094	0.0737486	0.0903351	0.144793	0.182825	0.160949	0.147558	0.0811146	0.0651677
a7	0.0315272	0.0395497	0.0528133	0.100495	0.151774	0.173163	0.170077	0.132394	0.148206
a15	0.0156791	0.0175409	0.0196506	0.0382919	0.0735733	0.153448	0.176782	0.195351	0.309683
a79	0.0139442	0.0141195	0.0159962	0.0278228	0.0524944	0.125304	0.163792	0.211254	0.375272
a44	0.0150694	0.0141245	0.0161263	0.0258687	0.0529259	0.137979	0.19197	0.238436	0.307501
a93	0.00655625	0.00605048	0.00620167	0.0107942	0.0287709	0.107914	0.17444	0.269289	0.389984
a4	0.00571607	0.00561204	0.00561428	0.0104362	0.0270716	0.0989059	0.165882	0.282049	0.398713
a75	0.00264782	0.00268396	0.00278809	0.00480758	0.0116034	0.0529326	0.113156	0.299445	0.509936
a41	0.00110201	0.00128435	0.00156792	0.00289826	0.00709761	0.0375646	0.0855554	0.295893	0.567037
a37	0.000861525	0.000860216	0.000951177	0.00149603	0.00312653	0.017477	0.046498	0.24	0.688729
a96	0.000829167	0.000756394	0.000750808	0.00102036	0.00192256	0.0101256	0.0337047	0.21047	0.74042
a44	0.00101539	0.000928565	0.000943572	0.00133251	0.00256789	0.0121849	0.0371965	0.213182	0.730648
a13	0.00122941	0.00113607	0.0012909	0.00192406	0.00340721	0.0136206	0.0390898	0.209365	0.728937
a26	0.00515866	0.00413621	0.00393807	0.00439698	0.00627941	0.0194701	0.0399943	0.221873	0.694754
a38	0.0426865	0.0270982	0.0203046	0.0198134	0.0192522	0.0340995	0.0497193	0.186048	0.600978
a82	0.0612907	0.040777	0.0340482	0.0316679	0.0277119	0.0350415	0.0497824	0.175123	0.544557
a3	0.13989	0.087	0.0573589	0.0491941	0.0391242	0.0454819	0.0582568	0.162814	0.36088
a97	0.147464	0.10776	0.0820605	0.0636336	0.0460668	0.0484469	0.0632787	0.145391	0.295899
a3	0.123769	0.0876245	0.0673157	0.0546235	0.0516376	0.0806715	0.0996888	0.161718	0.272951
a87	0.104228	0.0791995	0.067841	0.0623208	0.0701361	0.104956	0.111631	0.154416	0.245272
</S>	0.0982938	0.0770617	0.0682539	0.0679085	0.084177	0.117487	0.116328	0.147551	0.22294
