 	celui-ci	est	l'	assesseur	de	notre	village	</S>
a66	0.358135	0.237261	0.137557	0.0921006	0.0675217	0.0480514	0.0305629	0.02881
a87	0.392052	0.221036	0.125318	0.0793771	0.0645293	0.0476572	0.0329147	0.0371167
a97	0.336395	0.225598	0.163211	0.105672	0.0627855	0.0343284	0.0320697	0.039941
a87	0.275547	0.250431	0.190405	0.127797	0.0543652	0.0299597	0.0301321	0.0413621
a97	0.309039	0.259342	0.187295	0.113571	0.0476035	0.0259906	0.0249634	0.0321938
a30	0.323116	0.256976	0.177043	0.106762	0.046572	0.0256418	0.026865	0.0370248
a53	0.359481	0.284492	0.19877	0.0896598	0.0305299	0.0123493	0.0112767	0.0134427
a93	0.404484	0.267252	0.174744	0.0746153	0.0291455	0.017013	0.0156348	0.0171115
a44	0.202415	0.220629	0.215845	0.17179	0.0815237	0.0474569	0.0328014	0.0275386
a4	0.149318	0.189097	0.197152	0.181215	0.105179	0.075939	0.055619	0.0464813
a93	0.113539	0.175773	0.181156	0.182407	0.115854	0.09564	0.0731978	0.0624328
a56	0.0886379	0.150119	0.159327	0.168243	0.124592	0.11496	0.100266	0.093856
a92	0.0875763	0.146875	0.155702	0.167742	0.131763	0.119612	0.100574	0.0901559
a75	0.0715246	0.114888	0.119071	0.134179	0.138121	0.149352	0.141453	0.131412
a6	0.0550146	0.0749826	0.0804339	0.0974233	0.141101	0.180471	0.189131	0.181442
a15	0.0362441	0.0593049	0.0821364	0.125232	0.168895	0.189341	0.174153	0.164694
a7	0.0260133	0.0410914	0.0647707	0.106256	0.162997	0.211451	0.200577	0.186844
a15	0.00420966	0.00602098	0.0141248	0.0350374	0.101187	0.185025	0.297379	0.357016
a79	0.00174766	0.00229435	0.00574515	0.0158876	0.0564632	0.129852	0.309137	0.478873
a7	0.00122774	0.00149448	0.00351718	0.00999441	0.0372656	0.100158	0.305363	0.54098
a94	0.00111454	0.00120281	0.0031071	0.0095881	0.0389415	0.102565	0.319268	0.524213
a32	0.00314667	0.00272901	0.00521079	0.0146419	0.0487548	0.122591	0.299747	0.503179
a0	0.00384235	0.00290647	0.00510133	0.0129739	0.0403917	0.104656	0.268653	0.561475
a9	0.0029411	0.002167	0.00383308	0.009282	0.0316429	0.0935656	0.267395	0.589173
a97	0.0502119	0.029694	0.0236891	0.0321396	0.050547	0.105389	0.258682	0.449648
a99	0.222423	0.146937	0.0956731	0.0835649	0.0845758	0.0945916	0.120599	0.151636
a97	0.103103	0.0671158	0.0471502	0.0494558	0.076042	0.120029	0.215954	0.32115
</S>	0.0399712	0.0290634	0.0251425	0.0329077	0.0633239	0.121109	0.253313	0.435169
