 	les	bananes	sont	mures	</S>
a87	0.244466	0.111536	0.0931021	0.121712	0.429184
a40	0.410953	0.198012	0.146038	0.114546	0.130451
a73	0.278786	0.16114	0.158961	0.182547	0.218566
a44	0.466921	0.213672	0.167572	0.0829733	0.0688614
a84	0.406073	0.221512	0.174216	0.104184	0.0940149
a53	0.314545	0.200195	0.168311	0.141247	0.175702
a76	0.170991	0.148237	0.184744	0.213276	0.282752
a20	0.193619	0.173968	0.213871	0.227326	0.191216
a84	0.145367	0.151732	0.202857	0.256924	0.24312
a14	0.118824	0.122455	0.166932	0.229307	0.362482
a35	0.0771021	0.0875511	0.159115	0.296182	0.38005
a94	0.0632136	0.0884091	0.206805	0.329275	0.312297
a98	0.048543	0.0590735	0.124763	0.315967	0.451653
a71	0.0312978	0.0374098	0.086124	0.300807	0.544362
a38	0.0249374	0.026409	0.0499293	0.202016	0.696708
a21	0.0306932	0.0279933	0.0535083	0.198339	0.689467
a12	0.0541805	0.0494828	0.0747212	0.204724	0.616891
a98	0.0508237	0.047456	0.0729073	0.191465	0.637348
a50	0.0610154	0.0579771	0.0990006	0.203714	0.578293
a98	0.0269837	0.0265053	0.0607203	0.211655	0.674136
a25	0.0434193	0.038876	0.0799879	0.196035	0.641682
a87	0.0245845	0.0209489	0.0456371	0.17334	0.735489
</S>	0.028446	0.0288291	0.0591767	0.165436	0.718112
