 	les	sangliers	ont	été	tués	dans	la	chasse	</S>
a82	0.190007	0.166863	0.144745	0.156656	0.15665	0.0749104	0.058867	0.0305907	0.0207099
a10	0.169256	0.184046	0.174687	0.196456	0.14697	0.0479952	0.0409692	0.0206736	0.0189457
a87	0.239501	0.169055	0.130656	0.162947	0.174312	0.0337441	0.0236087	0.0228581	0.0433178
a10	0.342836	0.245591	0.135847	0.10778	0.0853315	0.0240662	0.0193461	0.0160847	0.0231181
a87	0.396343	0.228837	0.127779	0.1035	0.0798446	0.0202471	0.0154866	0.0116064	0.0163556
a23	0.372159	0.265757	0.137855	0.113195	0.0589234	0.0185764	0.0139732	0.00863036	0.0109303
a57	0.353998	0.200978	0.143053	0.132669	0.0908481	0.029219	0.0190587	0.0128035	0.0173734
a99	0.255711	0.130728	0.12129	0.148025	0.174058	0.0708996	0.0431561	0.0264693	0.0296635
a30	0.156908	0.084839	0.0786885	0.103775	0.193426	0.12291	0.09844	0.0780357	0.0829774
a93	0.0793682	0.0518576	0.0591898	0.0649443	0.139647	0.124898	0.144229	0.170375	0.165491
a54	0.139823	0.0917409	0.0675714	0.0455556	0.0704872	0.0717157	0.0888226	0.185484	0.2388
a36	0.125261	0.0986206	0.0860262	0.0766903	0.088907	0.0759605	0.0828024	0.152113	0.213619
a44	0.0431987	0.0417516	0.0459027	0.0567745	0.0863611	0.082311	0.105015	0.221106	0.317579
a70	0.0228246	0.0241375	0.0315631	0.0504394	0.0883233	0.0802072	0.101782	0.233692	0.36703
a30	0.00732478	0.00831791	0.0150196	0.0361535	0.087763	0.0889261	0.123023	0.254655	0.378816
a93	0.00338627	0.00358781	0.00677104	0.0211826	0.0705623	0.0878313	0.142762	0.282815	0.381102
a70	0.00211827	0.00235148	0.00505058	0.0178816	0.0579401	0.0834861	0.121003	0.270269	0.439901
a13	0.00105186	0.00096146	0.00225145	0.00810846	0.0425129	0.0654368	0.125994	0.274576	0.479107
a99	0.000541536	0.000556012	0.00161064	0.00540292	0.0321281	0.0701473	0.144695	0.25625	0.488669
a9	0.00261486	0.00211038	0.00394295	0.0105209	0.0327284	0.0647179	0.116336	0.225153	0.541875
a3	0.0457352	0.0269789	0.0211055	0.0306973	0.0519845	0.0757085	0.107329	0.187374	0.453087
a87	0.151445	0.0987676	0.0759438	0.0866071	0.0973151	0.0984273	0.114324	0.111684	0.165486
a23	0.119094	0.0996299	0.0918165	0.116462	0.122318	0.110759	0.126994	0.1054	0.107527
a97	0.127056	0.0909092	0.0771456	0.0727817	0.0840918	0.102422	0.128192	0.156634	0.160768
a87	0.150016	0.120969	0.100317	0.0883487	0.0520436	0.0579322	0.0716633	0.146612	0.212098
</S>	0.190725	0.148427	0.129824	0.114545	0.067622	0.0587229	0.0646117	0.100902	0.124621
