 	on	m'	a	offert	une	grappe	de	safous	</S>
a66	0.336706	0.201735	0.113321	0.0866987	0.0751731	0.0879468	0.0422125	0.0304835	0.0257239
a87	0.291419	0.170532	0.130129	0.11609	0.126391	0.0755152	0.0392665	0.0264648	0.0241941
a10	0.338701	0.241334	0.169833	0.0914637	0.046	0.0287263	0.0231187	0.0290196	0.0318023
a87	0.322455	0.270268	0.183341	0.110498	0.0468361	0.0195049	0.0128937	0.0154675	0.0187357
a23	0.325563	0.247051	0.164108	0.10297	0.0591667	0.0309026	0.0210252	0.0228279	0.0263856
a40	0.245658	0.191357	0.142778	0.114673	0.0728467	0.0490749	0.0541502	0.0592447	0.0702168
a14	0.28636	0.231228	0.144727	0.100181	0.066499	0.049046	0.046961	0.0393401	0.0356592
a36	0.253899	0.254086	0.173107	0.134146	0.0723948	0.0387571	0.0327748	0.0199572	0.0208791
a75	0.153352	0.195135	0.178094	0.182892	0.116195	0.0629801	0.0487751	0.0278461	0.0347319
a47	0.128638	0.153982	0.155546	0.160415	0.128144	0.0879117	0.0688328	0.054964	0.0615659
a92	0.0654422	0.0889987	0.115033	0.151877	0.165025	0.134363	0.0894108	0.0890394	0.100812
a56	0.094333	0.118184	0.145477	0.193445	0.167291	0.0915665	0.0577731	0.0609167	0.0710138
a96	0.135415	0.147632	0.169829	0.183917	0.152954	0.0729331	0.034969	0.0449554	0.0573946
a21	0.0881146	0.0937822	0.124598	0.149322	0.177712	0.137713	0.0590266	0.0721247	0.0976067
a85	0.0556662	0.0527285	0.0650778	0.0811245	0.127735	0.214139	0.107037	0.12734	0.169152
a92	0.0132832	0.0141124	0.0185506	0.0285965	0.0519128	0.157371	0.145317	0.22406	0.346797
a21	0.0106967	0.0111327	0.0172653	0.0261797	0.058475	0.192181	0.159917	0.223622	0.300531
a5	0.0139699	0.0137096	0.0190423	0.0277907	0.0551851	0.169854	0.156119	0.229149	0.31518
a43	0.010766	0.0102143	0.012947	0.0172494	0.0387242	0.109254	0.13051	0.259916	0.410419
a75	0.00700119	0.00607325	0.00725423	0.00814734	0.0171665	0.04493	0.0925707	0.34534	0.471517
a85	0.00232701	0.00207576	0.00292345	0.00365802	0.00936651	0.0400478	0.107619	0.297396	0.534587
a47	0.00621493	0.00521829	0.00666231	0.00732366	0.0123839	0.0421064	0.122109	0.31902	0.478961
a36	0.00124122	0.00107781	0.00132441	0.00139525	0.00339603	0.0207402	0.0812736	0.323473	0.566078
a2	0.00811222	0.00701222	0.00770442	0.00839994	0.0154432	0.0495613	0.111339	0.304356	0.488071
a10	0.0444579	0.0316347	0.0299399	0.0317827	0.0594783	0.105742	0.143672	0.244872	0.308421
a87	0.151508	0.0735163	0.0522229	0.0415203	0.0593411	0.0955815	0.110953	0.174154	0.241203
a23	0.266931	0.148287	0.1129	0.0869286	0.0878637	0.0848266	0.0625394	0.0660243	0.0836994
a99	0.132201	0.0729669	0.0633686	0.0406419	0.0397617	0.0589983	0.121355	0.22393	0.246776
a87	0.0342127	0.0193947	0.0170413	0.0107414	0.0116576	0.0316189	0.119318	0.348434	0.407582
</S>	0.0047436	0.00323008	0.00384591	0.00351041	0.00690281	0.0314721	0.117169	0.378504	0.450621
