 	elle	brosse	l'	habit	</S>
a85	0.285482	0.211712	0.141487	0.183343	0.177976
a87	0.196924	0.171127	0.165581	0.210353	0.256014
a23	0.432296	0.240934	0.120599	0.0891903	0.116981
a40	0.487633	0.258414	0.126972	0.056647	0.0703344
a30	0.449409	0.311825	0.143581	0.0576215	0.0375641
a2	0.50941	0.34864	0.0924079	0.0320125	0.0175291
a38	0.398455	0.286653	0.147076	0.0968905	0.0709253
a41	0.414097	0.294322	0.154133	0.086458	0.0509906
a43	0.392162	0.300775	0.160523	0.0946588	0.0518823
a11	0.23598	0.239595	0.230618	0.190797	0.103009
a75	0.256632	0.245115	0.209504	0.179392	0.109357
a35	0.263387	0.225765	0.19938	0.178421	0.133046
a66	0.243565	0.22858	0.216385	0.187761	0.123709
a24	0.127627	0.118194	0.208885	0.297916	0.247378
a38	0.0931109	0.119439	0.183321	0.313213	0.290915
a24	0.0565174	0.0695443	0.172933	0.365852	0.335153
a35	0.0244433	0.0317161	0.0990162	0.337351	0.507474
a76	0.0259668	0.0273758	0.0953109	0.344393	0.506954
a94	0.0118377	0.0163482	0.0772353	0.37731	0.517268
a58	0.0072141	0.0098403	0.0472034	0.271102	0.66464
a40	0.00629747	0.00758863	0.0375946	0.245599	0.70292
a14	0.0160502	0.0189642	0.0767152	0.249397	0.638873
a35	0.0285711	0.0352385	0.0978465	0.269082	0.569261
a75	0.0251483	0.0311676	0.0876372	0.298417	0.55763
a14	0.0132686	0.0203088	0.0718519	0.298776	0.595795
a30	0.0170586	0.0238923	0.0810937	0.25161	0.626345
a2	0.0139105	0.0155419	0.050914	0.191871	0.727763
a57	0.00427557	0.00634837	0.0270137	0.178857	0.783506
a87	0.0141497	0.0135531	0.0376309	0.181882	0.752784
</S>	0.0142404	0.0155983	0.0510769	0.227652	0.691433
