 	de	vous	tous	c'	est	toi	qui	va	rentrer	à	la	maison	</S>
a66	0.264619	0.182714	0.0911371	0.0639919	0.0755571	0.06654	0.0556365	0.0512475	0.0622065	0.0318044	0.0206718	0.016874	0.0170004
a87	0.226092	0.170508	0.112846	0.0876829	0.0860533	0.0691097	0.0546925	0.0481423	0.0505025	0.0285191	0.0204518	0.022768	0.022632
a23	0.286195	0.22142	0.13265	0.084227	0.0915025	0.0574632	0.0408633	0.0279848	0.0235256	0.010009	0.00715772	0.00844556	0.00855593
a10	0.20155	0.17024	0.104485	0.064664	0.0676955	0.0542131	0.0478602	0.0447807	0.0580553	0.0388737	0.0354398	0.051198	0.0609447
a54	0.166689	0.133681	0.0947084	0.057918	0.0580301	0.0473727	0.0446278	0.0504724	0.0745595	0.0613708	0.060214	0.0714003	0.0789564
a92	0.180857	0.153362	0.112342	0.0794595	0.0690663	0.0595834	0.0565486	0.0581349	0.0679001	0.0468207	0.04138	0.0383093	0.036236
a12	0.154574	0.167568	0.149822	0.0891232	0.0658623	0.0602585	0.0565695	0.0603939	0.0674164	0.0419419	0.0327462	0.0288929	0.0248315
a21	0.142316	0.163368	0.157008	0.103466	0.0807671	0.0695271	0.0624351	0.0559202	0.0612243	0.0339116	0.0245287	0.0245709	0.0209569
a85	0.127317	0.132566	0.128447	0.0891896	0.0734264	0.0685589	0.069098	0.063808	0.0728271	0.0557713	0.0416069	0.0418724	0.0355113
a6	0.0309656	0.0398624	0.0601539	0.0651393	0.0735134	0.0801816	0.0998317	0.100916	0.0989571	0.104032	0.0850721	0.0804272	0.0809475
a0	0.0650371	0.0804645	0.109618	0.0958846	0.101624	0.0972516	0.0951774	0.0852513	0.0791296	0.0572344	0.0421638	0.045892	0.0452717
a90	0.0539757	0.0602524	0.087723	0.0929662	0.108928	0.11061	0.109054	0.0981454	0.0869628	0.0622158	0.0431642	0.0431932	0.0428094
a69	0.0349977	0.0374202	0.0491308	0.0664151	0.0923931	0.10514	0.123077	0.120971	0.105541	0.0879032	0.059043	0.0593016	0.0586659
a58	0.0226955	0.0247522	0.0277397	0.0397449	0.0639539	0.0814494	0.114718	0.125283	0.115538	0.114612	0.0891142	0.08861	0.0917887
a82	0.0167349	0.0177562	0.0175483	0.0212809	0.0316887	0.0393595	0.0599503	0.0740218	0.0899921	0.1205	0.142637	0.170587	0.197943
a87	0.0350986	0.0351154	0.0306496	0.0298537	0.0369135	0.0379705	0.0473247	0.048492	0.0540245	0.0746366	0.135783	0.204151	0.229986
a23	0.0652721	0.0522288	0.0402037	0.0397089	0.0426608	0.0410101	0.0479813	0.0465658	0.0534846	0.0727365	0.123812	0.184854	0.189481
a79	0.0141734	0.00995078	0.00921069	0.0148051	0.0213771	0.0297072	0.0469062	0.0620339	0.0873493	0.13235	0.172944	0.201101	0.198092
a58	0.0121514	0.00977753	0.0126928	0.0266334	0.035259	0.0482924	0.075575	0.079043	0.09914	0.11328	0.145368	0.165418	0.177369
a54	0.00184835	0.00169106	0.00257597	0.00603949	0.00839495	0.0146773	0.0283256	0.0372111	0.0587305	0.105749	0.199001	0.27452	0.261236
a5	0.00543598	0.00551898	0.00764782	0.0144313	0.019658	0.0283871	0.0502651	0.0586024	0.0684492	0.115623	0.181036	0.228197	0.216748
a12	0.00247947	0.00213203	0.00222886	0.00383353	0.00547448	0.00849558	0.0155076	0.0215148	0.0316393	0.0786027	0.17776	0.315703	0.334628
a96	0.00255404	0.00210349	0.00226135	0.00396556	0.00580618	0.00917792	0.0179161	0.0257266	0.035594	0.0789333	0.179991	0.294352	0.341619
a21	0.00308723	0.00257209	0.00263099	0.0042982	0.00589741	0.0088737	0.0163368	0.0233113	0.033514	0.0672818	0.158199	0.280637	0.39336
