 	okonza	se	gratte	les	fesses	</S>
a66	0.515567	0.318013	0.103577	0.0263978	0.022489	0.0139559
a10	0.469468	0.294465	0.123797	0.0392278	0.0388139	0.0342286
a87	0.685535	0.191213	0.0378979	0.0198605	0.0330114	0.0324828
a10	0.662543	0.19076	0.0474619	0.0266082	0.0354477	0.0371799
a79	0.651184	0.193925	0.0487796	0.0314594	0.035736	0.0389166
a4	0.619527	0.210223	0.057325	0.0282112	0.045614	0.0390999
a57	0.580543	0.290831	0.0599446	0.018496	0.0275796	0.0226064
a53	0.500732	0.288577	0.1063	0.03122	0.0394476	0.0337236
a90	0.415348	0.323954	0.143243	0.0365954	0.045975	0.0348851
a79	0.33543	0.336906	0.187465	0.0463356	0.0557404	0.0381236
a44	0.293038	0.317259	0.202693	0.0691928	0.0717599	0.0460572
a75	0.163871	0.209561	0.225073	0.111368	0.162128	0.127999
a79	0.123776	0.184254	0.225764	0.183052	0.167379	0.115775
a90	0.114279	0.215112	0.289467	0.182186	0.120827	0.0781291
a25	0.0583389	0.107177	0.269579	0.231728	0.184506	0.148671
a85	0.0328329	0.0780094	0.208602	0.256461	0.228278	0.195817
a47	0.0198286	0.0477348	0.157718	0.309625	0.283846	0.181247
a0	0.00604232	0.0128816	0.0708577	0.217524	0.339486	0.353209
a11	0.00639795	0.00868906	0.0272391	0.145271	0.368039	0.444364
a5	0.00453292	0.00612111	0.012119	0.0932475	0.306706	0.577273
a21	0.00260122	0.00412972	0.00852438	0.072397	0.302919	0.609429
a85	0.00134451	0.00211172	0.00569996	0.072529	0.310832	0.607482
a6	0.00144569	0.00173728	0.00655347	0.084248	0.304803	0.601213
a36	0.00620521	0.00952693	0.0186188	0.0967565	0.311429	0.557463
a79	0.0098321	0.0128315	0.0206829	0.086478	0.306	0.564175
a37	0.0130605	0.0194248	0.0305016	0.138288	0.327346	0.471379
a27	0.00386804	0.00739454	0.0141885	0.0945938	0.350817	0.529139
a10	0.0314582	0.0380053	0.0444949	0.118652	0.256391	0.510999
a87	0.241025	0.166746	0.12259	0.136375	0.153571	0.179693
a10	0.371217	0.231961	0.114338	0.0773209	0.094706	0.110457
a87	0.18266	0.154466	0.0967685	0.105456	0.186472	0.274177
a23	0.0846465	0.061075	0.0412211	0.109338	0.276449	0.427271
</S>	0.0323337	0.0220346	0.0183616	0.0862395	0.31948	0.521551
