 	les	bananes	sont	mures	</S>
a40	0.170054	0.111842	0.098133	0.211581	0.40839
a30	0.190612	0.161305	0.190322	0.201824	0.255937
a41	0.376218	0.235506	0.152542	0.105436	0.130298
a2	0.547121	0.262282	0.104844	0.0430826	0.0426702
a76	0.462826	0.341532	0.117106	0.040987	0.037548
a41	0.319746	0.274688	0.201549	0.119272	0.0847453
a26	0.301676	0.290639	0.213402	0.115613	0.0786699
a24	0.240716	0.263644	0.241715	0.140396	0.11353
a41	0.104942	0.136662	0.233047	0.255728	0.26962
a26	0.113811	0.156622	0.230184	0.240993	0.258389
a41	0.0893893	0.114463	0.156335	0.209188	0.430625
a35	0.0937931	0.127434	0.162535	0.225894	0.390344
a41	0.0944755	0.1387	0.17926	0.237924	0.349641
a66	0.0830916	0.114794	0.157061	0.233919	0.411135
a75	0.0536961	0.0717697	0.105766	0.185826	0.582943
a41	0.0826442	0.113056	0.153819	0.209606	0.440875
a12	0.0569701	0.0725363	0.112996	0.197013	0.560485
a96	0.0653885	0.0826837	0.118438	0.170438	0.563052
a12	0.0632771	0.0783976	0.096963	0.151306	0.610056
a18	0.0850983	0.103431	0.113529	0.157851	0.540091
a82	0.0503995	0.063373	0.0901873	0.18239	0.61365
a87	0.0507713	0.0660466	0.11142	0.2328	0.538961
</S>	0.0619881	0.0589722	0.084858	0.22218	0.572001
