 	cette	lampe	éclaire	la	maison	la	nuit	</S>
a15	0.430958	0.177841	0.0809381	0.0779106	0.0757032	0.0571288	0.0519379	0.0475821
a66	0.508826	0.121743	0.0834214	0.0715302	0.0750582	0.0567077	0.0472239	0.0354903
a87	0.500151	0.20752	0.112215	0.0364121	0.0382759	0.0307604	0.0364056	0.03826
a23	0.532113	0.242544	0.120736	0.0335111	0.0237239	0.015828	0.0160369	0.015507
a87	0.386984	0.202311	0.149939	0.0744629	0.0527817	0.0421368	0.0458866	0.0454979
a23	0.4691	0.21573	0.118609	0.0542196	0.0418875	0.0339919	0.0353225	0.0311396
a38	0.342834	0.207634	0.167693	0.0857184	0.0528613	0.0441799	0.0477179	0.0513609
a94	0.360953	0.251666	0.149627	0.0677765	0.0348387	0.0362072	0.0425444	0.0563873
a35	0.402157	0.355562	0.131042	0.0444059	0.0208188	0.0160347	0.0142205	0.0157588
a75	0.322045	0.393661	0.157803	0.059732	0.0245029	0.0152857	0.0123952	0.014576
a6	0.177378	0.375169	0.19345	0.121073	0.0593025	0.0290042	0.0203501	0.0242737
a41	0.118352	0.267747	0.196821	0.170208	0.0987273	0.0567797	0.0417989	0.0495655
a56	0.0488429	0.0900236	0.135034	0.219631	0.196928	0.123706	0.0893103	0.0965235
a75	0.0620946	0.0881837	0.130699	0.204723	0.204471	0.125466	0.0910032	0.093359
a24	0.0308906	0.0493434	0.090763	0.205828	0.223573	0.164104	0.119759	0.115739
a21	0.0122424	0.0211445	0.038557	0.153253	0.244145	0.200647	0.153084	0.176926
a5	0.0154115	0.0197268	0.0311094	0.112706	0.212155	0.240507	0.18282	0.185564
a21	0.0165769	0.0183822	0.0285411	0.0720367	0.13922	0.244407	0.243095	0.237742
a47	0.00678169	0.00785561	0.0147616	0.0488777	0.107458	0.241904	0.288276	0.284085
a88	0.00800873	0.0128371	0.024686	0.0740956	0.105863	0.197779	0.272167	0.304564
a43	0.00317293	0.00509223	0.00814077	0.0288671	0.0532288	0.139077	0.284238	0.478184
a21	0.00496361	0.00656193	0.008941	0.0252357	0.038048	0.0943725	0.244414	0.577464
a5	0.00183466	0.00208777	0.00394059	0.0186714	0.0446755	0.124795	0.293752	0.510243
a21	0.0014244	0.00203252	0.00367894	0.0146337	0.0359581	0.110103	0.283001	0.549169
a5	0.00131832	0.00192105	0.00382986	0.0172831	0.0362101	0.0986172	0.265153	0.575668
a21	0.000768709	0.00153086	0.0033985	0.0169396	0.0273088	0.0848827	0.251311	0.61386
a85	0.000803134	0.0011798	0.00266159	0.0139225	0.0269525	0.0897202	0.264584	0.600177
a6	0.00031911	0.000539283	0.00156635	0.0101726	0.0191876	0.0759541	0.24887	0.643391
a36	0.000332629	0.000761231	0.00215516	0.0138898	0.0241096	0.0710527	0.220526	0.667173
a56	0.00638593	0.0105075	0.0141482	0.0371832	0.0447804	0.109097	0.258539	0.519359
a94	0.00478986	0.00738184	0.0113749	0.035342	0.0415113	0.104804	0.251404	0.543392
a11	0.002903	0.00618205	0.00946075	0.0368151	0.0415282	0.106513	0.249536	0.547062
a9	0.0247271	0.0421455	0.0452767	0.0804524	0.0791598	0.132526	0.222836	0.372876
a87	0.238922	0.133635	0.0963323	0.0858342	0.0795742	0.0975087	0.126907	0.141286
a23	0.374239	0.248174	0.0941433	0.0386129	0.033863	0.0415934	0.0679716	0.101403
a87	0.181492	0.128198	0.0777915	0.0471964	0.0404922	0.0730751	0.152222	0.299533
</S>	0.0548543	0.0470186	0.0366194	0.0393492	0.0468791	0.114833	0.224274	0.436172
