 	tu	ne	veux	jamais	reconnaître	tes	actes	même	si	on	te	prends	la	main	dans	le	sac	tu	n'	acceptes	pas	</S>
a66	0.0215832	0.019401	0.0244148	0.0658258	0.0661679	0.103026	0.19206	0.105592	0.083368	0.0654118	0.0726642	0.0440903	0.0301273	0.0351794	0.021388	0.0158627	0.0121308	0.0077852	0.0046687	0.00350788	0.00299845	0.00274733
a87	0.0398392	0.0356767	0.0421315	0.0697413	0.058941	0.0771511	0.120004	0.109123	0.0865796	0.0669536	0.0665901	0.0356915	0.0249434	0.0267265	0.0160511	0.0136833	0.0127716	0.0115551	0.0134008	0.0182968	0.0247362	0.0294128
a23	0.113745	0.0885607	0.0547965	0.0540217	0.0436366	0.0813208	0.0957844	0.073211	0.0623074	0.0604236	0.0531428	0.0280662	0.0196103	0.0208045	0.0161442	0.0176533	0.0184931	0.0160317	0.014369	0.0176413	0.0221595	0.0280769
a83	0.168128	0.139946	0.0693839	0.0626262	0.0295338	0.0528366	0.074103	0.0688356	0.0549254	0.0420155	0.0310533	0.0213899	0.0172622	0.0177169	0.0148526	0.0154176	0.0159036	0.0150786	0.0156954	0.0186055	0.0236303	0.0310599
a34	0.0824129	0.0668443	0.0500318	0.0641944	0.0273062	0.0368778	0.0919585	0.0718785	0.0759539	0.0633613	0.082931	0.0532984	0.0326673	0.0238793	0.0204505	0.0214426	0.0204626	0.0195391	0.0212035	0.0202215	0.0231339	0.0299506
a44	0.232808	0.179025	0.109153	0.0731527	0.0163612	0.0223868	0.037905	0.0344432	0.0282049	0.0301816	0.0505544	0.0405136	0.028348	0.0216116	0.0155219	0.0140136	0.0121861	0.0105918	0.0108115	0.0106157	0.010075	0.0115357
a21	0.192122	0.154064	0.097368	0.0580809	0.0222173	0.0266091	0.0335942	0.0296698	0.0232474	0.0264378	0.0399013	0.0396438	0.0334217	0.0293838	0.0250052	0.0249151	0.0236494	0.0222025	0.0246748	0.0257795	0.0229068	0.0251062
a47	0.122222	0.129122	0.0977835	0.0671141	0.0421189	0.0489829	0.050129	0.0429008	0.037271	0.0364625	0.0445011	0.0473597	0.0393812	0.0335791	0.0277407	0.0260494	0.0225627	0.0187341	0.0173653	0.0173566	0.0147979	0.0164652
a61	0.0981716	0.0894114	0.0769608	0.0767437	0.0622608	0.0654614	0.0762712	0.0545669	0.0518138	0.0454586	0.0459899	0.046561	0.0398742	0.0312266	0.0259882	0.0234984	0.0197023	0.0164414	0.0146576	0.0142458	0.0120955	0.012599
a75	0.0844307	0.0911804	0.0881228	0.0796333	0.0644553	0.0718833	0.0753844	0.0561954	0.0506802	0.0444627	0.0423724	0.0421024	0.0366098	0.0309817	0.0251301	0.0225156	0.0192115	0.0158131	0.0144503	0.0152032	0.0141704	0.0150111
a56	0.0386555	0.0544007	0.0723114	0.08438	0.076259	0.0876381	0.0791131	0.0616439	0.0419375	0.039877	0.0333126	0.0375722	0.0413246	0.0436797	0.0361598	0.0323965	0.0262467	0.0209451	0.0189617	0.0207339	0.0234185	0.0290325
a34	0.045712	0.0581501	0.0746752	0.0870984	0.0794075	0.0897969	0.093141	0.073299	0.0615981	0.0512466	0.040088	0.0349314	0.0337233	0.0324858	0.0252762	0.0222615	0.0191217	0.0153577	0.013871	0.0147674	0.0158707	0.0181203
a70	0.0331152	0.0476006	0.0703679	0.0859069	0.0819749	0.0924961	0.0883427	0.0769377	0.0680402	0.056876	0.0421313	0.0344902	0.0345442	0.0361137	0.027316	0.0230228	0.0196933	0.0155635	0.0141464	0.0153668	0.0169442	0.0190092
a66	0.015597	0.0218499	0.0351704	0.0619612	0.0840268	0.0914849	0.0918093	0.0898819	0.0885638	0.076624	0.0546835	0.0447519	0.0439766	0.0408944	0.0306972	0.0260362	0.0219993	0.0161079	0.0138992	0.0143702	0.0164141	0.0192
a9	0.00822392	0.0122606	0.0214448	0.0467812	0.0964463	0.0970316	0.0949993	0.0944625	0.107464	0.0881711	0.0625303	0.0490561	0.0450843	0.04023	0.0291212	0.0238148	0.0179216	0.0125576	0.0105482	0.0103614	0.0136856	0.0178041
a3	0.00971969	0.0125146	0.0152513	0.0300082	0.104159	0.107882	0.0857591	0.0920037	0.111574	0.0910062	0.060412	0.0528064	0.0469206	0.0391708	0.0330946	0.0293107	0.0222991	0.0156642	0.0108367	0.00873744	0.00957337	0.0112954
a97	0.0111922	0.011355	0.0125695	0.0221241	0.0901565	0.100672	0.0802025	0.0930912	0.111698	0.0922136	0.0617927	0.0473061	0.0416686	0.0385692	0.0349499	0.0340552	0.0283858	0.0223563	0.0166103	0.0145029	0.0154367	0.0190918
a99	0.0220351	0.0165444	0.0134272	0.0177309	0.0643284	0.0779404	0.0666523	0.0830662	0.105204	0.0927031	0.0649509	0.0435629	0.0360872	0.0345642	0.0338305	0.0373116	0.0345157	0.031734	0.0274678	0.0267287	0.0301955	0.0394194
a97	0.0228247	0.0179428	0.0136112	0.0189556	0.0510447	0.0661313	0.0640009	0.0778741	0.0993008	0.103561	0.0782629	0.0503787	0.0403058	0.0384944	0.0361037	0.0381799	0.0331588	0.0283532	0.0243741	0.024633	0.0301787	0.04233
a40	0.0195317	0.0162066	0.0141221	0.0225813	0.0574307	0.0770931	0.0775982	0.08227	0.0972583	0.10404	0.0835995	0.0536639	0.0386829	0.0346341	0.0305755	0.0316411	0.0260004	0.0222414	0.0200349	0.0215223	0.0283682	0.0409038
a47	0.00885443	0.007228	0.0079271	0.0130431	0.0364886	0.0377012	0.0527566	0.0454156	0.0535255	0.0690247	0.09894	0.0894066	0.0654492	0.0471538	0.0372936	0.036717	0.0303685	0.0303215	0.0348404	0.0397325	0.0595668	0.0982452
a36	0.00600047	0.00586827	0.00810424	0.0124901	0.0295667	0.0294326	0.0322466	0.037673	0.0400705	0.0520102	0.074283	0.077547	0.0735929	0.0645573	0.0563175	0.0559363	0.0499369	0.0426479	0.0410199	0.0456808	0.065073	0.0999449
a21	0.00414613	0.0036418	0.00514553	0.00901641	0.0331978	0.033055	0.0358789	0.0422312	0.0536312	0.0681469	0.0849021	0.0786245	0.0685778	0.0530227	0.0476861	0.0493159	0.0446119	0.0397726	0.0397582	0.042245	0.0624193	0.100973
a5	0.00569066	0.0055881	0.00718258	0.00874226	0.0225535	0.0270501	0.0213838	0.0292673	0.0344295	0.0403552	0.0419848	0.0436414	0.0504133	0.0543137	0.0550721	0.0597723	0.0685223	0.0682762	0.0712546	0.082784	0.0935376	0.108185
a61	0.00320037	0.00372123	0.00535255	0.00908555	0.0371681	0.0422442	0.0300714	0.0456539	0.062712	0.0757513	0.0647495	0.0688272	0.073813	0.0642533	0.0611987	0.059268	0.0544002	0.0471499	0.0407231	0.0411566	0.0482926	0.0612072
a75	0.00314692	0.00372266	0.00553124	0.00963267	0.0397889	0.0475043	0.0321795	0.0483209	0.0691382	0.0823503	0.0665631	0.0747387	0.078113	0.0638394	0.0608739	0.0578223	0.0532231	0.0459812	0.0390134	0.0372984	0.0383871	0.042831
a92	0.00182565	0.00205867	0.00328641	0.00449484	0.0153986	0.0172491	0.0109861	0.0174258	0.0251754	0.031185	0.0254782	0.0334511	0.0494135	0.0509722	0.063001	0.0717351	0.076667	0.0762322	0.0726202	0.0870161	0.115811	0.148517
a56	0.00118729	0.00134569	0.002115	0.00344106	0.0167541	0.0178365	0.0103916	0.0165032	0.0249227	0.0311201	0.0239431	0.0326114	0.0468153	0.0441919	0.059649	0.071866	0.0788884	0.0932918	0.095093	0.097862	0.108817	0.121354
a31	0.00191623	0.00219119	0.00387018	0.00683004	0.0335534	0.0359753	0.0233134	0.0323607	0.0432856	0.05037	0.0387455	0.0458524	0.0555327	0.0488097	0.0557856	0.0612394	0.0627492	0.069007	0.0720204	0.0785161	0.0876996	0.0903763
a24	0.00198432	0.00224393	0.0035977	0.00586321	0.0285901	0.0319215	0.0181492	0.0292017	0.0384107	0.0476684	0.0366897	0.047197	0.0588975	0.052855	0.0605919	0.0644395	0.0671046	0.0691522	0.0711855	0.0844917	0.0932379	0.0865269
a31	0.00274798	0.00282065	0.0044897	0.00713217	0.0320508	0.0349152	0.0217438	0.0302591	0.0480659	0.0589063	0.0510209	0.0597208	0.0593829	0.0425453	0.0462013	0.050055	0.0519531	0.0560586	0.0621165	0.078729	0.0994635	0.0996217
a62	0.00166255	0.00172309	0.00262197	0.00371042	0.0198599	0.0231878	0.0126399	0.0202687	0.0326241	0.0424089	0.0359029	0.0451506	0.0499662	0.0385547	0.0466715	0.0538596	0.0601628	0.0679502	0.0774732	0.10122	0.130496	0.131885
a96	0.002039	0.00206086	0.00301703	0.00423496	0.0184044	0.0220724	0.0127279	0.019034	0.0330776	0.0422689	0.0360486	0.0449181	0.0460059	0.0336941	0.0411973	0.047644	0.0528529	0.0621564	0.0733847	0.102296	0.144973	0.155891
a56	0.00138283	0.00139959	0.0021444	0.00352177	0.0170159	0.0196828	0.0129809	0.0174741	0.0336771	0.0430281	0.038129	0.0475068	0.0447032	0.0283114	0.0349082	0.0416192	0.0438809	0.0539365	0.0678978	0.0951189	0.15703	0.19465
a94	0.00159205	0.00160672	0.00251304	0.00369626	0.0158691	0.0170714	0.0101924	0.0155222	0.0268433	0.0349423	0.0313701	0.0401499	0.0418632	0.0296082	0.0367818	0.0433323	0.0479492	0.0587065	0.0720372	0.105006	0.164871	0.198476
a24	0.00117239	0.00116583	0.00167928	0.00285196	0.0127016	0.0128994	0.00950832	0.0125812	0.0266557	0.0327586	0.0287041	0.0366514	0.0357602	0.0205804	0.0265602	0.0328162	0.0337073	0.0454275	0.0623249	0.0898325	0.189944	0.283717
a47	0.0014888	0.00150294	0.00226874	0.00464095	0.0139674	0.0152415	0.0134522	0.0139242	0.0273008	0.0334716	0.0296973	0.0360508	0.030096	0.0158598	0.0181264	0.020865	0.021507	0.0303647	0.0487216	0.0848208	0.209152	0.327479
