 	pourquoi	tu	ne	viens	plus	chez	moi	</S>
a66	0.342016	0.148859	0.14755	0.16047	0.115192	0.0476511	0.0224154	0.0158468
a87	0.260282	0.161809	0.13347	0.154372	0.118127	0.0664696	0.0528073	0.052664
a23	0.477333	0.270992	0.0947243	0.0752538	0.028867	0.0156599	0.0166506	0.0205203
a62	0.530925	0.238501	0.0884804	0.0667341	0.0247993	0.0147497	0.0154882	0.0203219
a88	0.493512	0.22445	0.0940431	0.0667986	0.036247	0.0289894	0.0272381	0.0287209
a61	0.359211	0.262707	0.145606	0.0905402	0.0467574	0.0323144	0.0317032	0.0311609
a96	0.291636	0.289254	0.184966	0.10253	0.0514823	0.0289175	0.0265492	0.0246646
a98	0.230253	0.263882	0.198678	0.110946	0.064638	0.0426948	0.044573	0.044335
a85	0.146362	0.215496	0.212175	0.126346	0.0850411	0.0675528	0.0723699	0.074657
a92	0.108533	0.175071	0.200948	0.132934	0.0963708	0.0830746	0.0956851	0.107385
a37	0.138565	0.181515	0.207492	0.152567	0.0999374	0.0690475	0.071648	0.0792282
a12	0.115764	0.162032	0.208947	0.18236	0.124734	0.0720637	0.065096	0.0690025
a18	0.0657525	0.0891014	0.147844	0.164783	0.189761	0.127948	0.106123	0.108687
a71	0.0244379	0.0331301	0.0698859	0.166287	0.204123	0.170386	0.155716	0.176034
a9	0.0232222	0.0372747	0.078982	0.195533	0.19618	0.161369	0.151282	0.156157
a3	0.0296283	0.0383812	0.0675506	0.141455	0.155217	0.168945	0.199725	0.199099
a87	0.0720288	0.0685448	0.0940443	0.130327	0.134825	0.141224	0.178404	0.180603
a23	0.112092	0.098704	0.102223	0.113529	0.120448	0.125413	0.159735	0.167856
a83	0.0517887	0.0545948	0.0760431	0.0989312	0.133614	0.177818	0.201321	0.205889
a70	0.00704948	0.0160431	0.041016	0.101669	0.176973	0.233566	0.224903	0.198781
a96	0.00934497	0.0149314	0.0322993	0.0640559	0.135969	0.238142	0.275692	0.229565
a66	0.00795252	0.00977648	0.0196849	0.0491801	0.135833	0.248457	0.283674	0.245442
a11	0.00541509	0.00657286	0.0132459	0.0485656	0.13855	0.244148	0.282619	0.260883
a90	0.0043296	0.00511766	0.00939461	0.034889	0.120248	0.245822	0.29427	0.285929
a15	0.00115693	0.00157933	0.00353124	0.0135507	0.0636097	0.212542	0.338006	0.366024
a79	0.000447628	0.000756881	0.00179287	0.00726691	0.0310854	0.138944	0.314107	0.505599
a69	0.000986052	0.00168496	0.00350732	0.0120546	0.047071	0.164292	0.31386	0.456544
a44	0.00058998	0.00117183	0.00249839	0.00978057	0.0379964	0.132927	0.289146	0.52589
a90	0.000500116	0.000864868	0.00143306	0.00456525	0.0200827	0.105492	0.282872	0.58419
a25	0.000817069	0.00141374	0.00223824	0.00609312	0.0248557	0.111257	0.287217	0.566108
a79	0.000758202	0.0016362	0.00302261	0.00881209	0.032759	0.118108	0.285237	0.549667
a98	0.0012853	0.00247235	0.00415155	0.00996469	0.0329228	0.116489	0.284603	0.548111
a15	0.00152293	0.00341593	0.0057445	0.0127158	0.0398106	0.126907	0.285857	0.524026
a7	0.00191087	0.00383455	0.00585932	0.0118591	0.0373014	0.12194	0.279865	0.53743
a54	0.0026589	0.00485838	0.00750344	0.0148089	0.0391661	0.138734	0.289796	0.502474
a47	0.00334881	0.00661105	0.0102225	0.0184221	0.0404839	0.132239	0.29269	0.495983
a36	0.000554046	0.00129294	0.00244453	0.00449251	0.0169475	0.0900462	0.284009	0.600213
a2	0.0174808	0.0215577	0.026704	0.0363399	0.0639288	0.142901	0.271199	0.419888
a57	0.0775148	0.0688408	0.0697062	0.0798566	0.105305	0.148786	0.193167	0.256824
a10	0.33477	0.158224	0.082647	0.0690046	0.0600351	0.072063	0.0960119	0.127245
a87	0.31114	0.167308	0.0787691	0.0648979	0.05993	0.075722	0.104075	0.138157
a23	0.198264	0.130391	0.0762164	0.0757058	0.092155	0.116111	0.142508	0.168649
a87	0.0596331	0.0490283	0.0347407	0.050655	0.0787337	0.140108	0.22105	0.366052
a23	0.0244991	0.0291701	0.0267067	0.0425271	0.0636601	0.120183	0.232345	0.46091
a99	0.0442665	0.0475407	0.0394022	0.064087	0.0849076	0.123192	0.208883	0.387721
a97	0.0735152	0.0690487	0.0590273	0.0868645	0.0896418	0.118639	0.186439	0.316824
</S>	0.0457619	0.0439585	0.0418797	0.0620655	0.0705226	0.119144	0.212245	0.404423
