 	la	loutre	se	nourrit	de	poissons	</S>
a87	0.536948	0.204386	0.118886	0.0571139	0.0392752	0.0227811	0.02061
a23	0.54077	0.182478	0.094114	0.0563776	0.0466818	0.0407449	0.0388337
a62	0.259085	0.177549	0.167676	0.142825	0.0907011	0.0787584	0.0834059
a12	0.522515	0.2728	0.12044	0.0414475	0.0198604	0.0121588	0.0107787
a96	0.428014	0.275803	0.158946	0.0697733	0.030365	0.0199295	0.0171691
a75	0.269744	0.234512	0.198359	0.153058	0.0673793	0.0428772	0.0340703
a92	0.21678	0.210908	0.189265	0.145418	0.100909	0.0707375	0.0659824
a90	0.178789	0.194992	0.191594	0.144664	0.118898	0.0879558	0.0831073
a92	0.0676209	0.0893009	0.173791	0.213364	0.189372	0.139043	0.127509
a75	0.0892479	0.0820088	0.124318	0.149436	0.19268	0.175128	0.187181
a47	0.0586912	0.0533172	0.085577	0.144195	0.223993	0.21614	0.218086
a62	0.033295	0.0329791	0.0563007	0.128673	0.261553	0.233822	0.253377
a21	0.0382439	0.0430557	0.067926	0.124642	0.285494	0.231792	0.208846
a85	0.0381071	0.0463987	0.0525125	0.0799954	0.231786	0.283864	0.267337
a92	0.0205174	0.0255921	0.0279061	0.0522213	0.169468	0.313222	0.391074
a47	0.00917167	0.0135509	0.0163479	0.0378352	0.15772	0.324575	0.440799
a6	0.00331371	0.00506002	0.00729382	0.0289547	0.128182	0.332102	0.495093
a0	0.0011896	0.00195728	0.00374989	0.0177965	0.106923	0.335255	0.533128
a11	0.00144903	0.00224168	0.00326405	0.0161047	0.08683	0.291585	0.598526
a88	0.0335179	0.0297786	0.0238804	0.0409028	0.0864909	0.248645	0.536785
a71	0.00469615	0.00691484	0.00597549	0.0198549	0.0633709	0.252729	0.646458
a9	0.033667	0.0337882	0.0276637	0.0413317	0.0847289	0.246922	0.531898
a87	0.145897	0.122713	0.0871558	0.0759581	0.110045	0.189758	0.268472
a23	0.251429	0.233052	0.147522	0.0757128	0.0925962	0.10178	0.0979085
a87	0.106171	0.0984492	0.0793799	0.0938363	0.17363	0.21687	0.231664
a23	0.020428	0.0241735	0.0359058	0.0832337	0.181318	0.268782	0.386159
a87	0.0344537	0.0442402	0.0756565	0.112825	0.180097	0.241316	0.311411
</S>	0.0170884	0.0233177	0.0396913	0.0837297	0.168288	0.265909	0.401976
