 	leur	chien	a	des	tiques	</S>
a84	0.362919	0.300483	0.169338	0.0858374	0.0482711	0.0331518
a87	0.434729	0.256313	0.159503	0.0844566	0.0447452	0.0202529
a97	0.384276	0.306811	0.166218	0.0870992	0.0321706	0.0234251
a87	0.416993	0.32959	0.156585	0.0576058	0.0241933	0.0150333
a99	0.352764	0.344345	0.187126	0.0708358	0.0294067	0.0155223
a98	0.343315	0.334155	0.194697	0.0821145	0.0350023	0.0107162
a92	0.329681	0.240567	0.203721	0.140908	0.059057	0.0260665
a85	0.222344	0.212085	0.213878	0.192402	0.105458	0.0538325
a6	0.252229	0.240574	0.245334	0.150843	0.0640634	0.0469567
a98	0.223109	0.205591	0.212671	0.173537	0.0980847	0.0870065
a85	0.169662	0.180774	0.201999	0.179816	0.125336	0.142412
a6	0.124992	0.140213	0.16659	0.177984	0.161828	0.228394
a92	0.128585	0.138033	0.133419	0.170272	0.20446	0.225231
a85	0.104563	0.137976	0.118375	0.152414	0.214707	0.271965
a47	0.0284262	0.0498237	0.0722678	0.146502	0.250869	0.452112
a36	0.00766427	0.0126773	0.0218482	0.073684	0.265057	0.619069
a7	0.00435321	0.004875	0.00794965	0.0271149	0.159427	0.79628
a93	0.00188268	0.0018401	0.00316829	0.0123892	0.104037	0.876683
a79	0.00156177	0.00181999	0.00402226	0.0178897	0.128495	0.846211
a7	0.00050267	0.000628985	0.00173531	0.0110677	0.113484	0.872581
a84	0.00198272	0.00253582	0.00565462	0.026223	0.141337	0.822267
a57	0.088459	0.0734127	0.0663223	0.101149	0.192065	0.478592
a97	0.330143	0.216322	0.132119	0.0872024	0.0934553	0.140758
a87	0.322747	0.216196	0.167807	0.110489	0.0785332	0.104228
a97	0.264454	0.187131	0.147033	0.116317	0.12145	0.163615
a23	0.189474	0.155202	0.132214	0.117777	0.159196	0.246138
a99	0.0522109	0.0422198	0.0460224	0.0687535	0.219567	0.571226
a97	0.0457875	0.0513907	0.0645249	0.0896006	0.242715	0.505981
</S>	0.12809	0.1513	0.129778	0.115638	0.180607	0.294588
