 	nous	célébrons	le	rite	des	jumeaux	</S>
a66	0.337481	0.270631	0.151498	0.0575519	0.0509524	0.071734	0.060151
a87	0.571056	0.158482	0.12086	0.0828399	0.038256	0.0200717	0.00843447
a23	0.446824	0.205407	0.119606	0.138782	0.0407352	0.0321277	0.0165184
a9	0.430185	0.31714	0.139609	0.0832645	0.014213	0.00787189	0.00771688
a24	0.5091	0.331988	0.0913061	0.0437839	0.0116341	0.00667994	0.0055082
a62	0.318423	0.298028	0.176817	0.149908	0.0285256	0.0154168	0.0128812
a31	0.216019	0.162761	0.233524	0.304609	0.0403665	0.023547	0.0191737
a0	0.0856828	0.078126	0.190105	0.499789	0.0774507	0.0374549	0.0313922
a62	0.011008	0.0105042	0.044606	0.418145	0.259026	0.150185	0.106526
a56	0.0201226	0.0109504	0.0479969	0.333003	0.273038	0.184646	0.130243
a93	0.0262488	0.00837059	0.0380437	0.211056	0.291453	0.2337	0.191129
a4	0.0180075	0.0050824	0.0218188	0.108939	0.276961	0.275111	0.29408
a11	0.00619674	0.00153988	0.00365682	0.0270746	0.200291	0.294525	0.466716
a21	0.000848412	0.000221841	0.000417159	0.00606286	0.110004	0.227135	0.65531
a12	0.000347218	0.000121818	0.000141982	0.000765231	0.0201928	0.120665	0.857765
a18	0.000309834	7.69798e-05	0.000117153	0.00078633	0.0198701	0.12858	0.85026
a25	0.0102331	0.00158757	0.00281997	0.0100895	0.069409	0.174856	0.731005
a82	0.0813255	0.0276803	0.0246145	0.0527581	0.103961	0.171333	0.538328
a87	0.319467	0.131853	0.0857499	0.063427	0.0769247	0.103887	0.218692
a23	0.267004	0.130328	0.0902775	0.0898073	0.0856361	0.129406	0.207541
a87	0.0528071	0.0404059	0.0361921	0.0231194	0.0495571	0.187282	0.610636
</S>	0.00668544	0.00590343	0.00651233	0.0123949	0.0453098	0.223286	0.699908
