 	l'	argent	que	je	garde	chez	lui	a	augmenté	car	notre	père	m'	en	a	ajouté	</S>
a66	0.0632195	0.0541755	0.0505204	0.0661097	0.0746119	0.0774779	0.0847081	0.082529	0.0965253	0.136839	0.0823382	0.0725086	0.0335091	0.00966999	0.00655353	0.00451777	0.00418651
a87	0.251137	0.174042	0.104107	0.0609302	0.0327908	0.0258687	0.028081	0.0266006	0.030319	0.048546	0.034117	0.0351912	0.0309249	0.0254591	0.0331982	0.03367	0.025018
a23	0.289822	0.188539	0.101075	0.0532528	0.0284402	0.02813	0.0272394	0.0272881	0.0326042	0.0467823	0.0260399	0.0309448	0.0338649	0.0239768	0.0215257	0.0189674	0.0215065
a30	0.215768	0.17357	0.0948303	0.0501304	0.0291214	0.032997	0.0351654	0.036574	0.0424839	0.0568286	0.0423217	0.0432165	0.0438446	0.0325708	0.0267067	0.0184063	0.0254645
a4	0.19848	0.137827	0.0931966	0.061216	0.0448918	0.0436933	0.0413377	0.0419663	0.0430728	0.0488407	0.0381137	0.0462584	0.052788	0.0377479	0.0293458	0.0196686	0.0215555
a93	0.24161	0.225104	0.182205	0.0878913	0.0394692	0.022562	0.0171888	0.0152665	0.0145904	0.0157696	0.015521	0.0210742	0.0242583	0.022348	0.0269094	0.0165758	0.0116562
a62	0.22965	0.242438	0.203004	0.0986933	0.0435689	0.0254752	0.017868	0.0138928	0.0119165	0.0111115	0.0104272	0.0117922	0.0130179	0.0169109	0.0242474	0.0161214	0.0098645
a96	0.215874	0.18871	0.164163	0.104747	0.0640954	0.0430465	0.0337756	0.0246487	0.021111	0.0195042	0.0160927	0.0148059	0.0145977	0.0172294	0.0254263	0.0196468	0.0125261
a83	0.150116	0.149968	0.159425	0.11445	0.0736179	0.0504825	0.039949	0.0298571	0.0256819	0.0227997	0.0197628	0.0176069	0.0182135	0.0246687	0.0397245	0.0377912	0.0258853
a93	0.13127	0.131146	0.153758	0.122377	0.0787002	0.0534021	0.0408283	0.0297149	0.0261768	0.0242867	0.0208395	0.0188405	0.0197597	0.0277947	0.0442638	0.0436782	0.0331637
a44	0.0752883	0.086924	0.123581	0.113784	0.0914609	0.0651303	0.0553444	0.0443864	0.0377663	0.036089	0.0300418	0.0245841	0.023353	0.0307414	0.0516764	0.0602654	0.0495836
a54	0.0713911	0.0773832	0.113022	0.115786	0.101248	0.0802684	0.0681487	0.0521997	0.0440031	0.0434874	0.0330476	0.0260068	0.0221558	0.0247806	0.0367393	0.0466108	0.0437213
a15	0.0348858	0.047131	0.0883946	0.120166	0.11007	0.0898786	0.0789003	0.0647308	0.0550619	0.052565	0.043435	0.0346663	0.0266966	0.0246182	0.0323392	0.0435859	0.0528743
a79	0.0221789	0.0313859	0.0666303	0.116047	0.116027	0.101381	0.0912932	0.074149	0.0618218	0.0546594	0.0444365	0.0371837	0.0263912	0.0208662	0.0270852	0.0431595	0.065304
a75	0.0198996	0.0252572	0.0541118	0.100694	0.126047	0.123571	0.110477	0.0873233	0.0736236	0.0629632	0.0453735	0.0374759	0.0248023	0.0177877	0.0205958	0.0301863	0.0398105
a79	0.0100655	0.0152605	0.0372456	0.0925735	0.111962	0.114758	0.107909	0.0937849	0.0816018	0.0689753	0.057932	0.0530478	0.039327	0.0235514	0.0224637	0.0289427	0.0406001
a7	0.00580025	0.00862015	0.0224709	0.0704921	0.105491	0.121132	0.121632	0.105871	0.0991227	0.0801298	0.0591723	0.0495065	0.0339466	0.0220073	0.0226875	0.0301311	0.0417865
a90	0.00345659	0.00406237	0.0082439	0.0286634	0.0815117	0.142153	0.157679	0.141211	0.11561	0.0727286	0.0455135	0.0351607	0.0226736	0.0177708	0.02165	0.0396876	0.0622239
a25	0.00421205	0.00440072	0.00840321	0.0256326	0.0682767	0.122792	0.141366	0.135847	0.126373	0.0839374	0.0562464	0.043803	0.0284901	0.0207526	0.0234449	0.0410665	0.0649555
a69	0.00328367	0.00314906	0.00572902	0.0180315	0.057802	0.112134	0.147823	0.148271	0.12723	0.0728938	0.0473342	0.0358486	0.0221085	0.0161224	0.0205116	0.04711	0.114618
a15	0.0050907	0.00470214	0.00688728	0.0154428	0.052241	0.117813	0.147859	0.146334	0.120944	0.0723367	0.0461382	0.0367204	0.0221276	0.0175957	0.0217869	0.0485609	0.117419
a7	0.00368181	0.00343011	0.00516551	0.0119604	0.0406367	0.106634	0.152891	0.162124	0.13153	0.0712689	0.048627	0.0410707	0.0260013	0.0200032	0.0244018	0.0497756	0.100798
a84	0.0063257	0.00553287	0.00695348	0.0116697	0.0359924	0.111221	0.169296	0.169573	0.138084	0.0786081	0.0471403	0.0361232	0.0203712	0.01475	0.0183835	0.0409052	0.0890702
a57	0.0164215	0.0146677	0.0157801	0.0194899	0.036896	0.0861033	0.121339	0.120764	0.103686	0.0839627	0.0507099	0.0378723	0.0239644	0.0176221	0.0257162	0.0708591	0.154146
a87	0.0200683	0.0161551	0.015404	0.018415	0.0392513	0.0756625	0.0962341	0.100782	0.0937033	0.0902176	0.0562933	0.0446748	0.0314022	0.0235234	0.033264	0.0904458	0.154503
a23	0.0595789	0.0408768	0.0310182	0.0279489	0.0432303	0.0614183	0.0677952	0.0792204	0.0751779	0.0822436	0.0651668	0.0712864	0.0551769	0.0391867	0.045284	0.0746916	0.080699
a50	0.0293559	0.0191934	0.015194	0.0170253	0.028452	0.0428005	0.0490056	0.0576133	0.0597012	0.0799118	0.0641399	0.0813476	0.0783669	0.0649914	0.0764945	0.113652	0.122755
a83	0.00384732	0.00292008	0.0033136	0.0051396	0.0135083	0.0208502	0.0265701	0.0354025	0.0356105	0.0415139	0.0434213	0.0562274	0.0618685	0.0721239	0.111397	0.20357	0.262715
a18	0.0026764	0.00206714	0.00241579	0.00312357	0.00820652	0.0140158	0.0192802	0.0251704	0.0265225	0.0328039	0.0343424	0.0417927	0.0483993	0.0638944	0.129875	0.248721	0.296693
a99	0.00319622	0.00210918	0.00247543	0.003197	0.00906301	0.0198922	0.0341888	0.0481413	0.0491904	0.0637876	0.0647788	0.0654216	0.0671793	0.0688711	0.10523	0.181733	0.211545
a83	0.00442695	0.00257242	0.00264242	0.00321401	0.0103277	0.0250894	0.0461967	0.0653422	0.0654779	0.0780026	0.0685905	0.0639123	0.0616485	0.0597232	0.0846208	0.160734	0.197478
a37	0.0038522	0.00277601	0.00339534	0.00469058	0.0102616	0.0211973	0.0397372	0.0553963	0.058606	0.0694517	0.061765	0.0600712	0.0633982	0.0766741	0.109085	0.170232	0.189411
a26	0.00231059	0.00185528	0.00245191	0.00391013	0.00898971	0.016896	0.0307176	0.0440603	0.0475184	0.0591544	0.0550606	0.05586	0.0659264	0.0914517	0.12495	0.186898	0.201989
a82	0.0112271	0.00956542	0.0109464	0.0144292	0.02446	0.0368454	0.0524735	0.064961	0.067324	0.0639854	0.0548281	0.0516203	0.060519	0.0840837	0.0913243	0.138365	0.163042
a87	0.0249565	0.0174894	0.0156696	0.0178411	0.0279514	0.0500662	0.0735911	0.0991256	0.100471	0.0864723	0.0682748	0.0693402	0.0845987	0.084655	0.0621544	0.0568629	0.0604795
a23	0.0736472	0.0405334	0.0240267	0.0188967	0.023573	0.038727	0.0536863	0.0760979	0.0795012	0.076718	0.0664491	0.0814609	0.106061	0.0933459	0.0655292	0.0402372	0.0415091
a99	0.0438071	0.0229167	0.0155564	0.0105547	0.0112611	0.0158083	0.0198919	0.0283978	0.0346854	0.041815	0.0392058	0.0599126	0.0878541	0.114801	0.127124	0.149024	0.177383
a83	0.0107754	0.00615116	0.0055979	0.00608719	0.0114964	0.0134641	0.016107	0.0213358	0.0209997	0.0183095	0.0212449	0.029883	0.0507225	0.0884195	0.13354	0.242253	0.303613
a36	0.00288064	0.00171464	0.00188153	0.00267794	0.00856443	0.0133929	0.0187283	0.0244376	0.0231682	0.0235013	0.0273462	0.0369405	0.0628481	0.0948101	0.15116	0.235533	0.270415
a27	0.00110025	0.000753906	0.00105535	0.00185915	0.00647995	0.0130044	0.0211486	0.0289852	0.0287482	0.0300321	0.0319674	0.0381579	0.0622148	0.100624	0.143636	0.226926	0.263306
a54	0.00394705	0.00287233	0.00340445	0.00431941	0.0109859	0.0216754	0.0340576	0.0442056	0.0423816	0.0412633	0.0397398	0.0421327	0.0619511	0.0991565	0.120142	0.199681	0.228084
a36	0.000395403	0.00034709	0.000544418	0.00128667	0.00422926	0.00852493	0.0141144	0.019744	0.0185809	0.0166414	0.021425	0.0227957	0.0388869	0.0985218	0.147781	0.248384	0.337797
a7	0.000186791	0.000156966	0.0002277	0.000466452	0.00169636	0.00422066	0.00743778	0.0105484	0.00944127	0.00911851	0.0120199	0.0144039	0.0286218	0.0863977	0.148177	0.291659	0.37522
