 	la	lignée	de	ma	mère	a	perdu	beaucoup	de	gens	</S>
a66	0.353579	0.196652	0.064655	0.0535065	0.0675345	0.065524	0.0760905	0.0496062	0.0281761	0.0220587	0.0226171
a87	0.316285	0.0929994	0.116054	0.133532	0.0911769	0.0667349	0.0690138	0.0404091	0.024666	0.0231185	0.0260101
a23	0.447092	0.297596	0.100169	0.0338272	0.0221686	0.0175214	0.0169214	0.0154871	0.0136958	0.0160842	0.019438
a83	0.362035	0.370252	0.137956	0.047076	0.0255912	0.0134164	0.0110864	0.00781439	0.00733082	0.00781649	0.00962505
a71	0.333833	0.402528	0.103215	0.0452014	0.0309749	0.0199505	0.0151011	0.0121142	0.0115132	0.0115986	0.0139695
a24	0.2157	0.362358	0.211119	0.0887119	0.0475151	0.029205	0.0167565	0.00961495	0.00750599	0.00599177	0.00552126
a62	0.121362	0.289791	0.251072	0.138245	0.0753961	0.0483323	0.0269956	0.0161501	0.0126756	0.0102059	0.00977433
a21	0.0890207	0.325425	0.306942	0.12356	0.0624821	0.0373622	0.0199468	0.0119304	0.00907975	0.00736607	0.00688612
a85	0.0980912	0.252428	0.304202	0.152483	0.0902004	0.0476341	0.0202365	0.0116829	0.00898575	0.00710871	0.00694872
a92	0.0466192	0.157112	0.201845	0.159375	0.142611	0.0948344	0.0512853	0.0363106	0.0352767	0.0347084	0.0400225
a37	0.0589626	0.123724	0.168691	0.175009	0.176205	0.121532	0.0583872	0.0334414	0.0279793	0.0266788	0.0293906
a90	0.0617668	0.0775698	0.126971	0.185346	0.207825	0.137224	0.0676533	0.0372366	0.0307214	0.0313945	0.0362911
a25	0.0209768	0.0170106	0.0401708	0.141363	0.231856	0.203598	0.117002	0.0627245	0.0519364	0.0527257	0.0606356
a56	0.0109726	0.00895867	0.0301343	0.103596	0.189185	0.197599	0.141219	0.0831527	0.0664327	0.0733422	0.0954071
a75	0.0127964	0.0107371	0.0176695	0.0721023	0.164899	0.195614	0.156212	0.0975022	0.0799184	0.0861487	0.1064
a85	0.0046613	0.00355706	0.00513378	0.028535	0.0968826	0.160875	0.191046	0.136348	0.11321	0.119524	0.140227
a6	0.00206554	0.00169742	0.00300075	0.0191745	0.066179	0.118085	0.159923	0.138627	0.13623	0.156342	0.198677
a37	0.00311644	0.00292205	0.00498306	0.0235059	0.0672672	0.112517	0.160065	0.146115	0.136106	0.150695	0.192708
a21	0.00202505	0.00131176	0.00179034	0.00600859	0.0181767	0.0414119	0.0899617	0.132864	0.16855	0.229372	0.308528
a85	0.00172835	0.000985274	0.00104993	0.00327562	0.00914173	0.0225919	0.0611257	0.111844	0.202146	0.275256	0.310855
a47	0.000355429	0.000186758	0.00025031	0.00103646	0.00375168	0.0110442	0.0374733	0.0812239	0.177561	0.29696	0.390157
a6	0.00133947	0.000785941	0.00109941	0.00332415	0.00717095	0.0157028	0.0356615	0.0664987	0.132904	0.273723	0.46179
a5	0.000239921	0.00011299	0.000198952	0.000859153	0.00232738	0.00672743	0.0197838	0.0462197	0.121788	0.288589	0.513153
a18	0.00013598	6.02421e-05	0.0001092	0.000493727	0.00135029	0.00414718	0.0151554	0.0395499	0.117978	0.302553	0.518468
a54	0.00212916	0.000978095	0.00164426	0.0047487	0.00868944	0.0192376	0.0357265	0.0523242	0.112324	0.257785	0.504413
a47	0.000469426	0.000203895	0.000664229	0.00378173	0.00773959	0.0202335	0.039081	0.0651853	0.126395	0.255951	0.480295
a36	0.000249316	0.000102364	0.000242331	0.00104974	0.00236597	0.00708591	0.018385	0.038772	0.0999841	0.266112	0.565651
a2	0.0128521	0.00616261	0.00995739	0.0241966	0.0322068	0.0522317	0.0714121	0.0784104	0.126087	0.222318	0.364165
a57	0.108602	0.0479438	0.046219	0.0671671	0.0758257	0.0935505	0.0933619	0.0848997	0.0934898	0.125672	0.163268
a87	0.411019	0.199686	0.0662505	0.0347876	0.027861	0.0320523	0.0367373	0.0376923	0.0395487	0.0504006	0.0639646
a23	0.365022	0.232596	0.0936171	0.0401047	0.0261812	0.0253495	0.0322069	0.0360928	0.0408157	0.0510246	0.0569896
a99	0.0670306	0.0545338	0.0209129	0.0114718	0.0103586	0.0141891	0.0378144	0.0717654	0.131736	0.241612	0.338576
a38	0.0502683	0.0452711	0.0249069	0.0213829	0.0291385	0.0459646	0.0767526	0.0957289	0.135494	0.20367	0.271422
</S>	0.0442074	0.039188	0.0354592	0.0412954	0.0530627	0.0691535	0.0872498	0.0995193	0.128246	0.177387	0.225231
