 	cette	jeune	fille	a	une	beauté	</S>
a66	0.383788	0.22218	0.126189	0.114844	0.080346	0.0424796	0.0301745
a87	0.374427	0.20258	0.126838	0.118512	0.0736804	0.0546793	0.0492826
a23	0.58056	0.260007	0.0796139	0.0283004	0.0171865	0.0151927	0.0191396
a87	0.491888	0.246485	0.115049	0.0412492	0.0291107	0.0310774	0.0451405
a23	0.469839	0.267317	0.122727	0.0426857	0.0289911	0.028745	0.0396946
a54	0.427878	0.20441	0.127869	0.0672996	0.0565007	0.0537483	0.0622934
a79	0.302417	0.272006	0.217055	0.0889604	0.0499017	0.0370982	0.0325619
a92	0.24287	0.268343	0.284346	0.120306	0.0418028	0.023533	0.0187991
a56	0.142252	0.185631	0.273814	0.223392	0.0985185	0.0446862	0.0317059
a12	0.136023	0.19262	0.282883	0.201957	0.0874746	0.0519132	0.0471294
a34	0.118242	0.15773	0.281399	0.235279	0.105147	0.0546576	0.0475438
a56	0.116116	0.157712	0.270497	0.246301	0.108779	0.0524951	0.0481007
a90	0.101201	0.136976	0.230857	0.243321	0.137903	0.0763692	0.0733729
a98	0.0580859	0.0813109	0.170457	0.245812	0.192564	0.131113	0.120657
a92	0.026485	0.0442679	0.138461	0.276546	0.24764	0.153342	0.113257
a61	0.0205635	0.0274948	0.0737324	0.20788	0.29117	0.213639	0.165521
a47	0.0198311	0.0185547	0.0357534	0.116424	0.240965	0.29439	0.274081
a62	0.00789318	0.00637479	0.0126714	0.0615645	0.214734	0.338929	0.357833
a47	0.00221616	0.00179761	0.00419867	0.0286744	0.140524	0.356922	0.465667
a75	0.0021934	0.00157634	0.00301624	0.0171868	0.101651	0.336904	0.537472
a92	0.000384164	0.000374864	0.00135744	0.0117291	0.0792248	0.308061	0.598869
a56	0.000434489	0.000469539	0.00160428	0.0141173	0.0863186	0.301814	0.595242
a94	0.00083707	0.0006558	0.00139678	0.00839717	0.0564578	0.285161	0.647095
a58	0.00121562	0.000926322	0.00210161	0.0111063	0.0565701	0.256741	0.671339
a82	0.00183508	0.00151741	0.00325822	0.0173157	0.0683981	0.245167	0.662508
a87	0.138424	0.0573768	0.039564	0.0692275	0.115881	0.207117	0.37241
a23	0.397598	0.184771	0.0822855	0.0715069	0.0748806	0.0884265	0.100531
a99	0.0652774	0.0241479	0.0109569	0.021751	0.0640619	0.252855	0.56095
a3	0.0251714	0.00980495	0.00712507	0.0303139	0.101436	0.2848	0.541349
</S>	0.00563339	0.00257063	0.0025984	0.0162301	0.0735843	0.289846	0.609537
