 	après	s'	être	lavé	il	s'	habilla	</S>
a66	0.25491	0.194855	0.137743	0.184465	0.0962538	0.0671915	0.0406691	0.0239137
a87	0.146639	0.140498	0.137771	0.159158	0.117987	0.117331	0.100649	0.0799666
a23	0.232412	0.253781	0.225345	0.148501	0.0486006	0.035728	0.0276967	0.0279358
a83	0.217278	0.232197	0.244468	0.136057	0.0505452	0.04095	0.0371236	0.0413809
a56	0.255663	0.242951	0.174789	0.121036	0.0666253	0.0591107	0.0439268	0.0358983
a43	0.257903	0.298017	0.221109	0.127996	0.0433449	0.0290839	0.0137042	0.00884108
a62	0.219859	0.295815	0.255988	0.144251	0.0385887	0.0242483	0.011848	0.00940196
a56	0.222524	0.307926	0.24924	0.143974	0.03589	0.0214039	0.0101793	0.00886216
a75	0.177148	0.268853	0.259128	0.175537	0.0553577	0.0339526	0.016237	0.0137866
a56	0.139402	0.190274	0.228304	0.170918	0.112263	0.085515	0.0434206	0.0299015
a90	0.155189	0.192289	0.214785	0.189202	0.101696	0.0740089	0.0435988	0.0292311
a15	0.0859355	0.106937	0.177939	0.205649	0.162705	0.126536	0.0825645	0.0517339
a79	0.051578	0.0584523	0.131406	0.177279	0.180644	0.155134	0.140456	0.105051
a98	0.0519411	0.0524174	0.100272	0.139643	0.162034	0.162518	0.181636	0.149538
a47	0.028052	0.0283557	0.0625003	0.0932337	0.128736	0.165626	0.257138	0.236358
a36	0.0185884	0.0163979	0.046102	0.0794251	0.124472	0.148697	0.273444	0.292874
a2	0.0169313	0.0105342	0.0219493	0.0435516	0.102347	0.150292	0.278372	0.376023
a57	0.0196519	0.0126634	0.0172051	0.0259308	0.058712	0.105331	0.311733	0.448773
a53	0.0371086	0.0287326	0.0353899	0.0531321	0.0957098	0.148204	0.291982	0.309742
a54	0.00468779	0.00343033	0.00560459	0.0137936	0.0551038	0.125827	0.319631	0.471922
a92	0.000896984	0.000699257	0.00162071	0.00437257	0.0262959	0.0777467	0.320437	0.567931
a5	0.000958759	0.000689944	0.00182902	0.00572842	0.0341265	0.0807048	0.29772	0.578243
a12	0.0010142	0.000639338	0.00156196	0.00489482	0.0319985	0.0848561	0.296737	0.578298
a18	0.000913902	0.000585056	0.00128209	0.00316416	0.0208285	0.0674681	0.298546	0.607213
a75	0.00403838	0.00263995	0.00422796	0.00780636	0.0338468	0.0891382	0.352439	0.505863
a6	0.000283856	0.000172528	0.000399526	0.0010032	0.00810217	0.0314477	0.270535	0.688056
a37	0.000397169	0.000235401	0.000504165	0.00105294	0.0089639	0.0348875	0.282479	0.67148
a36	0.00612938	0.00423288	0.00672556	0.0099819	0.0392505	0.0842037	0.366108	0.483368
a27	0.0768543	0.0499324	0.0477858	0.0467784	0.0919213	0.124086	0.270303	0.29234
a57	0.139761	0.0745281	0.0564814	0.0467146	0.075964	0.0975386	0.22412	0.284893
a3	0.275558	0.168456	0.114203	0.0751255	0.058713	0.0580185	0.109496	0.140428
a97	0.221575	0.14662	0.115392	0.0836272	0.0716818	0.0762205	0.131731	0.153153
a87	0.147333	0.0996277	0.0884178	0.0823965	0.0963533	0.109618	0.171355	0.204899
a23	0.100153	0.0696342	0.0697428	0.0787975	0.0972299	0.112205	0.197333	0.274904
a30	0.0167386	0.0106367	0.0138624	0.0224333	0.0750503	0.132888	0.263212	0.465179
</S>	0.0173281	0.0128696	0.0239766	0.0358754	0.0809869	0.122911	0.229794	0.476259
