 	mon	oncle	m'	avait	appris	à	déchirer	la	liane	elo	</S>
a66	0.0489628	0.0572531	0.0638058	0.102395	0.152918	0.189096	0.272349	0.0969495	0.0113322	0.00324882	0.00169067
a87	0.22704	0.180889	0.133831	0.130029	0.10092	0.08026	0.0802476	0.0267044	0.0144148	0.0147456	0.0109182
a23	0.287377	0.227324	0.13128	0.115071	0.0848149	0.0546894	0.0505836	0.0230813	0.012408	0.0066638	0.00670779
a83	0.378662	0.278886	0.117641	0.0756359	0.0427498	0.0194096	0.0211788	0.0116058	0.015458	0.0171584	0.0216143
a99	0.16823	0.166129	0.12332	0.116025	0.102825	0.0595691	0.0674798	0.0406568	0.0418044	0.0576574	0.0563023
a53	0.191992	0.192691	0.135189	0.130594	0.114546	0.0628902	0.0647135	0.0355757	0.0275604	0.0256652	0.0185827
a90	0.187197	0.12209	0.117612	0.113169	0.133349	0.0771557	0.0675217	0.0608724	0.0585793	0.0445037	0.0179497
a56	0.103144	0.0702755	0.101965	0.101988	0.143338	0.0963125	0.083728	0.0804228	0.0932405	0.0956362	0.0299484
a98	0.10047	0.072531	0.0972463	0.0925981	0.118339	0.0695508	0.0590867	0.0521579	0.0872742	0.167732	0.0830137
a92	0.036335	0.0386574	0.0666693	0.0772706	0.125169	0.0980182	0.0957669	0.0942509	0.118003	0.147458	0.102402
a12	0.0638078	0.0624875	0.0885707	0.0941298	0.119646	0.0935645	0.0791085	0.0725595	0.0709611	0.129255	0.12591
a21	0.056738	0.0738033	0.112918	0.128151	0.147623	0.125641	0.107589	0.064159	0.0391387	0.0682452	0.0759935
a12	0.0362088	0.0555982	0.0932721	0.113574	0.134698	0.125873	0.117019	0.0821855	0.0530643	0.0917561	0.096751
a75	0.0242443	0.0449855	0.0875669	0.120062	0.154972	0.14844	0.141276	0.0878555	0.0481869	0.0682293	0.0741811
a85	0.014742	0.0293279	0.0607437	0.0862013	0.116395	0.11421	0.120699	0.102321	0.0673975	0.134873	0.15309
a37	0.00829522	0.015438	0.033284	0.0466268	0.0723163	0.0909762	0.124871	0.112245	0.0885465	0.191295	0.216105
a61	0.00927629	0.0194092	0.0398599	0.0624984	0.0938566	0.109022	0.12053	0.0982144	0.0691612	0.16679	0.211382
a88	0.00645514	0.0107922	0.0246278	0.0424886	0.0764629	0.104712	0.120666	0.096353	0.0652645	0.194637	0.257541
a54	0.009424	0.017451	0.0272772	0.0442779	0.0632336	0.0844962	0.104488	0.0908673	0.0668337	0.16249	0.329161
a47	0.00321176	0.0058147	0.00907771	0.0143556	0.0185926	0.0269971	0.0329999	0.0307106	0.043455	0.258397	0.556388
a0	0.00180826	0.00283004	0.00395306	0.00627065	0.00818795	0.0142667	0.0184582	0.0233663	0.0415061	0.265975	0.613378
a54	0.00280601	0.00428684	0.00551678	0.00809595	0.0109855	0.0149209	0.017588	0.0193341	0.0383593	0.247623	0.630484
a47	0.00116535	0.00136525	0.00169754	0.00239253	0.00295843	0.00405943	0.00523858	0.00846466	0.039638	0.306975	0.626046
a92	0.00104795	0.00122079	0.00151723	0.00222628	0.00300158	0.00397186	0.00451758	0.00772889	0.0444464	0.308972	0.62135
a21	0.000360382	0.000415259	0.000582634	0.000880646	0.00103831	0.00161099	0.00208856	0.00559225	0.0559651	0.293097	0.638369
a5	0.000587751	0.000658446	0.000868361	0.00130732	0.00150571	0.00226306	0.00323144	0.00636505	0.0473627	0.25661	0.67924
a37	0.00046345	0.000577098	0.000806071	0.00117383	0.00127179	0.00170611	0.00210279	0.00401573	0.0378449	0.258147	0.691891
a79	0.000712801	0.00092295	0.00100815	0.00144059	0.00168702	0.00171853	0.00172579	0.00256382	0.0186551	0.19477	0.774796
a44	0.000320738	0.000344149	0.000480908	0.000709634	0.000892369	0.00113135	0.00118246	0.00212369	0.0192803	0.191306	0.782229
a57	0.000494025	0.000518988	0.000759717	0.00120136	0.00168249	0.00206452	0.00193344	0.00327636	0.0228078	0.201202	0.764059
a82	0.0067851	0.00502166	0.00637305	0.00964006	0.0118138	0.0102769	0.00568072	0.0118724	0.0383822	0.211228	0.682926
a87	0.118501	0.0606991	0.0501312	0.0713326	0.10456	0.0947196	0.0611847	0.0537762	0.0509477	0.113718	0.22043
a23	0.184528	0.0986428	0.0734148	0.0887458	0.109265	0.0966222	0.075705	0.0662745	0.0438674	0.0808096	0.082124
a99	0.0602956	0.0281225	0.0232491	0.0232775	0.0264428	0.026925	0.0197265	0.026139	0.0610731	0.246349	0.458399
a97	0.025455	0.0138164	0.0118763	0.0126288	0.0147266	0.0187017	0.0157478	0.0275792	0.0638778	0.235114	0.560476
a87	0.0137139	0.0109211	0.00880178	0.0108318	0.0142537	0.0169742	0.0175207	0.0219813	0.0465892	0.244594	0.593818
</S>	0.0195494	0.0157103	0.0153089	0.0192206	0.0259006	0.028158	0.0297302	0.0315594	0.0465016	0.215836	0.552525
