 	il	y	a	une	querelle	entre	ces	jeunes	filles	</S>
a66	0.288517	0.197017	0.185412	0.108347	0.0640825	0.0575112	0.0437868	0.0251977	0.0171425	0.0129858
a87	0.353675	0.289998	0.19616	0.0686278	0.0206543	0.0201366	0.0162285	0.0130293	0.0100147	0.0114753
a23	0.377476	0.273337	0.20139	0.0786793	0.0208277	0.0152319	0.0103565	0.00650929	0.00740935	0.00878319
a40	0.2161	0.16956	0.113716	0.0644218	0.0394412	0.0442259	0.0502313	0.0588437	0.104167	0.139293
a6	0.249789	0.191113	0.141578	0.0698612	0.0348626	0.0478819	0.0668281	0.0719763	0.0664814	0.0596286
a36	0.149493	0.159919	0.173215	0.128118	0.122979	0.0953649	0.0730905	0.0398639	0.0285333	0.0294233
a98	0.133844	0.154122	0.205963	0.149302	0.159113	0.0896635	0.0492194	0.0223841	0.0169252	0.0194638
a47	0.0699583	0.107559	0.16161	0.182351	0.239781	0.122094	0.068305	0.0217292	0.0150938	0.011519
a85	0.0663934	0.0750738	0.0955613	0.127421	0.258091	0.203425	0.101292	0.0328092	0.0212139	0.0187186
a6	0.0373589	0.048366	0.0673323	0.111227	0.243275	0.213959	0.131999	0.0608556	0.0480676	0.0375606
a37	0.0463618	0.0509177	0.0689038	0.121542	0.225043	0.194149	0.126613	0.0719685	0.0533552	0.0411458
a44	0.022752	0.023311	0.028643	0.0791766	0.159585	0.21486	0.184459	0.126717	0.0909632	0.0695339
a15	0.0158524	0.0134926	0.0175915	0.0382998	0.0701602	0.161419	0.20093	0.186887	0.16589	0.129478
a47	0.00347451	0.00249127	0.00348964	0.0102961	0.0308809	0.0754041	0.127119	0.185742	0.26932	0.291783
a36	0.00211823	0.00142288	0.0018003	0.00356875	0.00992478	0.0300857	0.0810827	0.16919	0.3232	0.377606
a37	0.0028499	0.00210637	0.0026669	0.00444959	0.0078345	0.0242051	0.0823512	0.168875	0.304871	0.39979
a44	0.00339747	0.00226326	0.00266404	0.00574262	0.0108275	0.0292236	0.0851914	0.186066	0.315662	0.358962
a58	0.00374803	0.00266833	0.00257191	0.00536956	0.0106117	0.0243575	0.0657411	0.151551	0.31763	0.415751
a4	0.00441893	0.00274125	0.00211231	0.00233627	0.00511631	0.0111895	0.0343174	0.106765	0.291311	0.539692
a57	0.00356874	0.00266063	0.00210147	0.00442179	0.0114098	0.0283246	0.0605099	0.125919	0.281961	0.479123
a82	0.00816573	0.00476311	0.00295245	0.00311719	0.00567217	0.0140644	0.0416345	0.134057	0.305363	0.480211
a87	0.226949	0.119219	0.0891319	0.0584868	0.0389796	0.0539986	0.0692807	0.0820964	0.117345	0.144513
a23	0.339729	0.227795	0.184503	0.112066	0.0436239	0.0321909	0.0220007	0.0139811	0.012496	0.0116146
a87	0.233938	0.172702	0.131324	0.11806	0.0692894	0.0558082	0.0542873	0.0438499	0.0584349	0.0623055
a23	0.0376146	0.0306985	0.0274176	0.0341178	0.0495135	0.0615646	0.108186	0.118707	0.246503	0.285678
a87	0.0645249	0.060169	0.0577472	0.0771421	0.087332	0.0916338	0.114846	0.0994027	0.163732	0.18347
</S>	0.040025	0.0474614	0.0484441	0.0652359	0.0742533	0.0789777	0.112449	0.105568	0.202648	0.224938
