 	la	tornade	a	fait	tomber	les	bananiers	dans	le	champ	</S>
a87	0.143506	0.10146	0.129728	0.132871	0.15966	0.0905702	0.117431	0.0607888	0.0331995	0.0176251	0.0131618
a23	0.210612	0.092407	0.0902683	0.0739582	0.0649989	0.0550079	0.0679482	0.0561653	0.0684342	0.089161	0.13104
a87	0.198503	0.123917	0.101724	0.0797957	0.0708734	0.0712355	0.0721155	0.0549538	0.0565479	0.0660194	0.104315
a10	0.194928	0.133017	0.105207	0.0904203	0.0782643	0.0710247	0.07859	0.0679379	0.0712366	0.0549633	0.0544109
a87	0.1532	0.106169	0.0914597	0.0800975	0.0864896	0.0828474	0.108546	0.082363	0.0801654	0.0636365	0.0650263
a62	0.147917	0.114179	0.103624	0.0852055	0.0869806	0.0740725	0.102059	0.086938	0.0834237	0.0622949	0.0533066
a47	0.259592	0.173055	0.122496	0.0730665	0.0749667	0.0678552	0.0604211	0.0566584	0.0390391	0.0333702	0.0394794
a96	0.365506	0.20556	0.141075	0.0784462	0.0611647	0.0391455	0.0339275	0.0253164	0.0174729	0.0152365	0.0171492
a70	0.308725	0.18802	0.135035	0.0906569	0.0753174	0.0585339	0.0455326	0.0337537	0.0228921	0.0195479	0.021985
a94	0.20219	0.153823	0.133901	0.11452	0.0942173	0.0827204	0.0661029	0.0532663	0.0386362	0.0295739	0.031049
a75	0.100598	0.103045	0.113101	0.123793	0.129489	0.127858	0.103719	0.0693905	0.0480709	0.0386264	0.0423094
a43	0.0826553	0.100683	0.122109	0.137205	0.143419	0.130777	0.0973276	0.0585903	0.0389246	0.0396699	0.0486385
a75	0.0709508	0.107015	0.131991	0.149363	0.142422	0.121681	0.108088	0.0631701	0.0398731	0.0313907	0.0340556
a90	0.0767276	0.102423	0.130126	0.148825	0.140609	0.116317	0.0856753	0.052056	0.0409311	0.0479456	0.0583654
a4	0.0585957	0.0976082	0.129206	0.15561	0.144796	0.123097	0.102375	0.064896	0.0436436	0.0385062	0.0416672
a93	0.0453559	0.0699566	0.093831	0.132338	0.142023	0.135782	0.118555	0.0761679	0.0574932	0.0587812	0.0697159
a56	0.0454846	0.0745699	0.0970383	0.134514	0.134229	0.122347	0.108685	0.0737538	0.0633085	0.0658809	0.0801884
a11	0.0501674	0.0687623	0.0902557	0.13622	0.137908	0.120068	0.101985	0.0702012	0.0635855	0.074963	0.085884
a75	0.0210896	0.0365015	0.0462418	0.0893911	0.135824	0.143778	0.143084	0.0956488	0.0866652	0.094203	0.107573
a73	0.039906	0.0444946	0.0468109	0.072091	0.0876727	0.112929	0.109458	0.0786476	0.0850092	0.135101	0.18788
a2	0.020813	0.0246414	0.0277065	0.0444186	0.0712525	0.107333	0.131637	0.0913341	0.104504	0.157365	0.218995
a76	0.00650437	0.0159868	0.0159558	0.0313087	0.0583313	0.123483	0.145964	0.111685	0.108562	0.152081	0.230139
a44	0.0160293	0.014019	0.0156867	0.0203182	0.0244061	0.0466138	0.0736589	0.0727104	0.11752	0.238703	0.360334
a11	0.0106991	0.0150912	0.0172322	0.0302271	0.0518757	0.0954162	0.117751	0.0906155	0.114823	0.186906	0.269362
a75	0.00650834	0.0104065	0.0110235	0.0207418	0.0401629	0.0817062	0.106883	0.0794836	0.10589	0.197853	0.339341
a73	0.00730062	0.00866822	0.00998444	0.0171346	0.0286146	0.0597278	0.0832947	0.0659604	0.0992803	0.230585	0.38945
a44	0.00438653	0.00581941	0.00657489	0.0119004	0.0221515	0.0638761	0.106327	0.0946432	0.128165	0.219554	0.336602
a4	0.00281792	0.00423269	0.00438973	0.00800609	0.01496	0.0447481	0.0769746	0.0755611	0.118928	0.228944	0.420438
a66	0.00195583	0.00312773	0.00349473	0.00635875	0.0129883	0.041927	0.0725194	0.0771275	0.125559	0.232764	0.422177
a36	0.0002411	0.000418642	0.000444703	0.00108396	0.00263338	0.0106838	0.019284	0.0221496	0.0600989	0.238145	0.644817
a2	0.00028544	0.00044727	0.000444485	0.000835042	0.00159108	0.00614733	0.014173	0.0246766	0.0784336	0.265754	0.607212
a57	0.00572415	0.00386153	0.00347036	0.00338733	0.00394111	0.0116343	0.0199287	0.0324876	0.0881047	0.274746	0.552714
a87	0.0187862	0.011738	0.0103219	0.00974687	0.0117405	0.0285861	0.0457452	0.0635986	0.124034	0.24946	0.426242
a23	0.0208094	0.0144029	0.0187166	0.0248456	0.044357	0.114186	0.156974	0.133316	0.141538	0.154055	0.1768
a87	0.0101049	0.00734594	0.0100672	0.016015	0.0351519	0.0881788	0.101235	0.0759096	0.0959663	0.187045	0.372981
a23	0.00573478	0.00533863	0.00932906	0.0189525	0.0412311	0.089925	0.0875796	0.0707429	0.094084	0.180044	0.397038
a87	0.00744921	0.00534984	0.00927169	0.0177507	0.0413724	0.0919451	0.0961492	0.0796227	0.102705	0.180411	0.367973
</S>	0.00496106	0.00361458	0.00587782	0.0109444	0.0236594	0.0595705	0.0656221	0.0588495	0.10024	0.20502	0.461641
