 	mon	épouse	aime	la	propreté	</S>
a66	0.609814	0.315328	0.0485059	0.0169199	0.0054598	0.00397153
a87	0.712449	0.208597	0.0390605	0.018046	0.0118254	0.0100213
a23	0.696272	0.211911	0.0362531	0.01704	0.0192575	0.0192666
a79	0.535372	0.166593	0.0466776	0.0257661	0.0726468	0.152945
a7	0.408616	0.255078	0.120142	0.0634915	0.0734918	0.0791807
a36	0.336957	0.328475	0.167483	0.0715314	0.0538816	0.0416717
a11	0.178266	0.248891	0.309793	0.145126	0.0843766	0.0335467
a54	0.162674	0.28236	0.359105	0.112765	0.0585597	0.0245362
a6	0.11219	0.218504	0.390241	0.156182	0.0839235	0.0389596
a37	0.0888095	0.168889	0.304121	0.185343	0.158594	0.0942436
a5	0.121503	0.189271	0.300278	0.168416	0.133901	0.0866311
a12	0.102786	0.148062	0.270991	0.189825	0.163735	0.1246
a96	0.0546517	0.0721944	0.178672	0.271613	0.256205	0.166663
a90	0.0581859	0.064662	0.135993	0.233908	0.271621	0.23563
a79	0.0389764	0.0434789	0.105988	0.243852	0.310332	0.257373
a56	0.0180548	0.0178074	0.0519885	0.175295	0.323866	0.412989
a32	0.0119044	0.0101231	0.0220177	0.0952016	0.278431	0.582322
a31	0.0105495	0.00865542	0.0172172	0.0678675	0.25172	0.64399
a88	0.00463729	0.00427609	0.00984455	0.0430444	0.217855	0.720343
a71	0.0034532	0.00447899	0.0146104	0.0569552	0.207844	0.712658
a9	0.0161039	0.0163464	0.0305461	0.0929693	0.226073	0.617961
a10	0.206936	0.134593	0.122618	0.139403	0.152017	0.244432
a87	0.535661	0.242642	0.0822136	0.0555082	0.0441319	0.0398431
a23	0.495639	0.24955	0.0882919	0.0590034	0.0545016	0.0530145
a87	0.311633	0.135473	0.0529171	0.0766518	0.159324	0.264001
</S>	0.0390188	0.0193127	0.0187895	0.0732469	0.314332	0.5353
