 	sa	façon	de	parler	m'	énerve	</S>
a66	0.309932	0.216345	0.191981	0.127006	0.0968457	0.0376846	0.0202059
a10	0.257502	0.216807	0.185032	0.145112	0.0980686	0.0551441	0.0423335
a87	0.399513	0.352876	0.11726	0.0647225	0.0307144	0.0173884	0.0175256
a23	0.379715	0.327856	0.131887	0.0755556	0.0413332	0.0228209	0.0208326
a62	0.329448	0.405914	0.137339	0.0622952	0.0281912	0.0186468	0.0181653
a88	0.384757	0.373318	0.139928	0.0557568	0.0260974	0.0133092	0.0068328
a24	0.362338	0.374415	0.135833	0.0730593	0.0324753	0.0141751	0.00770379
a62	0.265341	0.358866	0.15849	0.114534	0.0599549	0.0256525	0.0171607
a21	0.272472	0.344998	0.154931	0.119209	0.0621398	0.0275573	0.0186924
a85	0.23219	0.317071	0.182383	0.155708	0.0696562	0.0260433	0.0169483
a79	0.195633	0.319444	0.198797	0.155003	0.0649137	0.0327396	0.0334696
a92	0.178382	0.266023	0.187157	0.144004	0.0990271	0.0593315	0.0660747
a21	0.15315	0.217449	0.205058	0.16031	0.112143	0.0687174	0.0831726
a61	0.117454	0.183866	0.164279	0.135771	0.127943	0.110126	0.160561
a43	0.0877288	0.11534	0.128462	0.125969	0.155575	0.143504	0.24342
a96	0.0687696	0.0806051	0.0820272	0.0897991	0.157081	0.208653	0.313065
a43	0.0326885	0.0334804	0.0330487	0.0458598	0.128566	0.284594	0.441763
a75	0.0204436	0.016893	0.0167218	0.0216532	0.0764038	0.266693	0.581192
a92	0.0042196	0.00378782	0.00470986	0.00795598	0.0437747	0.245526	0.690026
a56	0.00229264	0.00204061	0.00277329	0.00493053	0.0336412	0.230413	0.723909
a44	0.00345639	0.00360647	0.00470331	0.00907773	0.0466103	0.213952	0.718594
a21	0.00307527	0.00284614	0.00421722	0.00730991	0.0343954	0.20475	0.743406
a34	0.00157499	0.00161471	0.00220181	0.00450506	0.0253755	0.186351	0.778377
a96	0.00150317	0.00162634	0.00226873	0.00448652	0.0213441	0.164621	0.80415
a37	0.00259058	0.00268793	0.00480997	0.00855731	0.0341159	0.197191	0.750047
a26	0.00560914	0.00527429	0.00850041	0.0135962	0.0531176	0.223667	0.690235
a82	0.0406914	0.0346303	0.0552553	0.0638133	0.102061	0.194972	0.508576
a97	0.296892	0.156616	0.0864282	0.0622923	0.0725859	0.106882	0.218303
a87	0.343947	0.275911	0.119133	0.0609183	0.0473369	0.058092	0.0946624
a23	0.240074	0.228297	0.133007	0.0806846	0.0792562	0.10566	0.133021
a99	0.0807966	0.0548127	0.0400149	0.042839	0.0674798	0.168404	0.545653
a97	0.0468112	0.0474114	0.0501386	0.0666487	0.0915455	0.193397	0.504048
</S>	0.0403473	0.0503895	0.0396578	0.0489999	0.0675577	0.176825	0.576223
