 	il	partit	bravement	sans	se	retourner	</S>
a10	0.102066	0.0595124	0.105426	0.10924	0.123623	0.186567	0.313565
a53	0.180397	0.118881	0.122598	0.0969873	0.0895724	0.133269	0.258294
a15	0.154823	0.0858239	0.108519	0.0979166	0.110918	0.124259	0.31774
a98	0.446492	0.121466	0.089504	0.0718187	0.0832705	0.0645636	0.122886
a56	0.556947	0.133352	0.0866227	0.0563613	0.0519988	0.043874	0.0708446
a0	0.52433	0.16884	0.122921	0.0741193	0.0431958	0.0280245	0.0385697
a75	0.341807	0.230247	0.170503	0.0997165	0.0546526	0.0412407	0.0618335
a98	0.168169	0.150695	0.162923	0.145716	0.125727	0.104172	0.142598
a56	0.126151	0.137211	0.167245	0.145787	0.1385	0.123437	0.16167
a43	0.226967	0.220912	0.188116	0.137186	0.0898407	0.0628354	0.0741432
a75	0.218602	0.260517	0.20379	0.152966	0.0763939	0.0414072	0.0463243
a73	0.0692201	0.0940177	0.148226	0.148344	0.15809	0.178141	0.203961
a37	0.0708602	0.103358	0.172647	0.188531	0.169901	0.144143	0.15056
a76	0.102692	0.139957	0.181426	0.203555	0.155374	0.105151	0.111844
a41	0.0290784	0.0395291	0.0763053	0.116422	0.170405	0.267556	0.300704
a27	0.0334099	0.0542294	0.113816	0.145248	0.167652	0.221213	0.264432
a10	0.0677291	0.0740055	0.101195	0.167819	0.190806	0.16575	0.232696
a90	0.0468089	0.0678341	0.0894479	0.156855	0.188733	0.189077	0.261244
a58	0.0443952	0.0498446	0.0759873	0.126173	0.175278	0.225904	0.302418
a82	0.0410768	0.047957	0.0757724	0.120769	0.177052	0.230208	0.307164
a10	0.0104542	0.0169252	0.0353297	0.074155	0.131436	0.246344	0.485356
a87	0.00761785	0.0122978	0.0377194	0.0774025	0.123898	0.24667	0.494394
a97	0.00852284	0.0141257	0.0454401	0.0628158	0.0957693	0.227383	0.545943
a13	0.0151163	0.0150739	0.0488347	0.0612436	0.0906585	0.218497	0.550576
a90	0.00827799	0.00603719	0.0154914	0.0281448	0.0656235	0.188411	0.688014
a94	0.0272634	0.0239319	0.0328326	0.0477638	0.0832023	0.203147	0.581859
a90	0.0261211	0.0231489	0.032054	0.0483166	0.083918	0.21051	0.575932
a25	0.0214516	0.0239939	0.0347701	0.057469	0.0964664	0.219459	0.54639
a44	0.00806216	0.0123288	0.0206646	0.0403796	0.0834666	0.227516	0.607582
a26	0.0127438	0.0187031	0.0292182	0.0584479	0.111766	0.244556	0.524565
a84	0.00506782	0.00827774	0.0122131	0.0252655	0.0565538	0.204378	0.688244
a38	0.00134094	0.00229307	0.00860059	0.0234691	0.0533033	0.22711	0.683883
a21	0.00202412	0.0023288	0.00569504	0.0135058	0.0403492	0.208466	0.727631
a12	0.0174125	0.0180325	0.0225502	0.0386763	0.0723319	0.217232	0.613764
a18	0.011155	0.014206	0.0182799	0.0320496	0.0649966	0.226199	0.633114
a25	0.00337197	0.00467741	0.011579	0.0243886	0.0485379	0.233704	0.673741
a82	0.00123813	0.00157029	0.00733827	0.017936	0.0418675	0.224179	0.705871
a10	0.00315385	0.00218684	0.00875466	0.0166722	0.0390392	0.208182	0.722011
a82	0.0142039	0.00721716	0.0255328	0.0406849	0.0679274	0.243469	0.600965
</S>	0.032156	0.0187794	0.0506149	0.0665134	0.0907831	0.225899	0.515254
