 	j'	ai	la	nausée	</S>
a66	0.497485	0.26956	0.11848	0.0742575	0.0402175
a87	0.469202	0.300693	0.135168	0.0688417	0.0260954
a23	0.47923	0.31062	0.140085	0.0482025	0.0218631
a18	0.478614	0.319843	0.124358	0.0535042	0.0236805
a20	0.481188	0.309428	0.115363	0.0675773	0.0264429
a4	0.536816	0.326623	0.0910886	0.032007	0.0134652
a53	0.238772	0.315622	0.266524	0.136425	0.0426577
a4	0.194073	0.242438	0.2888	0.204363	0.0703256
a53	0.135003	0.146863	0.266908	0.308688	0.142539
a44	0.122534	0.134509	0.259695	0.310326	0.172936
a4	0.0441593	0.0548665	0.169661	0.378511	0.352802
a94	0.0183079	0.0215885	0.0791955	0.337496	0.543412
a98	0.00734572	0.00839355	0.0333956	0.225861	0.725004
a88	0.00933311	0.00989559	0.0328575	0.197668	0.750246
a18	0.0066158	0.00799761	0.0243236	0.16306	0.798003
a71	0.0297403	0.0307996	0.0463152	0.173789	0.719356
a25	0.220859	0.119055	0.0926007	0.168494	0.398991
a87	0.389914	0.216536	0.112462	0.0955964	0.185492
a23	0.375965	0.237082	0.133578	0.102531	0.150843
a10	0.225771	0.161822	0.128534	0.178581	0.305292
</S>	0.133301	0.0834512	0.0865566	0.200232	0.49646
