 	je	n'	ai	pas	l'	habitude	de	prendre	du	vin	</S>
a15	0.208735	0.11123	0.0766519	0.0841813	0.121529	0.160745	0.122589	0.0584947	0.0297187	0.0140856	0.01204
a66	0.165382	0.112138	0.112544	0.128929	0.17129	0.143041	0.0735333	0.0347733	0.0245737	0.0166249	0.0171705
a87	0.430797	0.188722	0.108966	0.0666259	0.0576092	0.0397518	0.0242889	0.0171685	0.0172317	0.0200595	0.0287802
a23	0.355708	0.2157	0.154276	0.0940839	0.0669915	0.0330777	0.0203895	0.0134369	0.0137285	0.0147516	0.0178559
a83	0.331927	0.203891	0.173491	0.11172	0.0767237	0.0307965	0.0152125	0.0109773	0.0149006	0.0144683	0.0158929
a62	0.321759	0.184873	0.132109	0.0893593	0.086853	0.0583249	0.0307037	0.0244515	0.0318835	0.0211335	0.0185494
a21	0.277146	0.230686	0.185665	0.125419	0.0893463	0.0379634	0.017863	0.0108159	0.0112147	0.00826355	0.0056171
a12	0.188104	0.205357	0.214891	0.167923	0.115781	0.0469903	0.0201528	0.011473	0.0117422	0.00967407	0.00791045
a61	0.174768	0.201599	0.221266	0.171053	0.107957	0.041924	0.0212825	0.0137678	0.017036	0.0157976	0.0135488
a21	0.191645	0.194331	0.199015	0.168415	0.108839	0.0497272	0.0264634	0.0156872	0.0158167	0.0155397	0.0145207
a47	0.183429	0.181336	0.179518	0.172423	0.120277	0.0643036	0.0381341	0.0177343	0.0142762	0.0139764	0.0145926
a12	0.15931	0.145855	0.139241	0.157544	0.137328	0.0959173	0.0603917	0.0318659	0.0239332	0.0231785	0.0254355
a31	0.10112	0.0988749	0.100839	0.147325	0.139735	0.126269	0.0983298	0.0526145	0.037863	0.0428437	0.054186
a62	0.0790596	0.0699365	0.0647955	0.0985177	0.10658	0.128977	0.141401	0.0960188	0.0644437	0.0661922	0.0840778
a47	0.0511638	0.0389349	0.0331124	0.0499815	0.0578335	0.0943871	0.146761	0.160194	0.12368	0.114202	0.12975
a24	0.0534274	0.0428029	0.0381552	0.0482902	0.0498932	0.0844625	0.136922	0.161584	0.134111	0.119043	0.131308
a47	0.0257718	0.0213863	0.0191488	0.0231607	0.0232467	0.0415835	0.0793236	0.138068	0.169956	0.210467	0.247887
a75	0.0162754	0.0124328	0.0109557	0.0129636	0.0133872	0.0264505	0.0610488	0.141028	0.182116	0.234812	0.28853
a85	0.00296354	0.00198334	0.00169968	0.0024055	0.00306478	0.0076187	0.0255438	0.0902793	0.158363	0.28687	0.419208
a92	0.00302989	0.00216076	0.00184096	0.0024056	0.00297798	0.00677549	0.0192822	0.0671382	0.135075	0.297423	0.461891
a12	0.000487288	0.000362239	0.000331924	0.000455994	0.000684922	0.00265167	0.0120792	0.0586259	0.121766	0.279178	0.523376
a96	0.000862864	0.000738543	0.000718045	0.000894672	0.00109204	0.00253235	0.00962023	0.0466942	0.0949076	0.275649	0.566291
a66	0.000727985	0.000639844	0.000634697	0.000832092	0.00113042	0.00264745	0.00779038	0.0351629	0.0727738	0.234693	0.642968
a26	0.00611497	0.00413028	0.00380001	0.00366277	0.005605	0.0129678	0.0292487	0.0701908	0.101241	0.225229	0.537809
a54	0.0651257	0.0364255	0.0259199	0.0206468	0.0229179	0.0309563	0.0478771	0.0817662	0.106131	0.190491	0.371743
a47	0.00210508	0.00176333	0.0019009	0.00178394	0.00286285	0.00630537	0.0147482	0.048809	0.112147	0.243686	0.563889
a36	0.000262332	0.000238517	0.000241972	0.000251538	0.000390891	0.00100736	0.00312631	0.0167597	0.0544123	0.203024	0.720285
a2	0.00680535	0.00576433	0.00560113	0.0050946	0.00759119	0.0137829	0.0283789	0.0667319	0.112209	0.22207	0.525971
a57	0.103866	0.0628772	0.0430509	0.0351065	0.0348341	0.0392327	0.0541234	0.0852733	0.101189	0.158665	0.281783
a87	0.294144	0.144571	0.0795012	0.0490834	0.0470346	0.0400781	0.0446621	0.0504126	0.0587002	0.0748058	0.117008
a23	0.271231	0.168235	0.0994567	0.0582365	0.0503232	0.0376255	0.0369228	0.0395104	0.0546903	0.0713544	0.112414
a99	0.077572	0.0491736	0.0310827	0.0188898	0.0179926	0.0165898	0.0255454	0.0437243	0.0904012	0.214925	0.414104
a97	0.0581162	0.0346736	0.0218215	0.0138002	0.0137144	0.0157066	0.0280696	0.0466775	0.089312	0.220272	0.457836
a99	0.0201882	0.0150473	0.0120284	0.0099699	0.01115	0.0150115	0.0243645	0.042703	0.0813661	0.221368	0.546803
</S>	0.0404671	0.0340772	0.0265227	0.0197926	0.0206282	0.0216534	0.0299623	0.043434	0.0830887	0.201185	0.479189
