 	il	a	boudiné	le	fil	de	fer	</S>
a23	0.381234	0.228334	0.166841	0.0846513	0.0580881	0.0375193	0.022257	0.0210758
a53	0.424419	0.268311	0.1622	0.0674326	0.0263408	0.0162967	0.015677	0.0193229
a98	0.230966	0.172443	0.146829	0.122065	0.100593	0.0890535	0.0644073	0.0736437
a85	0.270473	0.209433	0.189471	0.108754	0.0830741	0.0616556	0.0432271	0.0339126
a36	0.343275	0.285255	0.231012	0.0653185	0.0295901	0.0165584	0.0154662	0.0135255
a26	0.222008	0.175329	0.297777	0.119282	0.071148	0.0380306	0.0337215	0.0427034
a61	0.224751	0.154271	0.248362	0.120139	0.0850517	0.0564712	0.0512991	0.0596547
a21	0.179846	0.120876	0.217659	0.154536	0.12249	0.0734714	0.0638751	0.0672468
a75	0.106276	0.0672744	0.10997	0.116551	0.148324	0.141209	0.146413	0.163982
a21	0.0754418	0.0584767	0.0965022	0.105377	0.141642	0.153946	0.162732	0.205883
a61	0.130286	0.102694	0.140648	0.147663	0.132898	0.102657	0.11068	0.132474
a75	0.0511995	0.0468345	0.0939488	0.142626	0.182261	0.150315	0.144458	0.188357
a6	0.0481353	0.0466271	0.0796449	0.0851436	0.101415	0.130741	0.195086	0.313208
a36	0.0443304	0.0400935	0.0719199	0.0800767	0.102952	0.116947	0.178837	0.364843
a2	0.0279672	0.0184816	0.0384019	0.0546528	0.0926658	0.137864	0.223847	0.40612
a57	0.0034055	0.0029079	0.00482001	0.00808619	0.0165748	0.0619925	0.208786	0.693427
a87	0.0262808	0.0228112	0.0375788	0.0497487	0.062815	0.102724	0.199111	0.49893
a23	0.087961	0.0718736	0.0933213	0.134627	0.138944	0.13968	0.149281	0.184314
a87	0.0723228	0.07396	0.0961516	0.103962	0.133301	0.144248	0.168788	0.207267
</S>	0.0241995	0.0313475	0.0742005	0.0934419	0.158609	0.204484	0.217137	0.196581
