 	oponzo	m'	a	donné	la	petite	part	du	gibier	</S>
a66	0.190165	0.108864	0.0770588	0.108086	0.108717	0.122186	0.118505	0.0910853	0.0458602	0.029473
a87	0.1267	0.0989511	0.105527	0.142284	0.148708	0.146502	0.145748	0.0541611	0.0169048	0.0145143
a23	0.418327	0.258656	0.125745	0.0759045	0.0452503	0.0287091	0.0208003	0.0136888	0.00593114	0.00698876
a13	0.435279	0.294148	0.132757	0.0654272	0.0287855	0.015095	0.0102131	0.00656923	0.00480136	0.00692414
a9	0.319783	0.229331	0.13774	0.0997401	0.0634747	0.0405266	0.0343889	0.0297463	0.0210548	0.0242153
a53	0.191685	0.20791	0.137409	0.121006	0.092095	0.0579909	0.0505992	0.0483014	0.0441158	0.048888
a44	0.240936	0.279045	0.178542	0.101144	0.0778414	0.0413392	0.0282335	0.0220139	0.0178385	0.0130665
a75	0.143642	0.225383	0.195396	0.12984	0.108955	0.0706656	0.0450664	0.0329393	0.0262492	0.0218621
a5	0.129191	0.197386	0.184282	0.138585	0.119352	0.0815065	0.0525221	0.0394186	0.0319646	0.0257924
a18	0.0431702	0.105821	0.143565	0.131602	0.123911	0.109072	0.0974336	0.0851386	0.0818091	0.078477
a62	0.0392766	0.0786406	0.111296	0.123552	0.115426	0.111682	0.110588	0.0967547	0.0936937	0.119091
a47	0.0218317	0.029849	0.0505271	0.0812075	0.085194	0.10428	0.12865	0.130597	0.150646	0.217218
a62	0.0300281	0.0326219	0.0510806	0.0894087	0.0942879	0.113753	0.1234	0.121656	0.147146	0.196617
a83	0.0144085	0.0125283	0.0197155	0.0378988	0.0453072	0.0723532	0.113004	0.143511	0.241995	0.299278
a75	0.00465631	0.00451495	0.0070052	0.0144445	0.0154357	0.0251987	0.0511783	0.0966149	0.265006	0.515945
a5	0.00408068	0.00437802	0.00827119	0.0159397	0.0165461	0.0296909	0.0683705	0.145702	0.305776	0.401245
a61	0.00284414	0.00227191	0.00425558	0.00854057	0.00997716	0.0183778	0.0527878	0.134718	0.305796	0.460431
a75	0.00118687	0.000918546	0.00189422	0.00424228	0.00479537	0.00887909	0.0271363	0.0852027	0.280017	0.585727
a37	0.000784263	0.000587502	0.00135335	0.00299786	0.0031281	0.00635474	0.0239856	0.0844703	0.292234	0.584104
a26	0.00062766	0.000555108	0.00113903	0.00271144	0.00336262	0.00590152	0.0173413	0.0398284	0.193333	0.7352
a82	0.0403517	0.0221929	0.0273847	0.0313553	0.0329631	0.0338141	0.0512234	0.0551139	0.160462	0.545139
a97	0.255432	0.109184	0.06777	0.0607446	0.0528977	0.0465842	0.0615898	0.0576728	0.097867	0.190258
a87	0.284458	0.136472	0.0663317	0.0548607	0.0456103	0.0378763	0.0440672	0.0471208	0.109026	0.174177
a23	0.210611	0.139306	0.089821	0.0801878	0.0660779	0.0568223	0.0602547	0.0647623	0.0989093	0.133248
a87	0.213439	0.0887162	0.0609587	0.0523313	0.0373085	0.0351806	0.0582543	0.0931154	0.166135	0.194561
a23	0.130601	0.0604355	0.0391599	0.0327732	0.0259795	0.0307285	0.0710943	0.121407	0.215372	0.272449
a87	0.204746	0.103157	0.067773	0.0565995	0.0432514	0.0434736	0.074992	0.106895	0.143455	0.155658
</S>	0.160327	0.072074	0.0486179	0.0429507	0.0349641	0.0417291	0.082219	0.124088	0.179405	0.213625
