 	je	n'	ai	rien	à	faire	</S>
a23	0.396954	0.172454	0.126238	0.122787	0.0951593	0.0459093	0.0404986
a98	0.427798	0.220934	0.166099	0.0821118	0.0449296	0.0259311	0.0321968
a24	0.41148	0.268274	0.174689	0.0657918	0.0341007	0.0217339	0.0239305
a98	0.389479	0.314538	0.193757	0.0651443	0.0235447	0.00808156	0.00545628
a24	0.226303	0.254068	0.264792	0.144307	0.0662189	0.02533	0.0189823
a41	0.176029	0.218685	0.231529	0.18458	0.108477	0.0473092	0.0333903
a24	0.176587	0.208554	0.196845	0.181282	0.124471	0.0655214	0.0467392
a41	0.152164	0.185143	0.192274	0.182872	0.134211	0.0880022	0.0653332
a24	0.112623	0.125291	0.137698	0.183228	0.166969	0.14185	0.132341
a25	0.0630049	0.0660148	0.0724042	0.107276	0.144548	0.236543	0.31021
a38	0.0517769	0.0530048	0.0621811	0.145906	0.199321	0.218968	0.268842
a21	0.0225141	0.0190066	0.0202966	0.0598451	0.140827	0.279003	0.458507
a41	0.050529	0.0378838	0.0341198	0.0646491	0.123887	0.26665	0.422282
a27	0.0202097	0.0154098	0.016349	0.0390566	0.0986219	0.266899	0.543454
a23	0.0110481	0.00736788	0.00734912	0.0242483	0.0862513	0.268505	0.595231
a75	0.0140655	0.00641585	0.0063194	0.0205851	0.0688001	0.234605	0.649209
a73	0.00676383	0.00361878	0.0034104	0.0095284	0.0416091	0.23246	0.702609
a84	0.00595266	0.00306353	0.00334077	0.0115838	0.0473758	0.227938	0.700745
a57	0.00591742	0.00327743	0.00370673	0.0125332	0.0422193	0.180156	0.75219
a87	0.0230505	0.0162201	0.0154697	0.0309483	0.0666225	0.219227	0.628462
a23	0.0301292	0.0261782	0.0279246	0.0646318	0.135679	0.254452	0.461006
a87	0.0653025	0.0520649	0.0406985	0.0701194	0.13985	0.254171	0.377794
a23	0.0179588	0.0117557	0.010175	0.023067	0.0710033	0.263158	0.602882
a87	0.0563132	0.0446361	0.0322609	0.0498891	0.102524	0.262379	0.451997
</S>	0.0233827	0.0134288	0.0107905	0.0218035	0.0668734	0.26028	0.603442
