 	on	prend	du	thé	le	matin	</S>
a66	0.451518	0.297433	0.115646	0.0600712	0.0435242	0.0199492	0.0118591
a87	0.424918	0.385539	0.127725	0.0457169	0.00989501	0.00340986	0.0027954
a23	0.414807	0.352301	0.108263	0.0618962	0.0255007	0.0188577	0.0183744
a97	0.224443	0.357266	0.156849	0.124263	0.0360686	0.047064	0.0540465
a87	0.250876	0.412908	0.137514	0.0992976	0.0313208	0.0325476	0.0355355
a23	0.271992	0.340332	0.1534	0.123182	0.0355544	0.0355434	0.0399965
a10	0.185388	0.357344	0.171964	0.125939	0.0424907	0.0565706	0.0603032
a24	0.14973	0.306926	0.216711	0.202343	0.0386294	0.0402079	0.0454529
a31	0.132407	0.177233	0.203224	0.353695	0.0705172	0.0348354	0.0280878
a21	0.107126	0.196014	0.225278	0.329615	0.0720813	0.037268	0.0326173
a5	0.0710546	0.180813	0.234699	0.390123	0.0786572	0.0248953	0.0197579
a12	0.0468468	0.120515	0.23095	0.425056	0.105763	0.0391501	0.0317196
a75	0.0661061	0.10812	0.186118	0.3758	0.147633	0.0637967	0.0524267
a92	0.0348085	0.0671193	0.163575	0.297779	0.211241	0.12146	0.104016
a93	0.0240873	0.0335907	0.103208	0.210974	0.271164	0.197707	0.159268
a34	0.0170033	0.0144327	0.0399	0.119315	0.23836	0.306896	0.264093
a96	0.00312522	0.00256454	0.00930237	0.0405387	0.178764	0.370785	0.394919
a83	0.000684307	0.000750405	0.00242484	0.0105963	0.0701505	0.352499	0.562895
a9	0.000441797	0.000550068	0.0018665	0.0118562	0.0610328	0.342573	0.58168
a99	0.00967924	0.00897811	0.0142076	0.0302527	0.0791193	0.271559	0.586204
a87	0.048934	0.0370692	0.0338187	0.0616614	0.103904	0.244308	0.470304
a23	0.209687	0.151313	0.0741068	0.0776225	0.101592	0.166683	0.218996
a87	0.0172667	0.0179001	0.0277401	0.0552713	0.120382	0.310481	0.450958
</S>	0.00358259	0.00500894	0.0102217	0.0277528	0.139786	0.33439	0.479258
