 	ongondo	est	allée	consulter	un	guérisseur	pour	ses	maux	de	tête	</S>
a66	0.255129	0.167921	0.135532	0.0910828	0.0614266	0.0625693	0.0540451	0.0489136	0.0371003	0.0267591	0.027131	0.0323905
a87	0.251238	0.154823	0.0667257	0.0330424	0.0437655	0.0624859	0.0620459	0.0565054	0.0534397	0.0575262	0.0734213	0.0849811
a30	0.440935	0.213687	0.0882886	0.0308259	0.0247737	0.0314272	0.0267843	0.0200516	0.018191	0.0213267	0.0343456	0.0493633
a4	0.426508	0.210171	0.100185	0.0316791	0.0212172	0.0283648	0.0231591	0.0233629	0.0214845	0.0240882	0.0385735	0.0512063
a93	0.330603	0.294985	0.143027	0.0376026	0.0222877	0.0218627	0.014948	0.0170104	0.0179867	0.0218362	0.0334052	0.0444454
a70	0.372918	0.2911	0.163759	0.0398818	0.0156433	0.0158665	0.0113619	0.0139428	0.0137891	0.015056	0.0208043	0.0258767
a53	0.239903	0.211927	0.186022	0.0821014	0.0389136	0.0412251	0.0337999	0.0347629	0.0320906	0.0268496	0.0321263	0.0402791
a90	0.131508	0.151056	0.190167	0.112393	0.075543	0.0657689	0.0502104	0.0443409	0.0400384	0.0355297	0.0450875	0.0583563
a93	0.128642	0.13667	0.166658	0.111099	0.081963	0.0723543	0.0519415	0.0471331	0.0435688	0.0408726	0.0521224	0.0669752
a94	0.0965808	0.110952	0.145216	0.113884	0.100551	0.0836141	0.0609293	0.0495211	0.045607	0.0450722	0.0617599	0.0863131
a90	0.0719545	0.0933724	0.141009	0.113287	0.114263	0.0916923	0.067549	0.049881	0.0481473	0.0497183	0.0673926	0.0917332
a69	0.0582775	0.0860349	0.135198	0.115309	0.11962	0.0986499	0.0733388	0.0526628	0.0489896	0.0505784	0.0686277	0.092713
a20	0.0405622	0.0548707	0.0912139	0.105597	0.117888	0.114975	0.0949538	0.0787664	0.0702594	0.0641489	0.0752682	0.0914967
a47	0.0424228	0.0496047	0.092761	0.103008	0.108931	0.111126	0.0969179	0.0892142	0.0758318	0.0668966	0.0750175	0.0882684
a37	0.0491164	0.0600192	0.121577	0.126137	0.116959	0.102477	0.0785986	0.0657706	0.0573289	0.0583019	0.0712902	0.0924234
a79	0.0312445	0.0473994	0.105826	0.125228	0.119093	0.107571	0.0868251	0.0686173	0.0578981	0.0562688	0.0767033	0.117325
a44	0.0384663	0.0564609	0.122517	0.13495	0.114217	0.110842	0.0893812	0.0800779	0.0632145	0.0523801	0.0585218	0.0789707
a54	0.0223747	0.04132	0.0926831	0.136828	0.134916	0.121444	0.0975797	0.0814388	0.0657177	0.0548342	0.0623678	0.0884966
a36	0.0141278	0.0301948	0.0853019	0.144951	0.141408	0.115273	0.0927134	0.0863525	0.0668019	0.0585843	0.0684223	0.0958694
a37	0.0129065	0.029267	0.0690168	0.0967018	0.12165	0.100155	0.0817336	0.0732266	0.0601244	0.0659842	0.102849	0.186385
a44	0.015868	0.0333357	0.0641096	0.080113	0.112247	0.10461	0.0953458	0.0830027	0.0697186	0.0735386	0.101186	0.166926
