 	il	mérite	d'	être	battu	</S>
a23	0.826299	0.0846188	0.0152925	0.0135086	0.0220669	0.0382143
a87	0.707548	0.10384	0.0312135	0.0329843	0.0429045	0.0815099
a23	0.590644	0.17375	0.0478171	0.0449079	0.0532502	0.0896301
a20	0.302241	0.0662884	0.0274485	0.0685916	0.153019	0.382411
a7	0.443018	0.101784	0.0590757	0.125078	0.115986	0.155059
a20	0.637779	0.159548	0.0586111	0.0573227	0.0401541	0.0465846
a73	0.302671	0.209884	0.16403	0.134914	0.0990516	0.0894496
a26	0.247077	0.217079	0.19481	0.147654	0.105892	0.0874875
a41	0.268285	0.230766	0.218866	0.123039	0.0850343	0.0740105
a76	0.137367	0.125794	0.229347	0.194364	0.164985	0.148142
a69	0.0733762	0.110769	0.227702	0.195793	0.201372	0.190988
a58	0.0926566	0.136855	0.204556	0.169228	0.188995	0.20771
a84	0.0823833	0.159141	0.199056	0.168491	0.182363	0.208565
a87	0.164955	0.222638	0.162744	0.128449	0.131377	0.189836
a23	0.0855233	0.170741	0.223464	0.17886	0.15203	0.189381
a87	0.0346706	0.0505458	0.103927	0.190842	0.230646	0.389369
</S>	0.00823111	0.0685394	0.106207	0.206277	0.260149	0.350596
