 	avec	tout	son	courage	il	est	resté	pauvre	</S>
a23	0.314031	0.123712	0.0890976	0.15491	0.116037	0.070598	0.0581912	0.0466622	0.0267621
a87	0.23325	0.115741	0.106582	0.177305	0.134048	0.0770424	0.064111	0.0466769	0.0452428
a23	0.112064	0.094005	0.100293	0.135229	0.127025	0.106751	0.0982715	0.0928769	0.133485
a83	0.126289	0.0900087	0.0893896	0.167309	0.116787	0.120277	0.118616	0.0814498	0.0898741
a20	0.269674	0.210935	0.182867	0.18164	0.0788717	0.0341786	0.0214965	0.0096675	0.0106703
a94	0.228971	0.227034	0.208938	0.194772	0.0744322	0.0293306	0.018311	0.0103412	0.00787016
a38	0.169519	0.223254	0.225601	0.195581	0.0907792	0.0395195	0.0266184	0.0164676	0.0126612
a30	0.101198	0.165209	0.205065	0.208563	0.129174	0.0720827	0.0519519	0.0374864	0.0292694
a36	0.074795	0.108758	0.158214	0.187423	0.143062	0.0932507	0.081015	0.0781355	0.0753464
a26	0.0655218	0.0956249	0.147067	0.160724	0.13662	0.114436	0.101448	0.0930379	0.0855192
a75	0.0560686	0.0821643	0.13765	0.168079	0.126927	0.0975302	0.0937234	0.109386	0.128472
a73	0.0497262	0.080628	0.154674	0.206922	0.150487	0.111506	0.100543	0.0850594	0.0604533
a69	0.0541431	0.0834438	0.150175	0.193795	0.135076	0.0982768	0.105926	0.105104	0.0740597
a76	0.0290674	0.0397154	0.0684027	0.107607	0.113556	0.130513	0.168043	0.180557	0.162538
a44	0.0537117	0.0675427	0.0893083	0.114989	0.118645	0.1282	0.152654	0.152222	0.122728
a58	0.0273543	0.0323313	0.0535023	0.0790098	0.104056	0.135334	0.183203	0.210779	0.17443
a82	0.0243186	0.0252187	0.0458374	0.0683655	0.0880469	0.134382	0.178431	0.224423	0.210977
a11	0.0170432	0.0169744	0.0326091	0.0489022	0.0657774	0.115563	0.149332	0.250469	0.303329
a90	0.0202028	0.0182937	0.0306463	0.0388194	0.0566347	0.102842	0.140512	0.235813	0.356237
a69	0.0235138	0.0229785	0.0437342	0.054916	0.0671988	0.1206	0.160658	0.218705	0.287696
a58	0.0285208	0.025855	0.0471027	0.0578701	0.0589971	0.110824	0.16356	0.236797	0.270473
a82	0.0235136	0.0181005	0.0348872	0.0443644	0.0474686	0.106529	0.155401	0.24423	0.325505
a87	0.0127234	0.0098908	0.0135516	0.0150532	0.0195493	0.0624579	0.116304	0.264886	0.485585
a40	0.0200778	0.0122515	0.0157732	0.0199459	0.027301	0.0627422	0.0945956	0.24513	0.502183
a73	0.03868	0.0239953	0.0273762	0.0282011	0.0312971	0.0532363	0.0901457	0.17924	0.527829
a69	0.0285534	0.0251949	0.0442868	0.0472793	0.054089	0.101381	0.136105	0.210826	0.352284
a58	0.0167553	0.0176959	0.036822	0.0401337	0.0409979	0.093741	0.132903	0.225254	0.395698
a57	0.00363287	0.0033553	0.00693181	0.010623	0.0160471	0.0542965	0.0977164	0.225362	0.582035
a38	0.00400608	0.00242151	0.00426527	0.00654675	0.0103883	0.0381005	0.0823228	0.222255	0.629694
a90	0.00633496	0.00376033	0.00617675	0.0087638	0.0125483	0.0381624	0.084108	0.217418	0.622728
a53	0.010607	0.00778664	0.0149877	0.018846	0.0206516	0.0485775	0.0929982	0.228191	0.557354
a76	0.013396	0.00916158	0.0184304	0.0236395	0.021907	0.0433544	0.0789963	0.210734	0.580381
a4	0.0324814	0.019276	0.0335896	0.0451963	0.0366499	0.0534784	0.083247	0.196263	0.499818
a57	0.00488119	0.00355002	0.00652658	0.00926261	0.0112309	0.0294179	0.0597553	0.184099	0.691276
a82	0.00335046	0.00193881	0.00276369	0.00350821	0.00458634	0.0153813	0.0393013	0.169407	0.759763
a87	0.00517363	0.00270011	0.00241721	0.00221473	0.00334908	0.0120818	0.0357873	0.175231	0.761045
a23	0.0146035	0.00754056	0.00451449	0.00296378	0.00562214	0.0259369	0.0600722	0.19189	0.686856
a44	0.0313634	0.0233966	0.01626	0.00933778	0.0142134	0.0427967	0.0725802	0.236192	0.55386
a90	0.00595938	0.0032129	0.00378444	0.00560392	0.015187	0.062953	0.125142	0.247493	0.530665
a56	0.00407458	0.00250921	0.0039542	0.00601037	0.0107011	0.036825	0.0785194	0.228362	0.629044
a61	0.00274686	0.00187502	0.00259557	0.00391495	0.00770204	0.0300291	0.0680749	0.213509	0.669552
a34	0.00321486	0.0022345	0.00263742	0.00345485	0.00594315	0.0231994	0.0590798	0.20963	0.690606
a56	0.00162338	0.00122735	0.0015953	0.00215872	0.00396471	0.0153952	0.0438866	0.190838	0.739311
a93	0.00159211	0.00117744	0.00167273	0.00228698	0.00429233	0.016866	0.0463087	0.190262	0.735541
a4	0.0013008	0.00100605	0.00143013	0.0018952	0.00341913	0.0140539	0.0417155	0.177148	0.758031
a57	0.00104291	0.000787689	0.00121726	0.00181959	0.00341288	0.0129021	0.0364207	0.174269	0.768128
a9	0.00132006	0.00083894	0.00133336	0.00210062	0.00333725	0.0150692	0.0421662	0.180322	0.753512
a87	0.0266523	0.013433	0.0110404	0.011483	0.0151695	0.0376338	0.0775942	0.215275	0.591718
</S>	0.094528	0.0602234	0.0390941	0.0311965	0.0371002	0.0729375	0.108067	0.190232	0.366621
