 	j'	ai	puisé	de	l'	eau	au	puits	</S>
a66	0.214137	0.153405	0.152618	0.152134	0.131215	0.0916939	0.0585877	0.0282944	0.0179147
a87	0.2757	0.181299	0.17942	0.154427	0.11604	0.0591859	0.0225585	0.00666824	0.0047005
a23	0.303727	0.231447	0.220887	0.124952	0.0682816	0.0276384	0.01161	0.00546865	0.00598814
a83	0.281134	0.259767	0.314573	0.0784496	0.0345112	0.0114832	0.00601252	0.00570354	0.00836613
a62	0.193678	0.192885	0.352366	0.119937	0.0609215	0.0260558	0.0180809	0.0159203	0.0201564
a88	0.279438	0.247693	0.289725	0.104942	0.0482736	0.0177044	0.00665535	0.0029319	0.0026364
a71	0.188471	0.208434	0.267579	0.170425	0.0973003	0.0402352	0.0154252	0.00667671	0.00545363
a38	0.0834635	0.113944	0.182634	0.212705	0.178007	0.112037	0.0636709	0.0294655	0.0240737
a75	0.0713786	0.102314	0.173812	0.196081	0.168808	0.117306	0.0861172	0.0465105	0.0376718
a21	0.0643391	0.0890702	0.147664	0.178122	0.1611	0.149967	0.110357	0.0555097	0.043872
a12	0.0657384	0.0849832	0.143745	0.182019	0.18176	0.145118	0.102851	0.0520816	0.0417039
a75	0.0538533	0.0749112	0.13098	0.174334	0.195639	0.134457	0.105066	0.0697082	0.0610504
a98	0.0270533	0.0437614	0.0874546	0.124558	0.15215	0.172805	0.171348	0.124901	0.0959692
a85	0.0279784	0.0402523	0.0705283	0.102814	0.136738	0.173522	0.181163	0.146422	0.120581
a92	0.0191332	0.0257313	0.0452382	0.0768351	0.121763	0.171045	0.200879	0.176326	0.163049
a56	0.019596	0.0239438	0.0370728	0.0671882	0.116524	0.171033	0.213025	0.181603	0.170015
a96	0.0121904	0.0125544	0.0177422	0.0316652	0.0696068	0.138363	0.226799	0.255536	0.235542
a21	0.00758925	0.0062018	0.00732288	0.0110885	0.0224875	0.0485935	0.129555	0.344002	0.42316
a85	0.00477024	0.00360897	0.00374156	0.0057378	0.0113123	0.0285375	0.0891074	0.361307	0.491877
a6	0.00103005	0.000927226	0.00118509	0.00192222	0.00353642	0.0120664	0.0539166	0.300185	0.625231
a36	0.0022164	0.00181664	0.00260587	0.00499373	0.00780817	0.0202571	0.0583545	0.263506	0.638441
a27	0.0109801	0.00825426	0.00911964	0.012674	0.0153931	0.0316534	0.0638583	0.210389	0.637678
a84	0.039141	0.0261252	0.0254441	0.0376677	0.0484656	0.0915185	0.116974	0.196684	0.41798
a87	0.0710709	0.0418655	0.0439451	0.0735793	0.0875079	0.111457	0.134666	0.187077	0.248831
a23	0.188443	0.0887777	0.0878019	0.10627	0.0990092	0.111444	0.109348	0.102333	0.106574
a99	0.10742	0.0673033	0.0781206	0.100735	0.0812367	0.0888112	0.100003	0.158745	0.217626
a87	0.0452702	0.0274806	0.0324882	0.0522965	0.0659501	0.102445	0.141236	0.219581	0.313252
a23	0.0112005	0.00619936	0.0058068	0.0124053	0.0167754	0.0396734	0.0847655	0.261955	0.561219
a97	0.0358497	0.0245798	0.0251359	0.0541313	0.0642747	0.0880018	0.115004	0.22256	0.370462
</S>	0.0467396	0.0300594	0.0276831	0.0591173	0.059824	0.0815216	0.105893	0.211604	0.377558
