 	mon	mari	vient	d'	acheter	un	rasoir	</S>
a66	0.301231	0.216947	0.147234	0.106601	0.0914538	0.0738238	0.0446345	0.0180756
a87	0.349783	0.20825	0.123763	0.0775648	0.0751087	0.0780945	0.0520604	0.0353747
a23	0.366653	0.257645	0.150842	0.0828651	0.0561342	0.0332635	0.0271335	0.025463
a13	0.386105	0.225832	0.120288	0.0721489	0.0547029	0.0438505	0.0402428	0.0568302
a53	0.233786	0.171503	0.13367	0.144363	0.122249	0.0689503	0.0587501	0.0667285
a44	0.321867	0.214557	0.159384	0.12761	0.0801257	0.0392097	0.0311836	0.026063
a20	0.159811	0.159175	0.171903	0.21103	0.14829	0.0671734	0.0453208	0.037297
a7	0.109812	0.114416	0.128927	0.191749	0.187142	0.116405	0.0969517	0.0545973
a79	0.0553037	0.0766482	0.111373	0.185609	0.174206	0.12459	0.143249	0.129021
a7	0.059956	0.085209	0.126742	0.184224	0.175946	0.138689	0.126122	0.103113
a94	0.0560584	0.0829063	0.127741	0.186228	0.165758	0.134177	0.118818	0.128314
a11	0.0485398	0.0707949	0.11258	0.172107	0.179465	0.172438	0.118344	0.125732
a70	0.0339742	0.0429888	0.0692066	0.117813	0.171528	0.229091	0.16392	0.171479
a53	0.032412	0.0364715	0.0547696	0.0931296	0.159157	0.249965	0.205952	0.168143
a69	0.0295109	0.0330409	0.0504882	0.0791357	0.13252	0.246804	0.234762	0.193739
a58	0.0320607	0.0356106	0.0512043	0.0711476	0.112797	0.209335	0.260405	0.22744
a11	0.0278184	0.0303158	0.0319413	0.0410708	0.0748961	0.125235	0.248605	0.420118
a12	0.0333856	0.0331641	0.0329331	0.0402457	0.0718993	0.11118	0.24405	0.433142
a96	0.00975201	0.00939061	0.0118116	0.0167537	0.0380463	0.106285	0.310397	0.497564
a18	0.00715564	0.00688632	0.00782545	0.0100877	0.0238649	0.0679883	0.28124	0.594951
a88	0.0239987	0.0204636	0.0191378	0.0204675	0.0364161	0.0636093	0.267173	0.548734
a38	0.00804819	0.00709645	0.00693235	0.0082315	0.0197723	0.0474425	0.223901	0.678576
a10	0.00887509	0.00690079	0.00674348	0.00885194	0.0203838	0.0476383	0.268432	0.632175
a87	0.0495188	0.0299216	0.0249826	0.028193	0.0521176	0.0867489	0.321774	0.406743
a23	0.313247	0.148758	0.0948658	0.07259	0.0868107	0.0919028	0.104283	0.0875427
a87	0.18708	0.0879658	0.0482632	0.0305687	0.049742	0.0924177	0.205387	0.298576
</S>	0.0313647	0.0189624	0.0126407	0.00916309	0.0188429	0.0490081	0.216282	0.643736
