 	l'	enfant	a	des	traces	de	rasages	sur	sa	tête	</S>
a66	0.265375	0.240025	0.216616	0.151807	0.0703404	0.0245366	0.0100782	0.00293097	0.0041696	0.00525446	0.00886574
a87	0.389661	0.238176	0.129888	0.0635699	0.0602926	0.0325193	0.0295766	0.0142455	0.0122956	0.0128581	0.0169181
a23	0.37724	0.26038	0.176323	0.0686667	0.0468914	0.0147167	0.013294	0.0110388	0.0109246	0.00973083	0.0107934
a79	0.314224	0.206433	0.144275	0.06838	0.0576559	0.0245776	0.0187683	0.0237512	0.0388079	0.0453985	0.0577276
a40	0.224503	0.13786	0.14469	0.101029	0.095457	0.0758252	0.0781752	0.0304425	0.0259083	0.0331812	0.0529276
a36	0.221649	0.181053	0.179949	0.127582	0.103847	0.0600269	0.0493679	0.0200324	0.0158353	0.0175949	0.0230634
a96	0.132503	0.127122	0.142403	0.151003	0.177247	0.116399	0.0752639	0.0221267	0.0170273	0.0190449	0.0198603
a79	0.0679685	0.074377	0.0970153	0.164558	0.231545	0.178865	0.131973	0.019308	0.0105307	0.0123927	0.0114663
a69	0.04337	0.050787	0.0818713	0.172692	0.232526	0.191615	0.151286	0.0268026	0.0148201	0.0177477	0.0164812
a94	0.0511452	0.0574798	0.088711	0.167465	0.187949	0.155467	0.0957652	0.057915	0.0422212	0.0493967	0.0464844
a12	0.018323	0.0169863	0.0233919	0.0535079	0.0946007	0.156696	0.0913532	0.133455	0.131349	0.14933	0.131007
a96	0.00895777	0.00742435	0.00920192	0.0186718	0.0389783	0.0793025	0.0740166	0.145935	0.204423	0.233407	0.179681
a24	0.00582354	0.00475155	0.00589745	0.0102677	0.0241818	0.0666237	0.0561682	0.148783	0.205839	0.244066	0.227597
a62	0.00379277	0.00332245	0.00414595	0.00585833	0.012163	0.0351183	0.0421799	0.136978	0.228813	0.27979	0.247838
a88	0.00242468	0.0022274	0.00245921	0.00369175	0.00749141	0.0243762	0.039042	0.15493	0.227467	0.269908	0.265982
a0	0.00106842	0.000946972	0.000893064	0.00120565	0.00264696	0.00976116	0.0184624	0.110598	0.202094	0.316025	0.336299
a75	0.00652044	0.00619208	0.00612782	0.00585185	0.00813275	0.0124888	0.0194437	0.120883	0.215586	0.290263	0.308511
a5	0.00105334	0.00105161	0.00102705	0.00142832	0.0032451	0.00849351	0.016656	0.0842165	0.193906	0.310846	0.378077
a43	0.000556398	0.000555214	0.000574314	0.000776255	0.00152944	0.00408977	0.01003	0.0899469	0.194052	0.313564	0.384326
a11	0.000847385	0.000896845	0.000973947	0.0014188	0.003008	0.00738533	0.00814824	0.0642215	0.161111	0.316486	0.435503
a24	0.00290545	0.00314457	0.00331758	0.00407114	0.00769489	0.0127749	0.0120201	0.0551733	0.137586	0.295485	0.465827
a88	0.00419657	0.00400564	0.00409393	0.00439231	0.00830895	0.0139615	0.0185536	0.0483297	0.113533	0.26491	0.515715
a71	0.0049629	0.00461688	0.00448972	0.00518249	0.0081381	0.0129577	0.0215793	0.0647901	0.140041	0.262831	0.47041
a9	0.0142836	0.011562	0.0101082	0.0118882	0.0151943	0.0228394	0.0317996	0.10036	0.18452	0.249564	0.347881
a87	0.122609	0.0762704	0.0487045	0.0466367	0.042313	0.0486772	0.0456906	0.0921801	0.14379	0.156736	0.176392
a23	0.305707	0.226595	0.157026	0.105115	0.0545846	0.0275872	0.0227523	0.0226676	0.0263938	0.0256236	0.0259487
a87	0.160756	0.122412	0.106078	0.076562	0.0696208	0.0433388	0.0428994	0.078138	0.100506	0.103263	0.0964272
</S>	0.0193089	0.0136195	0.010737	0.0116164	0.0211868	0.0321623	0.0395477	0.0723565	0.153184	0.264212	0.362069
