 	son	grand	frère	l'	a	obligé	de	répudier	sa	femme	</S>
a10	0.185044	0.12148	0.107268	0.129139	0.134331	0.147713	0.0714725	0.0400589	0.0233601	0.0207869	0.0193462
a87	0.188756	0.103864	0.0774438	0.07506	0.0745398	0.0905504	0.0779084	0.0660731	0.0623992	0.0852184	0.0981873
a23	0.191242	0.135884	0.0958332	0.0834595	0.0850497	0.0757652	0.0603588	0.0469708	0.0440403	0.0709301	0.110466
a79	0.164628	0.155665	0.15595	0.115299	0.104294	0.0834392	0.054402	0.0395738	0.0289767	0.0392798	0.0584928
a90	0.333319	0.189414	0.136576	0.0866649	0.0613992	0.0535639	0.0305343	0.0299883	0.0215416	0.0268111	0.0301872
a56	0.265239	0.173981	0.148974	0.130712	0.109911	0.0812977	0.0303594	0.0149383	0.00967557	0.0149569	0.019956
a62	0.158732	0.155263	0.163577	0.164345	0.148511	0.111298	0.0344545	0.0159351	0.0100385	0.0157983	0.0220472
a21	0.158432	0.164054	0.192107	0.188399	0.148468	0.0994997	0.0230394	0.00840437	0.00456726	0.00584694	0.00718236
a37	0.104971	0.124714	0.181679	0.210341	0.180651	0.130656	0.0328272	0.0110616	0.00610471	0.00773048	0.00926432
a85	0.0767347	0.099038	0.149978	0.197311	0.203877	0.171319	0.0468696	0.0175741	0.00988763	0.0122765	0.0151339
a37	0.0752752	0.100535	0.145623	0.165466	0.167633	0.144699	0.0717864	0.0438304	0.0269157	0.026643	0.0315927
a61	0.0905427	0.118427	0.157306	0.184154	0.190798	0.144543	0.0515206	0.0211584	0.0122218	0.013587	0.015743
a93	0.0807736	0.109927	0.136662	0.15744	0.181337	0.158539	0.0809651	0.0363607	0.018334	0.018212	0.02145
a90	0.0792515	0.0970362	0.117852	0.141134	0.169824	0.159742	0.099683	0.0528331	0.0277207	0.025333	0.0295901
a25	0.0531239	0.0673828	0.0874188	0.120041	0.167675	0.166654	0.12118	0.0735679	0.0460426	0.0447833	0.0521293
a96	0.0334086	0.0446918	0.0639657	0.0923775	0.132086	0.137815	0.136085	0.110262	0.07995	0.0766759	0.0926828
a61	0.0408567	0.0512423	0.0637744	0.0761099	0.111572	0.127369	0.135512	0.0975238	0.079634	0.0931542	0.123252
a24	0.0458055	0.04959	0.0563465	0.0747812	0.109135	0.13834	0.153754	0.122868	0.0833097	0.0746308	0.091439
a9	0.0371802	0.0413599	0.0466726	0.0573024	0.0811275	0.109425	0.153504	0.133586	0.097714	0.101317	0.140811
a38	0.0112233	0.0150877	0.0238009	0.0481474	0.0712255	0.0892885	0.112941	0.106002	0.120283	0.164286	0.237715
a56	0.0134582	0.0162765	0.0217847	0.032471	0.0455985	0.0579109	0.0928678	0.0998318	0.144206	0.19635	0.279244
a75	0.0195473	0.024286	0.029394	0.0371589	0.04824	0.0618844	0.105387	0.126478	0.155639	0.185528	0.206457
a92	0.0139229	0.0189719	0.0302492	0.040451	0.0512504	0.0585402	0.0757079	0.0810486	0.11557	0.212858	0.30143
a85	0.00791544	0.0108683	0.0162629	0.0246764	0.0368872	0.0492429	0.0863518	0.113398	0.163314	0.232094	0.258989
a92	0.00870823	0.0102186	0.0157628	0.0213305	0.0294644	0.0373016	0.0614043	0.0847232	0.146088	0.254795	0.330204
a56	0.0135641	0.0157699	0.0234549	0.0317247	0.0428706	0.054106	0.0751724	0.0864838	0.127187	0.229853	0.299814
a75	0.00712471	0.00802915	0.0105323	0.0139834	0.0198842	0.0262089	0.0497248	0.0743747	0.131366	0.273777	0.384996
a43	0.0102849	0.0105819	0.0138517	0.016612	0.0209974	0.0251684	0.0393559	0.0579351	0.117221	0.272508	0.415484
a11	0.00278186	0.00300985	0.00359818	0.0044162	0.00599997	0.00815589	0.0198771	0.0465868	0.119513	0.307943	0.478118
a24	0.00192667	0.00180929	0.00191729	0.00251283	0.00345839	0.00489257	0.0124337	0.0282127	0.100213	0.315991	0.526632
a9	0.00606709	0.00471705	0.00537412	0.00615875	0.00649917	0.00789944	0.0175498	0.0379302	0.119249	0.297905	0.490651
a10	0.0323874	0.021733	0.0164606	0.0146545	0.0135453	0.0152238	0.0465474	0.102682	0.157256	0.242578	0.336932
a87	0.0883378	0.0546364	0.0371945	0.0380138	0.0393211	0.0517248	0.107805	0.13351	0.13276	0.156805	0.15989
a23	0.0825026	0.0567283	0.048012	0.0629882	0.0669371	0.078747	0.120123	0.12159	0.106763	0.128542	0.127067
a10	0.0100339	0.00643034	0.00605481	0.00943885	0.0149234	0.0215271	0.0539781	0.0913644	0.14685	0.284379	0.35502
</S>	0.00965265	0.00877491	0.00873453	0.00921335	0.0130791	0.0173909	0.0385556	0.0712583	0.128542	0.275677	0.419121
