 	nous	avons	passé	la	nuit	dans	un	village	de	pygmées	</S>
a66	0.227113	0.147486	0.0949775	0.0601717	0.0830881	0.139432	0.124243	0.0741996	0.0308708	0.0113298	0.00708824
a87	0.390097	0.238995	0.123659	0.069403	0.0588758	0.0513562	0.0312844	0.0153859	0.00952865	0.0054241	0.00599024
a23	0.281524	0.178795	0.129485	0.0936173	0.0901768	0.0841173	0.0508479	0.0326466	0.0247313	0.0147611	0.0192968
a87	0.214888	0.169658	0.161488	0.125278	0.107567	0.0678699	0.0330992	0.0240667	0.0284197	0.0310696	0.0365953
a97	0.193642	0.131927	0.123001	0.125003	0.133271	0.106473	0.0593972	0.0400797	0.0373728	0.0262019	0.0236308
a83	0.222813	0.133949	0.116989	0.110744	0.113028	0.093036	0.0577326	0.044234	0.0443886	0.0328307	0.030255
a0	0.328763	0.152637	0.149545	0.0780484	0.0659291	0.0536795	0.0449624	0.038761	0.0419325	0.0258113	0.0199305
a47	0.267473	0.181068	0.189155	0.109622	0.0844434	0.0544406	0.0366679	0.0272283	0.024277	0.0156308	0.0099941
a61	0.169199	0.185706	0.236163	0.153945	0.0983785	0.0537072	0.0321086	0.0220696	0.0235878	0.0153034	0.00983168
a47	0.13316	0.162366	0.219627	0.176519	0.116437	0.0693954	0.0426187	0.0276693	0.0252183	0.0175514	0.00943824
a61	0.131359	0.134467	0.176681	0.170197	0.134954	0.0870118	0.0516322	0.0348938	0.029409	0.0308154	0.0185798
a43	0.101024	0.127631	0.168401	0.189324	0.147541	0.0993019	0.0578794	0.0356002	0.0274914	0.0287729	0.0170334
a11	0.0685717	0.0984287	0.130364	0.191552	0.166277	0.120205	0.0694108	0.0376475	0.0326564	0.0459965	0.0388896
a34	0.0588451	0.0801533	0.0915755	0.159416	0.164797	0.136218	0.0818693	0.0503049	0.046089	0.066509	0.0642234
a56	0.0604992	0.0837907	0.0859161	0.140422	0.152292	0.147534	0.101645	0.0655216	0.0438589	0.0633633	0.0551571
a75	0.0412868	0.055825	0.0574292	0.0995711	0.130003	0.158774	0.130297	0.0923689	0.0582378	0.0914617	0.0847457
a79	0.0154898	0.0204889	0.0223141	0.0437017	0.0714602	0.116036	0.11901	0.108949	0.100296	0.186004	0.196251
a7	0.00881737	0.0120291	0.0158394	0.0375118	0.0679471	0.13295	0.158786	0.131988	0.0943679	0.158935	0.180829
a53	0.0124278	0.0117734	0.0126061	0.0208755	0.0291031	0.0663927	0.126102	0.17022	0.122012	0.176205	0.252283
a56	0.00730329	0.0106788	0.01118	0.0176294	0.021162	0.0414547	0.0829294	0.128362	0.128326	0.237143	0.313831
a21	0.00462488	0.00457839	0.0041202	0.00789946	0.012315	0.0319915	0.0787385	0.148914	0.147873	0.228909	0.330036
a85	0.00270291	0.00285296	0.00240658	0.00481993	0.00732567	0.0168034	0.0381647	0.0842671	0.101582	0.264982	0.474092
a47	0.000614207	0.000929707	0.0010659	0.00285285	0.00404914	0.00878476	0.0214301	0.0530448	0.0778185	0.277772	0.551638
a36	0.000809558	0.00122324	0.001482	0.0034494	0.00409404	0.00592207	0.0122484	0.040088	0.0669079	0.245318	0.618457
a0	0.00276156	0.00268549	0.0028915	0.00462936	0.00500618	0.00705972	0.0117375	0.0313595	0.0556372	0.259039	0.617193
a54	0.00264185	0.00233595	0.00272994	0.00424353	0.004254	0.00640302	0.0117663	0.0315392	0.0732582	0.300915	0.559913
a36	0.000341154	0.000457253	0.000534829	0.00106403	0.00118988	0.00187839	0.00384793	0.0126639	0.0382667	0.280564	0.659192
a2	0.00621717	0.00454035	0.00440679	0.00516592	0.00387111	0.00488251	0.00853548	0.0211981	0.0442973	0.230071	0.666814
a57	0.0494601	0.0400753	0.0390635	0.0373978	0.0231043	0.0243286	0.0316803	0.045346	0.054543	0.176854	0.478147
a82	0.193764	0.115719	0.0854462	0.0629416	0.0445329	0.0407482	0.0404853	0.0454669	0.0478134	0.106352	0.21673
a97	0.190386	0.114287	0.0801107	0.056574	0.0419718	0.0387526	0.0371416	0.0431107	0.0482841	0.125987	0.223394
a87	0.16468	0.0993699	0.0690716	0.0526078	0.0476743	0.0520709	0.0516683	0.0681611	0.069785	0.138389	0.186523
a23	0.11438	0.0726307	0.057095	0.0493616	0.0490923	0.0611894	0.0701594	0.0914389	0.0830529	0.153627	0.197972
a87	0.0623183	0.0413974	0.0301874	0.0232671	0.0176122	0.0256164	0.0447373	0.0704957	0.108871	0.249233	0.326265
</S>	0.0241368	0.021015	0.0196386	0.021231	0.022778	0.0430979	0.0607451	0.0704647	0.0978951	0.252635	0.366363
