 	celui	qui	attaque	cet	enfant	mystiquement	c'	est	son	ami	</S>
a15	0.339907	0.239543	0.129156	0.0825278	0.0385284	0.0248602	0.0236455	0.0292254	0.0332004	0.0297329	0.0296744
a66	0.336498	0.150164	0.0838493	0.0840917	0.0521702	0.0470503	0.0542233	0.0551934	0.0518713	0.0450719	0.0398166
a87	0.566832	0.185522	0.0742222	0.0534377	0.0218728	0.014335	0.0114774	0.011256	0.013668	0.0215836	0.025794
a23	0.524109	0.215868	0.11088	0.0668268	0.0209779	0.00990961	0.00712343	0.0078804	0.0100161	0.0124284	0.0139806
a30	0.434899	0.195272	0.107834	0.0705545	0.0272694	0.0189472	0.0205236	0.0261587	0.029498	0.0336565	0.0353875
a4	0.398872	0.192715	0.113009	0.0833245	0.0378206	0.0277129	0.0254125	0.0283629	0.029266	0.0314302	0.0320743
a70	0.349273	0.229209	0.150577	0.0934805	0.0459083	0.0315799	0.0260809	0.024163	0.0186263	0.0164952	0.0146068
a94	0.169284	0.168433	0.195222	0.184396	0.0847883	0.0420808	0.0377452	0.0392468	0.0307486	0.0261376	0.0219169
a21	0.0755586	0.0831698	0.111837	0.144339	0.120757	0.0940868	0.0829419	0.0847213	0.0722609	0.0693145	0.0610129
a47	0.114997	0.111022	0.136656	0.15728	0.117556	0.0769122	0.0673031	0.0634959	0.0524309	0.0533749	0.0489705
a24	0.0760829	0.0726164	0.119241	0.151822	0.136225	0.119633	0.0846709	0.0726326	0.0542911	0.0583652	0.0544197
a41	0.0430944	0.039565	0.0659407	0.105828	0.142257	0.15346	0.118322	0.09552	0.0740146	0.0814863	0.0805131
a85	0.0218932	0.0189271	0.0248126	0.039186	0.0597788	0.11582	0.156396	0.146909	0.12297	0.143871	0.149436
a92	0.01217	0.0101537	0.0131958	0.0284357	0.0517643	0.109835	0.171504	0.148817	0.130991	0.155304	0.16783
a79	0.020026	0.0156898	0.019332	0.0479903	0.0747951	0.114189	0.153249	0.135966	0.126128	0.14029	0.152345
a90	0.0236577	0.0216424	0.0234512	0.0509327	0.0732136	0.09196	0.140442	0.138259	0.13991	0.142064	0.154467
a15	0.0171006	0.0155092	0.0155508	0.0335202	0.0597794	0.0965064	0.152078	0.145829	0.143595	0.149838	0.170693
a69	0.0244626	0.0231005	0.0235729	0.0388585	0.0627247	0.0864905	0.137103	0.136659	0.135609	0.142116	0.189303
a41	0.0176568	0.0161539	0.0143454	0.0240461	0.0409821	0.0779104	0.105	0.120667	0.146108	0.184879	0.252252
a47	0.0236778	0.0219929	0.0180056	0.0229703	0.0307559	0.0311867	0.0726796	0.102165	0.153442	0.198541	0.324584
a31	0.0184979	0.0150015	0.0120117	0.0137875	0.016612	0.0205807	0.0504958	0.0771603	0.127783	0.213714	0.434355
a88	0.00635956	0.00484337	0.0043032	0.00550847	0.00828899	0.0163421	0.0528336	0.0958068	0.157309	0.243658	0.404746
a94	0.00460296	0.00399044	0.00392376	0.00430474	0.0063334	0.0122463	0.038638	0.0628015	0.116558	0.246087	0.500513
a90	0.0114856	0.00870789	0.0058731	0.00586097	0.00931858	0.0144707	0.0501578	0.080518	0.134648	0.236339	0.44262
a25	0.00476554	0.00321447	0.00289509	0.00366877	0.00671078	0.0139476	0.0465015	0.0831815	0.153695	0.257272	0.424148
a69	0.00430603	0.00278796	0.00196919	0.00265023	0.00498907	0.0104972	0.0455612	0.078099	0.140418	0.255533	0.453189
a7	0.00302411	0.00265697	0.00286449	0.00418377	0.0078776	0.0168351	0.0487502	0.0826513	0.145427	0.260017	0.425712
a84	0.00356896	0.0022502	0.00204347	0.00338615	0.00807926	0.0159408	0.0582154	0.0973011	0.163104	0.24902	0.39709
a87	0.234245	0.117549	0.0807037	0.0687495	0.0684298	0.0505265	0.0684022	0.0636591	0.0680664	0.0796888	0.0999801
a23	0.299243	0.242558	0.17078	0.133068	0.0624063	0.0225803	0.0190011	0.0141039	0.0117333	0.0115389	0.0129864
a87	0.124908	0.119255	0.102186	0.0872823	0.0547195	0.0339236	0.0584617	0.0694382	0.0907808	0.114611	0.144434
</S>	0.0318649	0.0235882	0.0187604	0.0212418	0.0196927	0.0244558	0.0625758	0.0946944	0.149567	0.242596	0.310962
