 	cet	agrume	est	encore	immature	celui-là	est	déjà	mûr	</S>
a87	0.180105	0.217999	0.141865	0.125025	0.115457	0.0892046	0.0728462	0.0289125	0.018274	0.0103121
a97	0.135615	0.116684	0.0752968	0.0708594	0.129376	0.127038	0.154208	0.106434	0.0564761	0.0280119
a87	0.282945	0.159819	0.0937195	0.0760548	0.0689409	0.0835892	0.0759128	0.0647065	0.0428065	0.0515057
a23	0.370555	0.1152	0.0581408	0.0524302	0.0530365	0.0805806	0.0824673	0.0777129	0.0513401	0.0585363
a50	0.301066	0.126403	0.0557952	0.0543643	0.0657636	0.0705941	0.0893414	0.103541	0.0730403	0.0600906
a62	0.290522	0.142437	0.0681642	0.0562418	0.051863	0.0465416	0.0684099	0.101071	0.0984254	0.076324
a34	0.213397	0.19307	0.102418	0.0809656	0.0780541	0.0626603	0.0706079	0.081233	0.0751731	0.0424217
a21	0.148045	0.220157	0.130576	0.110975	0.0888458	0.0668549	0.0706265	0.0712831	0.067023	0.0256135
a85	0.128867	0.218669	0.146911	0.11337	0.0882373	0.074326	0.0717745	0.0643907	0.0661985	0.0272558
a5	0.0742523	0.163838	0.150498	0.112804	0.108139	0.0921909	0.0866036	0.0811191	0.0876109	0.0429445
a18	0.071303	0.200405	0.192017	0.131782	0.116735	0.0916845	0.0652267	0.0501953	0.0533488	0.0273029
a31	0.106274	0.16567	0.130929	0.111094	0.107893	0.0906101	0.0705469	0.0657963	0.0843712	0.0668158
a0	0.091675	0.18475	0.188691	0.136131	0.125248	0.0823928	0.0589426	0.0387077	0.0500335	0.0434287
a21	0.0652326	0.140445	0.158558	0.144655	0.138806	0.0989845	0.0732122	0.0530948	0.0619421	0.0650698
a47	0.0677311	0.149501	0.223184	0.18351	0.130355	0.0887731	0.0554724	0.0302391	0.0372129	0.0340204
a83	0.046295	0.101931	0.181296	0.199763	0.179014	0.114124	0.0733905	0.038908	0.0360444	0.0292349
a38	0.0313963	0.0810627	0.146274	0.195847	0.186249	0.108823	0.0776681	0.0487812	0.0562064	0.0676915
a70	0.0237929	0.058825	0.111671	0.212547	0.205294	0.11824	0.0841239	0.0524173	0.0612568	0.0718315
a99	0.0269533	0.0498175	0.0942075	0.188769	0.215723	0.127787	0.0954457	0.06322	0.0673763	0.070701
a18	0.0174437	0.0464637	0.0860786	0.198966	0.219517	0.12669	0.101002	0.0606463	0.0722701	0.070922
a99	0.00980123	0.0397023	0.0765057	0.248445	0.256212	0.124358	0.0917399	0.0468711	0.0563365	0.050029
a9	0.00899064	0.0367694	0.0666984	0.231171	0.26232	0.129122	0.0977451	0.0511972	0.0608335	0.0551529
a87	0.0106949	0.0402008	0.0679243	0.219273	0.247066	0.124883	0.105453	0.0611767	0.0650875	0.0582414
a23	0.0137819	0.0395579	0.0630353	0.134038	0.238721	0.133763	0.147681	0.0905074	0.0779792	0.0609345
a99	0.00901857	0.0186265	0.0283509	0.0457259	0.108036	0.08358	0.121071	0.157584	0.175192	0.252814
a50	0.00104177	0.00681999	0.01162	0.0258546	0.0506723	0.0365304	0.0538643	0.0970592	0.197942	0.518595
a24	0.00326078	0.0138199	0.0237064	0.0353907	0.0611755	0.0415862	0.0582242	0.0851124	0.164373	0.513351
a62	0.00400307	0.010858	0.0211234	0.0404492	0.0734447	0.0466035	0.0568154	0.0876792	0.171206	0.487817
a0	0.0069357	0.0140852	0.0237731	0.0402912	0.0573933	0.0442854	0.0581521	0.0860863	0.172254	0.496744
a75	0.00586676	0.0153335	0.0242192	0.0422375	0.0714354	0.0507405	0.0611836	0.0872067	0.167343	0.474434
a25	0.00580841	0.0084015	0.0144859	0.0291388	0.0458661	0.0397157	0.0461254	0.0838798	0.191338	0.53524
a44	0.00368691	0.0111235	0.0251538	0.0527432	0.0647254	0.0542696	0.0536844	0.0802759	0.163209	0.491128
a13	0.0032301	0.00658416	0.0125752	0.0312908	0.0429779	0.0353974	0.0351873	0.0663422	0.138177	0.628238
a75	0.00259784	0.00891403	0.014532	0.0479369	0.0641674	0.0501928	0.0497276	0.0676187	0.145499	0.548814
a12	0.00218321	0.00380077	0.00723164	0.0191264	0.032506	0.0303599	0.0390547	0.0882153	0.190555	0.586967
a83	0.00218117	0.00439781	0.00726184	0.0161194	0.0259227	0.0185257	0.0243629	0.0484548	0.129719	0.723054
a88	0.000944724	0.00314621	0.00550998	0.0135766	0.0266524	0.0166324	0.0210295	0.0424277	0.105944	0.764137
a71	0.000850732	0.00273905	0.0050977	0.0137218	0.0289872	0.0187253	0.021742	0.0438545	0.103928	0.760354
a25	0.00134848	0.00353089	0.00644435	0.022156	0.0350808	0.0261325	0.0283852	0.0531259	0.120422	0.703374
a87	0.012909	0.0130263	0.0136318	0.0242652	0.0459674	0.033906	0.0470847	0.0889661	0.164144	0.556099
a23	0.0249976	0.0249264	0.0272404	0.0449088	0.0938136	0.0926526	0.117528	0.142692	0.153683	0.277559
a87	0.00562893	0.00657746	0.00918678	0.0169013	0.0578361	0.057546	0.0682574	0.113306	0.152095	0.512665
a23	0.00254476	0.00422368	0.0068893	0.0116328	0.0389183	0.0374055	0.0477883	0.080473	0.122231	0.647893
a99	0.00340452	0.00612802	0.00967077	0.0172202	0.0565145	0.0512846	0.0602712	0.0922838	0.136549	0.566674
a97	0.00495074	0.0114285	0.017453	0.0279441	0.0729814	0.0612011	0.0667071	0.0935545	0.136103	0.507677
</S>	0.00462691	0.0138781	0.0241723	0.0365353	0.0908391	0.0733492	0.0757975	0.0831305	0.111672	0.485999
