 	les	juges	vont	examiner	ton	cas	aujourd'	hui	</S>
a66	0.156927	0.322828	0.266885	0.14737	0.0635396	0.0286373	0.0064295	0.00408058	0.0033027
a87	0.440077	0.159656	0.0828214	0.0629573	0.0636474	0.0735122	0.042678	0.0415317	0.0331192
a97	0.179919	0.109394	0.0992791	0.102655	0.139368	0.119208	0.0703999	0.0874619	0.0923152
a87	0.179063	0.102459	0.070485	0.0720287	0.105833	0.105036	0.105036	0.124633	0.135427
a97	0.110651	0.0647722	0.0571286	0.0775537	0.148192	0.15549	0.148141	0.127099	0.110973
a40	0.107584	0.0656451	0.0674416	0.0975077	0.172512	0.172708	0.121148	0.100983	0.0944707
a36	0.291273	0.236628	0.116332	0.0690043	0.0788177	0.0750018	0.0534796	0.0469112	0.0325515
a2	0.301338	0.315268	0.148228	0.0592685	0.0508079	0.045052	0.0258356	0.0270503	0.027152
a40	0.137999	0.168461	0.117042	0.0833018	0.0948681	0.101559	0.0898112	0.100119	0.106839
a85	0.193893	0.250129	0.151836	0.0958603	0.0789574	0.0671177	0.0458396	0.0522556	0.0641119
a37	0.142112	0.242919	0.146023	0.0974212	0.0576869	0.0565624	0.0563871	0.0856561	0.115233
a96	0.102882	0.160905	0.130693	0.109599	0.0927169	0.0817553	0.0880172	0.107479	0.125953
a98	0.0934508	0.178587	0.156505	0.117648	0.0848463	0.0647557	0.0750694	0.0980652	0.131072
a47	0.0521341	0.136117	0.139831	0.121783	0.0710544	0.0587685	0.0809115	0.135413	0.203988
a36	0.0203542	0.0577965	0.0694168	0.0667297	0.047351	0.0500499	0.143939	0.231616	0.312747
a6	0.0151455	0.0395719	0.0704455	0.085512	0.0609232	0.0697754	0.15462	0.223368	0.280639
a47	0.00748794	0.0210459	0.0540898	0.0870598	0.0652164	0.0540969	0.133839	0.223721	0.353444
a36	0.0026728	0.00728076	0.0224751	0.0429028	0.0418762	0.0495088	0.143213	0.25242	0.437651
a90	0.00111051	0.00228864	0.00653321	0.0120589	0.0163427	0.0271771	0.132244	0.27657	0.525676
a15	0.000646772	0.00156521	0.00638736	0.0184367	0.0228004	0.0289339	0.102716	0.234095	0.584418
a79	5.54207e-05	0.000187465	0.00128867	0.00521098	0.00824045	0.0144907	0.128	0.313795	0.528732
a7	6.84854e-05	0.000219261	0.0013745	0.00539364	0.00802026	0.0145592	0.140673	0.322503	0.507188
a15	0.000101711	0.00026153	0.00161721	0.00616184	0.00911785	0.0211587	0.187225	0.323594	0.450763
a7	0.000188285	0.000378073	0.00206858	0.0080929	0.0120597	0.0257543	0.1894	0.315945	0.446113
a2	0.00315738	0.00480539	0.0141019	0.0259757	0.0297957	0.0671664	0.226215	0.285707	0.343076
a57	0.0304403	0.0315688	0.0457762	0.047512	0.0481223	0.0662475	0.177331	0.248902	0.304099
a97	0.0646369	0.0354051	0.039531	0.0488153	0.0666473	0.0804579	0.175031	0.231581	0.257894
a87	0.0817889	0.0440417	0.0496535	0.0661099	0.0957692	0.0934194	0.150883	0.200151	0.218183
a97	0.0902883	0.0428126	0.0522307	0.0761269	0.113652	0.0937628	0.144265	0.183007	0.203855
</S>	0.04043	0.0209608	0.0319724	0.0564028	0.101761	0.0870873	0.168371	0.227195	0.265819
