 	il	y	a	des	fourmis	magnants	sur	le	chemin	de	notre	champ	</S>
a66	0.267483	0.257225	0.169728	0.124419	0.0633345	0.0279122	0.0292266	0.0142731	0.011162	0.00864088	0.00825328	0.00825114	0.0100915
a87	0.331258	0.254423	0.116445	0.0329894	0.0140058	0.0102058	0.0172095	0.0172435	0.0142986	0.021377	0.0367196	0.0506951	0.0831299
a23	0.354798	0.215732	0.0924221	0.0420004	0.0287119	0.0255144	0.0289525	0.0187093	0.0158753	0.0218731	0.0286132	0.0450053	0.0817927
a87	0.202968	0.111932	0.0387725	0.0234785	0.0225099	0.0257087	0.0341814	0.0335121	0.0339882	0.0596901	0.0980174	0.118279	0.196962
a23	0.219236	0.121553	0.0414709	0.0216311	0.0224152	0.0205508	0.0330611	0.0364479	0.0357426	0.0566471	0.0860937	0.116572	0.188578
a2	0.0686947	0.0378053	0.0196721	0.0229335	0.0301404	0.0322641	0.0327457	0.0387941	0.047827	0.085435	0.140774	0.171969	0.270945
a40	0.109885	0.0830423	0.0487339	0.0538649	0.0658884	0.0534461	0.0536221	0.0485272	0.053797	0.0706937	0.109603	0.104426	0.14447
a2	0.150974	0.135651	0.109861	0.0968164	0.10203	0.110134	0.0944035	0.05997	0.0446637	0.0297202	0.0291036	0.0180316	0.0186411
a11	0.058643	0.065899	0.0741178	0.0865689	0.101776	0.112845	0.0924746	0.0644096	0.0627313	0.0670156	0.0770891	0.0650308	0.0713993
a93	0.0427356	0.0573282	0.0705656	0.0904761	0.111445	0.112858	0.095002	0.0691324	0.0681976	0.0710425	0.0646637	0.0672467	0.0793064
a4	0.0326351	0.0443485	0.0610135	0.0899016	0.11909	0.133818	0.130802	0.0831277	0.0667975	0.0588825	0.0515421	0.058074	0.0699673
a54	0.0315743	0.0412731	0.0578943	0.0852656	0.115013	0.141319	0.158704	0.0989331	0.0634292	0.0492127	0.0436142	0.0514386	0.0623286
a47	0.0105697	0.0196001	0.0383483	0.0726088	0.0823771	0.11419	0.142221	0.129758	0.10739	0.0803283	0.0629859	0.0664598	0.0731623
a37	0.0109036	0.021812	0.0432441	0.0772944	0.0739382	0.108855	0.14832	0.130233	0.108007	0.0778248	0.0618374	0.0647786	0.0729512
a93	0.0130385	0.0165478	0.0292824	0.0587429	0.0628937	0.105824	0.152658	0.128262	0.106254	0.0833334	0.0702998	0.0784423	0.0944205
a4	0.0139733	0.0180813	0.0312275	0.060703	0.0592709	0.0949528	0.138392	0.118546	0.109534	0.0982685	0.0794418	0.0827061	0.0949029
a13	0.0128608	0.0150046	0.0254702	0.0629943	0.0753722	0.124107	0.172481	0.132964	0.103847	0.0772113	0.0599418	0.0641195	0.0736276
a53	0.00869158	0.00948844	0.0152499	0.041021	0.0519452	0.102182	0.155999	0.136807	0.117851	0.0971171	0.075814	0.0851869	0.102646
a15	0.00635282	0.00646942	0.00939346	0.0231526	0.0290782	0.065728	0.112804	0.132856	0.130449	0.132719	0.108306	0.113426	0.129266
a20	0.00553729	0.00943981	0.0182929	0.0435229	0.0370818	0.0722613	0.103869	0.139663	0.12961	0.127867	0.105779	0.100333	0.106742
a69	0.00170939	0.00239158	0.00452969	0.0158891	0.0232126	0.056936	0.0746573	0.129312	0.14603	0.152433	0.114409	0.123612	0.154878
a53	0.0039947	0.00451783	0.00801899	0.02403	0.031653	0.0685733	0.0800278	0.119439	0.116349	0.137139	0.115604	0.132348	0.158305
a4	0.00281458	0.00306002	0.00518829	0.0141792	0.0170915	0.0503366	0.0682638	0.113952	0.11574	0.152054	0.131537	0.15014	0.175643
a44	0.00147328	0.00145322	0.00231319	0.00587559	0.00687689	0.028967	0.0432102	0.0892696	0.11602	0.167547	0.147671	0.172099	0.217224
a54	0.00119229	0.00116829	0.00188951	0.00451463	0.00519678	0.0219618	0.0306817	0.0640779	0.0889219	0.147944	0.153179	0.207007	0.272265
a36	0.000462358	0.000521219	0.00100938	0.00351339	0.00447857	0.0171014	0.0212574	0.0492427	0.0712986	0.13461	0.162377	0.236808	0.29732
a27	0.00035641	0.000317041	0.000412501	0.000848342	0.00105388	0.00356474	0.00468999	0.0134317	0.0288406	0.0627892	0.130324	0.273338	0.480033
a18	0.00131641	0.000911237	0.000908464	0.00116093	0.001364	0.00281446	0.00266724	0.0128878	0.0290969	0.0727102	0.142681	0.287757	0.443724
a88	0.00502815	0.00322691	0.00285445	0.00273331	0.0030786	0.00579478	0.00607335	0.0248622	0.0501911	0.0955269	0.132165	0.261246	0.407219
a0	0.000893195	0.000569578	0.000538983	0.000634893	0.000781391	0.00153377	0.00199818	0.0121922	0.0266662	0.0716229	0.134642	0.293031	0.454896
a24	0.00122137	0.000796711	0.000783566	0.000848839	0.00101354	0.00178885	0.00251724	0.0134454	0.0279842	0.070021	0.11985	0.291338	0.468391
a9	0.000536246	0.000367903	0.0003536	0.00040433	0.000493272	0.00088389	0.00127876	0.00786898	0.0172686	0.0508227	0.108771	0.29598	0.514971
a10	0.00752239	0.00502029	0.00525497	0.00624118	0.00692272	0.0113382	0.0112874	0.0293632	0.0490426	0.080323	0.106285	0.25012	0.431279
a87	0.112451	0.0768741	0.052365	0.0378498	0.0272812	0.0322961	0.0285837	0.0372074	0.0478575	0.0640958	0.0809257	0.148804	0.253409
</S>	0.144721	0.101299	0.063913	0.0481551	0.0341227	0.0439542	0.0383331	0.0382841	0.0450585	0.0588005	0.0757405	0.128361	0.179257
