 	la	manière	dont	il	est	rentré	montre	qu'	il	m'	avait	pas	envie	de	travailler	</S>
a23	0.157057	0.108033	0.0740878	0.0852824	0.111345	0.110557	0.0952493	0.0665113	0.0502084	0.0480034	0.0319205	0.0248784	0.0123851	0.00861477	0.00809825	0.00776824
a18	0.178939	0.0968576	0.069766	0.0593119	0.068308	0.0938604	0.0768436	0.0573781	0.0446791	0.0587539	0.0493766	0.0516467	0.0277897	0.02408	0.0225755	0.0198339
a40	0.107464	0.0800027	0.0809904	0.0923199	0.094647	0.106263	0.0883728	0.0675411	0.0467349	0.0451257	0.0370637	0.032875	0.0201832	0.0192165	0.0275502	0.053649
a5	0.319557	0.233308	0.130142	0.0447402	0.0308955	0.0208793	0.01968	0.0194621	0.0242897	0.0254226	0.0223999	0.0222965	0.0218187	0.0199893	0.0217241	0.0233952
a12	0.277986	0.283022	0.194274	0.0724651	0.0440288	0.0284771	0.0264579	0.0157308	0.010115	0.00911997	0.00663024	0.00594153	0.00595838	0.00575233	0.00653985	0.00750104
a62	0.182341	0.249942	0.235662	0.0954722	0.0574138	0.0418647	0.0441707	0.025332	0.0125229	0.0114473	0.00857219	0.00757281	0.00699983	0.00644288	0.00667053	0.00757245
a21	0.112233	0.186986	0.226245	0.117651	0.0810708	0.0737103	0.0754042	0.0384978	0.0159488	0.0143228	0.0111256	0.0100122	0.00955059	0.00856337	0.00892982	0.00974866
a12	0.0998681	0.181259	0.248103	0.110729	0.0802793	0.0625731	0.071584	0.046379	0.0195056	0.0169624	0.0128377	0.0109245	0.0104316	0.00899802	0.00940681	0.0101581
a18	0.0669895	0.114993	0.19736	0.128755	0.0994754	0.0925743	0.105976	0.0633178	0.026522	0.0224727	0.0166218	0.0131675	0.0129305	0.0113081	0.012751	0.0147855
a5	0.0426364	0.0712424	0.123649	0.124112	0.106198	0.117097	0.108507	0.0634478	0.0329238	0.0309466	0.0274342	0.0254127	0.0271965	0.0257378	0.0328211	0.0406373
a47	0.0387671	0.0583707	0.104062	0.120251	0.111451	0.104851	0.123449	0.087465	0.0446524	0.0379577	0.0286947	0.0240124	0.0225195	0.0219409	0.0290242	0.0425313
a75	0.0323855	0.0478811	0.0769247	0.125323	0.131916	0.112717	0.127446	0.0908082	0.0550013	0.0454982	0.0320979	0.0241453	0.019566	0.0180777	0.0236216	0.0365909
a56	0.0301375	0.0411558	0.0591975	0.0969046	0.114871	0.110748	0.128444	0.101358	0.0651462	0.0560675	0.0412925	0.0315491	0.022618	0.0220384	0.0310771	0.0473953
a75	0.0205502	0.0258503	0.0376277	0.081765	0.121929	0.126129	0.156829	0.123923	0.0705726	0.0572497	0.0377442	0.0263646	0.0194803	0.0192651	0.0279279	0.0467915
a92	0.0167827	0.0171806	0.0196993	0.0358195	0.0617764	0.0694771	0.0975308	0.122523	0.0950089	0.0819893	0.0633092	0.0461499	0.0410713	0.0462064	0.0673246	0.118151
a37	0.0178725	0.019021	0.0229604	0.0359124	0.0540068	0.0616924	0.0892157	0.115448	0.089414	0.0809206	0.065963	0.05065	0.0481845	0.0513607	0.0727671	0.124611
a47	0.0094126	0.010396	0.0149602	0.0343695	0.0611442	0.0805782	0.12126	0.16595	0.110738	0.0952982	0.0662866	0.0424672	0.0293497	0.0302684	0.0455898	0.0819314
a62	0.00635695	0.00661743	0.00978474	0.0255174	0.0501945	0.0767391	0.116723	0.172555	0.125059	0.112028	0.0811825	0.0491075	0.0293555	0.0269261	0.0373585	0.0744942
a88	0.00749931	0.00736111	0.0118972	0.0233341	0.0392754	0.059243	0.0982902	0.171625	0.116654	0.114269	0.0899078	0.0601205	0.0406156	0.0348279	0.0447972	0.0802834
a71	0.00302711	0.00268306	0.00424589	0.0110796	0.0233839	0.0426695	0.0684268	0.153495	0.131674	0.140988	0.114905	0.0708988	0.0458448	0.0376675	0.0524896	0.0965219
a9	0.00336073	0.00298919	0.00399305	0.0104398	0.0221159	0.0413253	0.0610931	0.142645	0.145287	0.156758	0.124327	0.0790366	0.0550292	0.0364948	0.0458027	0.0693029
a83	0.00439663	0.00338258	0.00389307	0.0119753	0.0238651	0.0515787	0.0658668	0.129804	0.137315	0.157323	0.125744	0.086472	0.0569634	0.0367753	0.0435309	0.0611144
