 	depuis	l'	arrivée	du	nouveau	chef	le	travail	s'	est	amélioré	</S>
a10	0.130386	0.0887567	0.0851062	0.0956189	0.136151	0.0927215	0.0711821	0.0550449	0.0469188	0.0614551	0.072075	0.0645843
a87	0.1922	0.0846113	0.0864004	0.0673402	0.0967957	0.0811668	0.0843252	0.0583149	0.0496251	0.0629448	0.0632999	0.0729753
a23	0.194378	0.0941626	0.0873118	0.0630093	0.0902582	0.0872093	0.0844916	0.0590979	0.058062	0.0551347	0.0589661	0.0679186
a11	0.154418	0.112746	0.105542	0.0747339	0.121969	0.0900063	0.0826411	0.059498	0.0550184	0.0537458	0.0485809	0.0411011
a34	0.361549	0.178123	0.0869863	0.0699864	0.0765488	0.062773	0.0637858	0.0457872	0.0224812	0.0111482	0.0117916	0.00903967
a41	0.330774	0.192924	0.0904907	0.0699735	0.0792832	0.0651504	0.0657327	0.0491693	0.0238939	0.0106601	0.0118549	0.0100929
a24	0.193125	0.149923	0.110835	0.0928408	0.114471	0.0965714	0.0873274	0.066001	0.0349664	0.0196649	0.0203336	0.0139399
a41	0.156371	0.152191	0.124025	0.107289	0.120611	0.109155	0.0891538	0.0590647	0.0321177	0.0180199	0.0185081	0.0134935
a35	0.111611	0.127514	0.13215	0.115957	0.128556	0.122381	0.0945313	0.0630538	0.0361451	0.0234784	0.0256181	0.0190042
a26	0.0940435	0.110372	0.130831	0.11957	0.1335	0.131513	0.10476	0.0677527	0.0370946	0.0240631	0.0268632	0.0196375
a54	0.0629469	0.0738983	0.102489	0.101246	0.112944	0.131152	0.113888	0.0922514	0.0642452	0.0492453	0.0530585	0.0426348
a73	0.0495715	0.0681368	0.108752	0.113794	0.123603	0.137029	0.10845	0.0878484	0.0602722	0.0488381	0.0532864	0.0404181
a90	0.0406644	0.0547167	0.0937888	0.109077	0.107471	0.11949	0.111353	0.0934664	0.0790434	0.0694508	0.0714154	0.0500624
a25	0.0516604	0.0583719	0.0935441	0.117631	0.114274	0.119942	0.102655	0.0890285	0.0744796	0.0624124	0.066832	0.0491695
a76	0.0306134	0.042073	0.0876209	0.119063	0.114804	0.106763	0.106064	0.0969605	0.0849061	0.0732943	0.0789269	0.058911
a90	0.066211	0.0783655	0.0947315	0.106225	0.108613	0.0799387	0.0728283	0.0795961	0.0753507	0.0740063	0.0838112	0.0803222
a35	0.0721038	0.0761198	0.0861262	0.0973559	0.10817	0.0866996	0.0845008	0.0840535	0.0901656	0.0774311	0.0721625	0.0651108
a38	0.0277682	0.0344433	0.0555188	0.076972	0.0736519	0.0604478	0.059153	0.0735763	0.0960393	0.120825	0.146377	0.175228
a75	0.0235155	0.0269901	0.0449733	0.0626768	0.0653622	0.0614586	0.0652338	0.0886964	0.117324	0.134947	0.144602	0.16422
a14	0.0260137	0.0320421	0.0458564	0.0580203	0.0600892	0.0497233	0.0480705	0.0673975	0.0891528	0.12583	0.162964	0.234841
a73	0.0334011	0.045995	0.0601513	0.073446	0.0678001	0.0483657	0.0502039	0.0643847	0.0811187	0.120698	0.147134	0.207301
a57	0.0290167	0.035378	0.0525186	0.0683206	0.0597368	0.047328	0.0440394	0.0605871	0.080275	0.135796	0.166648	0.220357
a38	0.0295695	0.0380099	0.0451488	0.0579261	0.0672571	0.0613589	0.0495756	0.0649961	0.0778787	0.119351	0.139882	0.249046
a14	0.0200849	0.0184226	0.0217354	0.0330884	0.033583	0.0338231	0.0370679	0.0621277	0.08582	0.126984	0.184021	0.343242
a41	0.0131427	0.0153076	0.0218828	0.033612	0.0289171	0.0255093	0.0296076	0.0470081	0.0762416	0.135597	0.204309	0.368865
a35	0.013286	0.0176568	0.0259777	0.0367038	0.0316369	0.0235943	0.024975	0.0434143	0.0708289	0.136951	0.206695	0.368281
a26	0.0159958	0.0204953	0.0287511	0.0401388	0.035099	0.0267552	0.0268204	0.0432866	0.0579446	0.108019	0.181531	0.415163
a61	0.00610924	0.00719711	0.0117804	0.017627	0.0166856	0.0155242	0.0168933	0.0304042	0.0536023	0.129737	0.207935	0.486505
a35	0.00612606	0.00737612	0.0115769	0.0147307	0.0186216	0.0175523	0.0202831	0.0348721	0.0549007	0.112254	0.196331	0.505375
a44	0.00481793	0.00503242	0.00801539	0.0132812	0.0120598	0.0115095	0.0143295	0.0256633	0.0417081	0.0955067	0.183202	0.584874
a94	0.00531437	0.00589701	0.0101272	0.0152629	0.015328	0.0153473	0.0189141	0.0321342	0.0491083	0.103719	0.184757	0.544091
a76	0.00450587	0.00481927	0.00999993	0.0141823	0.0158792	0.0151684	0.0169076	0.0295585	0.0435733	0.0975233	0.169067	0.578816
a20	0.021046	0.0211213	0.0293326	0.0395998	0.0324923	0.0223627	0.0258144	0.0295806	0.0399	0.0789094	0.153998	0.505843
a84	0.0114312	0.0111188	0.0223327	0.0285611	0.0273784	0.0187729	0.0252988	0.0323124	0.0505697	0.100448	0.168346	0.50343
a87	0.0136809	0.0157918	0.0231545	0.0270715	0.0300462	0.0213312	0.0193412	0.0284426	0.0443265	0.108327	0.179095	0.489391
a23	0.00848254	0.00829913	0.00974893	0.0092344	0.00944968	0.00664661	0.00699069	0.0113786	0.0264803	0.0954878	0.193423	0.614379
a87	0.033306	0.0220403	0.0201179	0.0158476	0.0164446	0.0133753	0.0211171	0.0327997	0.0806731	0.17321	0.217106	0.353962
a23	0.0180942	0.0136717	0.0157848	0.0132199	0.0126858	0.0111973	0.0190571	0.0388486	0.0998699	0.191655	0.237537	0.328379
a62	0.0340429	0.0267676	0.0276621	0.0215601	0.0231935	0.0207935	0.0370423	0.0597493	0.128148	0.204158	0.199659	0.217223
a43	0.0122361	0.00905361	0.0118709	0.0154444	0.0183719	0.0166698	0.0263358	0.0435403	0.10744	0.158013	0.264695	0.316329
a75	0.00212481	0.00246235	0.00388686	0.00580402	0.00644835	0.00631849	0.00751067	0.0135128	0.044116	0.117409	0.267383	0.523023
a14	0.00339951	0.00410454	0.00561297	0.00836606	0.00728471	0.00716683	0.00868948	0.0155571	0.0388421	0.0933106	0.23212	0.575546
a35	0.000880203	0.00141523	0.00241366	0.00438512	0.00389564	0.00442525	0.00511362	0.0107681	0.028923	0.0784983	0.198069	0.661212
a24	0.00130097	0.00189714	0.00260427	0.00432277	0.00432589	0.00452604	0.00453946	0.00936966	0.0259511	0.087855	0.203555	0.649753
a98	0.00324811	0.00488718	0.0070501	0.00927876	0.0105305	0.00904715	0.00886563	0.015908	0.0377299	0.108644	0.210797	0.574013
a13	0.000867022	0.00130108	0.0022552	0.0034772	0.00308782	0.00293752	0.0032253	0.00714348	0.0184063	0.0699447	0.189657	0.697697
a76	0.000488802	0.000658643	0.00129828	0.00217637	0.00206226	0.00178947	0.00204826	0.00418664	0.0118778	0.0566876	0.152066	0.76466
a35	0.000506451	0.000770377	0.00147197	0.00264537	0.00236459	0.00222822	0.00235967	0.00507233	0.0138055	0.055533	0.166395	0.746848
a76	0.000791987	0.00104723	0.00187065	0.00309759	0.00298041	0.00253301	0.00282913	0.00553363	0.0158236	0.0687922	0.177725	0.716975
a69	0.0017716	0.00236541	0.00400336	0.00632461	0.00551776	0.00502645	0.0056984	0.0108127	0.0230463	0.0765092	0.205054	0.65387
a58	0.000985486	0.00118841	0.00213107	0.00286417	0.00313438	0.00313623	0.00339727	0.00573798	0.014456	0.0606076	0.166257	0.736104
a87	0.00211321	0.00213856	0.00411835	0.00445547	0.00570662	0.0048268	0.00503383	0.0078939	0.0166953	0.0669328	0.149118	0.730967
</S>	0.00529331	0.00492111	0.00769925	0.0068286	0.00842883	0.00706315	0.00849365	0.0161493	0.0506104	0.157763	0.231259	0.495491
