 	les	chèvres	ont	cassé	l'	enclos	de	la	parcelle	</S>
a66	0.373186	0.179046	0.149026	0.0871141	0.0747514	0.0394403	0.0305401	0.0238412	0.0225932	0.0204613
a10	0.247046	0.142126	0.154404	0.0879185	0.0752117	0.0556058	0.0579168	0.058888	0.0640559	0.0568272
a87	0.454649	0.181821	0.143729	0.0597913	0.045696	0.0196862	0.016867	0.0187042	0.0260118	0.0330436
a40	0.332444	0.191306	0.167667	0.0844205	0.0737697	0.0317613	0.0255354	0.0245726	0.0304384	0.0380845
a79	0.441585	0.16604	0.11896	0.0555099	0.0502864	0.0318114	0.027801	0.0306299	0.0371151	0.0402609
a44	0.344	0.222124	0.161674	0.071467	0.0502951	0.0406179	0.0303558	0.0268298	0.0264033	0.0262331
a90	0.269847	0.222754	0.181542	0.100304	0.0716225	0.0553514	0.0357997	0.0254876	0.0184285	0.0188633
a92	0.175984	0.180411	0.152956	0.113499	0.0981461	0.08886	0.0624929	0.0476959	0.0384787	0.0414766
a75	0.138522	0.169162	0.155606	0.115154	0.10433	0.0892189	0.0668785	0.0552123	0.0508628	0.0550539
a85	0.119148	0.156754	0.141976	0.11241	0.108993	0.0964361	0.0749281	0.0630906	0.0608491	0.0654162
a47	0.084978	0.110571	0.112787	0.096403	0.0984353	0.101807	0.0894128	0.0872454	0.101042	0.117319
a36	0.0513411	0.0879247	0.0990617	0.100007	0.101624	0.115871	0.103262	0.0965641	0.115677	0.128667
a98	0.0314925	0.075132	0.0866092	0.0932225	0.0917359	0.0961579	0.088825	0.0966882	0.148269	0.191868
a85	0.0244684	0.05297	0.0877284	0.0904735	0.0961668	0.126302	0.115396	0.111751	0.132956	0.161787
a47	0.0201718	0.0445238	0.0689755	0.0794994	0.0884327	0.121106	0.11887	0.125227	0.150671	0.182523
a41	0.00909957	0.02948	0.0528376	0.075568	0.0830434	0.108681	0.0953939	0.105949	0.17535	0.264597
a75	0.00517622	0.0191694	0.0392995	0.0751501	0.0862583	0.123697	0.104162	0.11662	0.168241	0.262227
a61	0.00723433	0.0212875	0.0425591	0.0634696	0.0801442	0.12091	0.117147	0.134533	0.183535	0.22918
a62	0.00856129	0.0200103	0.0401063	0.0778872	0.103761	0.138008	0.134242	0.142546	0.155938	0.178939
a34	0.00743342	0.0151453	0.0198295	0.0419346	0.0639449	0.104995	0.128284	0.170433	0.20927	0.23873
a98	0.00567683	0.0113367	0.0138232	0.0265535	0.0409232	0.0782515	0.107901	0.17208	0.250148	0.293306
a47	0.00078416	0.00259526	0.0050473	0.0135628	0.0230367	0.0617275	0.081772	0.131373	0.264277	0.415824
a92	0.00103127	0.00252445	0.00431857	0.0104124	0.0169045	0.0532814	0.0779499	0.132309	0.283028	0.418241
a75	0.00144869	0.00339041	0.00517134	0.011991	0.0189276	0.0529316	0.0818944	0.152167	0.292427	0.379651
a47	0.000773666	0.00171624	0.00296653	0.00628379	0.0107476	0.0387662	0.0677158	0.141321	0.306095	0.423614
a36	0.000232347	0.000887132	0.00186725	0.00538984	0.00859096	0.0331103	0.0557551	0.112244	0.294561	0.487362
a2	0.0104817	0.0133178	0.0116147	0.015401	0.0147738	0.0360596	0.0511823	0.0959583	0.251975	0.499236
a57	0.14847	0.117048	0.0742769	0.0703635	0.0535985	0.0580642	0.0549902	0.0713145	0.131446	0.220429
a87	0.160772	0.121378	0.0725195	0.0571427	0.0543407	0.0673019	0.0683503	0.0840751	0.125558	0.188562
a97	0.185653	0.153151	0.128221	0.089121	0.100431	0.0746353	0.0651527	0.0617128	0.0640646	0.0778581
a99	0.156871	0.113002	0.115052	0.0932168	0.101081	0.0917405	0.0771509	0.0732607	0.0818134	0.0968117
a97	0.10927	0.0967885	0.126384	0.102923	0.102735	0.0886245	0.0755177	0.0759391	0.0972527	0.124566
a87	0.0877636	0.093734	0.128491	0.108955	0.107656	0.0842875	0.0751973	0.0748026	0.102959	0.136154
a97	0.0933833	0.0943296	0.119862	0.10631	0.109228	0.0823313	0.0747629	0.0756483	0.102872	0.141272
a23	0.0976305	0.108291	0.147876	0.110964	0.0981021	0.0805459	0.0663666	0.0656128	0.0912744	0.133337
a99	0.0390235	0.0478338	0.0813895	0.0865656	0.0876967	0.0968246	0.0854712	0.104199	0.149615	0.221381
a87	0.0774224	0.0936891	0.138288	0.109186	0.102459	0.0887042	0.0710399	0.0790999	0.0997847	0.140327
</S>	0.0597468	0.0602805	0.103981	0.0813379	0.0766488	0.0756326	0.0690247	0.0898499	0.141907	0.241591
