 	papa	m'	a	envoyé	planter	un	safoutier	dans	la	parcelle	</S>
a66	0.362132	0.196581	0.106682	0.08495	0.0601192	0.0559284	0.0513119	0.0284512	0.0199087	0.0174137	0.0165215
a87	0.394009	0.128832	0.0643234	0.0518101	0.0369655	0.0329103	0.0384488	0.0400594	0.0623074	0.0773755	0.0729587
a97	0.21768	0.107513	0.0644335	0.0479929	0.0360127	0.0275562	0.0344148	0.0480062	0.086208	0.147773	0.182409
a87	0.217918	0.132902	0.0655168	0.0416337	0.0230699	0.0160355	0.0234828	0.0439788	0.0967979	0.148618	0.190047
a97	0.221335	0.120023	0.0622691	0.0461176	0.0295431	0.0224237	0.0304154	0.0490791	0.0992489	0.144104	0.175441
a79	0.163342	0.110687	0.0643002	0.048323	0.0318603	0.0244891	0.0357841	0.0602006	0.115025	0.162527	0.183462
a54	0.167037	0.106633	0.0541403	0.029179	0.0236349	0.018957	0.0299858	0.0535911	0.103735	0.18013	0.232977
a6	0.253158	0.238954	0.126201	0.0660674	0.0552488	0.0317793	0.0374789	0.0387431	0.0441656	0.0522625	0.0559415
a36	0.151232	0.247594	0.179964	0.0905693	0.090885	0.0453229	0.0494414	0.0413678	0.0365884	0.0335193	0.0335154
a0	0.133395	0.269976	0.211033	0.108224	0.091982	0.0429358	0.0406661	0.0307742	0.0244307	0.0231181	0.0234639
a56	0.12459	0.20531	0.180478	0.112774	0.090335	0.0488052	0.0570293	0.0487738	0.0415924	0.0431076	0.0472044
a70	0.129916	0.197505	0.185925	0.124156	0.127848	0.0668356	0.0541035	0.0332497	0.0255625	0.02524	0.0296582
a96	0.117382	0.168253	0.174985	0.132854	0.122841	0.0627153	0.054682	0.0406071	0.0357557	0.0403103	0.0496147
a93	0.0934662	0.136555	0.155891	0.137097	0.132925	0.0756283	0.0682346	0.0488635	0.042968	0.0484285	0.0599424
a4	0.0828771	0.113647	0.136225	0.139087	0.16141	0.100314	0.0802281	0.0518416	0.0411725	0.0425837	0.0506138
a57	0.0482233	0.0619512	0.0857081	0.132957	0.151813	0.136128	0.116923	0.0777585	0.0589372	0.0601631	0.0694371
a38	0.0332942	0.0454884	0.0700933	0.119843	0.128246	0.14734	0.122694	0.0760058	0.0649744	0.0826066	0.109414
a61	0.0258714	0.0298093	0.0405863	0.0904499	0.107518	0.129781	0.111756	0.0830953	0.0832945	0.123404	0.174434
a75	0.0208267	0.0210859	0.0314195	0.0784953	0.111379	0.156205	0.15779	0.118507	0.0860156	0.0972152	0.12106
a25	0.00634466	0.00785089	0.014417	0.0418858	0.0803429	0.132831	0.128956	0.15153	0.123918	0.132989	0.178934
a56	0.00288753	0.00378813	0.00798039	0.0247563	0.0487739	0.105122	0.131857	0.169237	0.12886	0.147555	0.229183
a75	0.00295034	0.00289128	0.00489848	0.016319	0.0276374	0.0655574	0.099101	0.168492	0.149598	0.18714	0.275414
a85	0.00204645	0.00246309	0.00489221	0.0147018	0.0296505	0.0623376	0.0878792	0.1509	0.140122	0.184868	0.32014
a6	0.0020797	0.00286167	0.00585752	0.0156545	0.0316363	0.0636243	0.0812091	0.14831	0.14482	0.191872	0.312075
a0	0.000919109	0.000761555	0.00150857	0.00460792	0.00745607	0.0193482	0.0387623	0.116971	0.163911	0.255902	0.389853
a75	0.0016293	0.000861893	0.00152106	0.0046253	0.00675173	0.017921	0.0346707	0.109814	0.161455	0.258068	0.402682
a61	0.000846793	0.000590879	0.00108867	0.00311949	0.00515498	0.01297	0.0260213	0.09607	0.171872	0.262511	0.419755
a11	0.00172237	0.00104991	0.00182008	0.00497567	0.00700055	0.016443	0.0270756	0.0925952	0.162401	0.271755	0.413161
a13	0.00271179	0.00167944	0.00264039	0.0050159	0.00626435	0.0138578	0.0259281	0.0814915	0.144806	0.261658	0.453947
a38	0.00574217	0.00326836	0.00471575	0.00692793	0.00887871	0.0203599	0.0409031	0.108739	0.162342	0.248329	0.389793
a9	0.00249549	0.00129952	0.00208576	0.00349292	0.00437683	0.0105327	0.0215576	0.0787622	0.157415	0.28226	0.435722
a97	0.0318724	0.0209584	0.0246837	0.0280162	0.0317503	0.0558731	0.0807024	0.109248	0.125142	0.192388	0.299366
a9	0.0740117	0.0326635	0.0255203	0.0263259	0.0271917	0.0400634	0.0539233	0.07385	0.107022	0.198792	0.340636
a97	0.105566	0.0439063	0.0278506	0.0281462	0.0273627	0.0408498	0.0579086	0.0874568	0.125017	0.178159	0.277777
</S>	0.0648843	0.0292318	0.0191112	0.0240484	0.0242358	0.0381514	0.0597996	0.103793	0.161016	0.213525	0.262204
