 	on	brûle	les	herbes	</S>
a23	0.309593	0.148253	0.135006	0.148157	0.258991
a40	0.314341	0.11826	0.118418	0.188773	0.260207
a37	0.190587	0.163003	0.195343	0.236658	0.214409
a2	0.484761	0.172292	0.115711	0.120481	0.106755
a70	0.276601	0.193515	0.143444	0.175507	0.210934
a83	0.235828	0.216418	0.162076	0.178675	0.207003
a54	0.137808	0.179143	0.184705	0.225028	0.273316
a44	0.114411	0.167932	0.198707	0.236462	0.282488
a7	0.106353	0.178866	0.212832	0.231491	0.270458
a11	0.0542173	0.122463	0.191195	0.263838	0.368287
a83	0.0400618	0.078559	0.150395	0.273681	0.457303
a99	0.0378432	0.0750257	0.141178	0.274216	0.471737
a9	0.0365436	0.0632953	0.128337	0.253051	0.518773
a87	0.0377876	0.0454384	0.0804544	0.220908	0.615411
a23	0.125984	0.130074	0.151286	0.198426	0.394231
a87	0.168054	0.155466	0.172903	0.199516	0.304061
</S>	0.0914	0.132827	0.192308	0.231102	0.352363
