 	quel	est	son	métier	</S>
a66	0.629446	0.175059	0.080345	0.0525651	0.0625849
a87	0.185099	0.162953	0.187271	0.257763	0.206915
a79	0.373456	0.204561	0.144274	0.166183	0.111526
a12	0.502283	0.239838	0.131044	0.0775102	0.0493246
a43	0.58422	0.219198	0.101035	0.0589995	0.0365475
a75	0.445065	0.262599	0.157336	0.0841124	0.0508882
a85	0.350661	0.274042	0.194676	0.104459	0.0761618
a5	0.244422	0.245083	0.224653	0.165073	0.120768
a85	0.24512	0.205202	0.185751	0.174613	0.189315
a92	0.14116	0.149547	0.192877	0.252581	0.263835
a61	0.123242	0.143579	0.186882	0.248375	0.297922
a31	0.0529111	0.0888627	0.160216	0.317319	0.380691
a88	0.0225303	0.0479119	0.107338	0.30963	0.51259
a24	0.0094359	0.0192782	0.0493484	0.212928	0.709009
a88	0.00714154	0.0151978	0.0449595	0.213635	0.719066
a71	0.00450293	0.0111404	0.0384252	0.19909	0.746842
a9	0.023199	0.0450162	0.100963	0.260809	0.570013
a87	0.0910188	0.119638	0.168749	0.260883	0.359711
a23	0.280524	0.204765	0.164757	0.153681	0.196274
a99	0.0814495	0.091464	0.133044	0.265266	0.428776
a10	0.0262176	0.0396845	0.0804391	0.281089	0.57257
</S>	0.0183832	0.031385	0.0727425	0.297372	0.580117
