 	j'	ai	occupé	une	place	dans	la	plaine	là-bas	pour	faire	un	champ	</S>
a66	0.266743	0.20514	0.145762	0.104449	0.0647061	0.0339418	0.0220879	0.020283	0.0226433	0.0239557	0.0248599	0.0211895	0.0215516	0.0226873
a87	0.310715	0.116753	0.0704342	0.0943359	0.0687194	0.0390825	0.0364312	0.0345128	0.0341656	0.0339204	0.0332964	0.0345728	0.0454171	0.0476435
a23	0.353502	0.212981	0.204058	0.0639957	0.0286832	0.0201204	0.0194104	0.015494	0.0144502	0.0142653	0.0128831	0.011632	0.0140403	0.0144853
a83	0.28184	0.214329	0.212299	0.0489168	0.0140475	0.0154576	0.0178439	0.020651	0.0276211	0.0267225	0.0262777	0.0282668	0.0339143	0.0318122
a61	0.274455	0.197007	0.145196	0.0587919	0.0279951	0.030567	0.0326185	0.0365009	0.0351698	0.0287153	0.0253532	0.0291933	0.039719	0.0387179
a12	0.243342	0.156102	0.131113	0.163818	0.0775858	0.0701802	0.0399566	0.0290011	0.0205606	0.0137457	0.0134873	0.013249	0.0145952	0.0132633
a18	0.137167	0.112042	0.083869	0.20368	0.133419	0.117723	0.0539073	0.0426542	0.0269195	0.0175417	0.0171449	0.0168403	0.0194946	0.0175971
a94	0.107483	0.110109	0.0725865	0.119991	0.0915309	0.136078	0.0818675	0.0664423	0.0481336	0.0377918	0.033315	0.0301485	0.0319782	0.0325459
a93	0.0729289	0.0655282	0.0327761	0.106755	0.127842	0.168338	0.0948853	0.0814293	0.0543413	0.0431537	0.0379211	0.0342253	0.0384256	0.0414497
a90	0.0562705	0.0361461	0.0176663	0.0950269	0.130674	0.196457	0.114733	0.0913697	0.0606056	0.046328	0.0392063	0.034931	0.0382977	0.0422884
a98	0.0254237	0.0147635	0.00723488	0.0365611	0.0838261	0.18654	0.150285	0.123083	0.0870228	0.0680665	0.0559087	0.0484128	0.0526336	0.060238
a85	0.0155633	0.00836124	0.00484245	0.0129874	0.0282562	0.091822	0.121187	0.115099	0.119562	0.112219	0.0963128	0.0844526	0.0875011	0.101834
a92	0.00604152	0.00221639	0.00136232	0.00251511	0.00603851	0.0324914	0.0857249	0.10916	0.139699	0.143921	0.122139	0.104562	0.111948	0.13218
a79	0.00320321	0.00101896	0.00060855	0.00131341	0.00580904	0.0369135	0.0898931	0.107821	0.128171	0.137735	0.119423	0.104281	0.120897	0.142911
a75	0.00204398	0.000598026	0.000342498	0.000732621	0.00363503	0.0233827	0.0698483	0.0916168	0.134026	0.161774	0.133389	0.110358	0.122051	0.146201
a6	0.000768327	0.000183718	0.000101516	0.000226923	0.00154859	0.0109263	0.0429495	0.0606172	0.101424	0.137281	0.129536	0.125964	0.168563	0.21991
a25	0.000673221	0.000146443	8.10001e-05	0.000271265	0.00244634	0.012275	0.0417975	0.0548884	0.0863655	0.120553	0.129745	0.135997	0.184844	0.229916
a92	0.000231922	4.64513e-05	2.5082e-05	7.73857e-05	0.00124536	0.00789022	0.0321445	0.0443143	0.0726392	0.10592	0.11562	0.138933	0.209227	0.271686
a25	0.000400386	7.90682e-05	3.77267e-05	9.89846e-05	0.00160251	0.00598959	0.0221132	0.0335666	0.0564552	0.0860516	0.113502	0.161708	0.226658	0.291736
a56	0.000102489	1.50799e-05	6.95229e-06	2.36731e-05	0.000723384	0.00444397	0.0218715	0.0306874	0.0465727	0.0677677	0.0842811	0.12719	0.240218	0.376096
a90	0.000398133	5.13838e-05	1.62316e-05	6.96835e-05	0.00240296	0.00910339	0.0239895	0.0313988	0.0498546	0.0716524	0.0906116	0.13812	0.227473	0.354858
a69	0.000329217	4.26573e-05	1.23654e-05	5.95191e-05	0.00167328	0.00717758	0.0244164	0.0372269	0.0611644	0.0868846	0.10944	0.139966	0.211313	0.320293
a44	0.000191965	3.11539e-05	1.18141e-05	4.91773e-05	0.00154923	0.00600983	0.0209297	0.0332338	0.0574	0.080768	0.101669	0.133724	0.221295	0.343137
a70	0.000376273	5.74627e-05	1.18816e-05	7.7141e-05	0.00304695	0.00952336	0.0249842	0.036468	0.0560437	0.073465	0.0918807	0.135802	0.24085	0.327413
a71	0.000627953	0.000100933	2.31964e-05	0.000151356	0.00418561	0.00858239	0.0220391	0.0364225	0.0556205	0.0726749	0.0984945	0.149658	0.237314	0.314105
a3	0.00942151	0.00192343	0.000592947	0.00155147	0.03302	0.0496717	0.0758414	0.0877618	0.10475	0.105222	0.0997736	0.113108	0.138234	0.179128
a87	0.204602	0.132091	0.108243	0.0526903	0.056169	0.0545509	0.0586011	0.0518881	0.0542336	0.052246	0.0395981	0.0369194	0.0423921	0.0557764
a23	0.273952	0.196153	0.147972	0.126664	0.0619197	0.0397726	0.0278328	0.0218786	0.0198745	0.0181926	0.0155869	0.0136361	0.0160795	0.0204866
a99	0.0334956	0.0200761	0.0180606	0.00936496	0.0111236	0.0140762	0.0278816	0.0362623	0.0482358	0.0672511	0.0939564	0.134375	0.201807	0.284035
a38	0.0133629	0.00722564	0.00615034	0.00338994	0.00594303	0.00914821	0.0171797	0.023797	0.0353018	0.0590543	0.0905645	0.149948	0.236663	0.342272
</S>	0.00281994	0.00200535	0.00158965	0.0016547	0.00440369	0.00865742	0.017398	0.0264026	0.0441448	0.0754102	0.113305	0.166275	0.232092	0.303841
