 	j'	ai	perdu	mon	acte	de	naissance	</S>
a85	0.267281	0.134381	0.108426	0.106751	0.114272	0.113016	0.0954493	0.0604228
a87	0.285262	0.141864	0.113037	0.181428	0.153202	0.0691091	0.0312324	0.0248658
a23	0.178361	0.186017	0.176384	0.16238	0.132353	0.0675378	0.0413607	0.0556059
a83	0.253063	0.282841	0.206972	0.137008	0.070114	0.0209239	0.0127435	0.0163344
a24	0.412783	0.251657	0.140557	0.109427	0.059873	0.0162078	0.00570889	0.0037864
a31	0.357719	0.332138	0.160396	0.093987	0.0371202	0.0109278	0.00431327	0.00339826
a61	0.326334	0.310115	0.171934	0.0961546	0.0471647	0.0244304	0.0125903	0.0112772
a88	0.256233	0.257643	0.202381	0.132947	0.0722752	0.0415631	0.0202817	0.0166765
a43	0.165425	0.172802	0.196454	0.160437	0.116443	0.0896106	0.0519501	0.0468774
a75	0.114243	0.117916	0.151349	0.17208	0.159383	0.136947	0.079823	0.0682594
a43	0.16288	0.14724	0.176336	0.219808	0.168527	0.0778706	0.026943	0.0203958
a11	0.124335	0.0990454	0.122832	0.185569	0.20365	0.145312	0.0637794	0.0554773
a75	0.0848589	0.0684843	0.0953524	0.159695	0.212788	0.192731	0.0985271	0.0875631
a85	0.0755559	0.065027	0.0969996	0.167945	0.21736	0.176803	0.107541	0.0927676
a5	0.0442179	0.0436966	0.0676122	0.135744	0.21876	0.205322	0.148021	0.136626
a27	0.0738534	0.0645188	0.0711334	0.0981277	0.160132	0.204724	0.160787	0.166724
a75	0.02074	0.0145882	0.0189417	0.0360759	0.091964	0.247412	0.28219	0.288089
a85	0.0214883	0.0148618	0.0183945	0.0297286	0.0633287	0.210892	0.297405	0.343901
a11	0.0210879	0.0166085	0.0205871	0.0329259	0.0701851	0.221845	0.297654	0.319106
a75	0.00847869	0.00569833	0.00815057	0.0161357	0.0431006	0.145493	0.333822	0.439121
a85	0.00546299	0.00385651	0.00480508	0.00858604	0.0210907	0.0881028	0.31898	0.549116
a47	0.00312373	0.00231936	0.00280869	0.00630576	0.0190154	0.0844148	0.310507	0.571505
a44	0.0062906	0.0047945	0.00478472	0.0119574	0.0347456	0.0903698	0.27543	0.571627
a66	0.0024457	0.00203183	0.00258895	0.00717959	0.0230138	0.0659541	0.229019	0.667767
a11	0.00962013	0.00651421	0.00445867	0.00985311	0.0168468	0.0461082	0.226614	0.679985
a56	0.00475075	0.00290578	0.00206722	0.00510708	0.0101264	0.0286882	0.206986	0.739369
a34	0.0023943	0.00121249	0.00129674	0.0043518	0.0147592	0.0487869	0.21857	0.708628
a98	0.00251764	0.00139766	0.0015143	0.00440941	0.0136165	0.0504886	0.229393	0.696663
a36	0.00396058	0.00247224	0.00282505	0.00984756	0.0258627	0.0745794	0.270357	0.610096
a57	0.00486634	0.00341636	0.00251234	0.00570197	0.0118609	0.0443977	0.250353	0.676892
a87	0.0425061	0.0326655	0.021824	0.0330666	0.048141	0.0684608	0.197571	0.555765
a23	0.150451	0.0965461	0.0615002	0.0877233	0.112708	0.12103	0.170727	0.199314
a87	0.159691	0.0837625	0.0541791	0.103286	0.120837	0.128397	0.178661	0.171187
</S>	0.0662358	0.0433444	0.0259046	0.0604291	0.12174	0.158185	0.211516	0.312645
