 	cette	source	est	poissonneuse	</S>
a66	0.488282	0.316169	0.0795551	0.0722796	0.043715
a87	0.548201	0.197286	0.149347	0.0800335	0.0251326
a23	0.560618	0.262386	0.11742	0.040167	0.0194098
a13	0.46061	0.399576	0.0845556	0.0302174	0.0250414
a70	0.385903	0.36612	0.131506	0.0603778	0.0560929
a75	0.369483	0.390699	0.159752	0.0446909	0.0353755
a56	0.294119	0.502506	0.15073	0.0312782	0.0213669
a94	0.167315	0.501819	0.244698	0.0588403	0.0273267
a25	0.105445	0.268196	0.421639	0.147232	0.0574876
a53	0.101964	0.18535	0.414098	0.198208	0.10038
a93	0.0704952	0.0994275	0.401533	0.306389	0.122156
a44	0.0817978	0.0802764	0.293491	0.390527	0.153907
a75	0.0455225	0.0369906	0.149235	0.513093	0.255159
a61	0.0267496	0.0263213	0.0654328	0.422422	0.459074
a75	0.0187367	0.0161481	0.0381525	0.372711	0.554252
a85	0.0143097	0.0120607	0.0292466	0.30464	0.639743
a6	0.0058477	0.00588605	0.0192162	0.266903	0.702148
a0	0.00546751	0.00330529	0.00994333	0.237658	0.743626
a11	0.00626935	0.00300583	0.0121291	0.196221	0.782375
a88	0.0419952	0.0303206	0.0559388	0.242383	0.629362
a71	0.0412429	0.0287215	0.0627795	0.248026	0.61923
a9	0.115665	0.089372	0.145968	0.25685	0.392145
a87	0.363048	0.17399	0.173642	0.156198	0.133122
a23	0.350897	0.230574	0.148924	0.153256	0.116349
a87	0.265351	0.107037	0.0651693	0.187013	0.375429
a23	0.0787587	0.0412733	0.0357402	0.252751	0.591477
</S>	0.150098	0.105097	0.0643467	0.25974	0.420718
