 	il	y	a	une	semaine	de	cela	qu'	il	est	parti	à	brazaville	</S>
a66	0.188031	0.153898	0.136779	0.093373	0.0806433	0.0761937	0.0769561	0.0701933	0.0408118	0.0268368	0.0199952	0.0150813	0.0110621	0.0101458
a87	0.200111	0.182373	0.139522	0.133885	0.114241	0.0703853	0.0355569	0.0267883	0.0156738	0.0144822	0.0131874	0.0158301	0.0177141	0.0202499
a23	0.201503	0.173832	0.159712	0.120536	0.0781041	0.047301	0.0346318	0.0289377	0.0239901	0.0239672	0.0222177	0.0268838	0.0271249	0.0312591
a61	0.147594	0.132761	0.141089	0.120084	0.112693	0.0443879	0.0351626	0.025705	0.0226121	0.0323533	0.0397763	0.0468681	0.0473724	0.0515424
a88	0.204924	0.163657	0.173047	0.138416	0.0843804	0.0408221	0.0290624	0.0211371	0.018804	0.0238479	0.0285747	0.0281335	0.0229882	0.0222054
a62	0.184285	0.184219	0.233185	0.186332	0.0958847	0.0427588	0.0227561	0.0101307	0.00744278	0.0083513	0.00925953	0.00804313	0.00418168	0.00317001
a93	0.134934	0.156389	0.210654	0.207064	0.112553	0.0593745	0.0388067	0.0179424	0.0113854	0.0117058	0.0120935	0.0123831	0.00830298	0.00641174
a90	0.120125	0.141341	0.189288	0.194791	0.132568	0.078741	0.0495105	0.0211162	0.0123641	0.0124283	0.0125393	0.013993	0.0119962	0.00919809
a98	0.0954202	0.116661	0.159109	0.179236	0.13517	0.106919	0.0706937	0.0283797	0.0158478	0.0151513	0.016193	0.0204566	0.0218734	0.0188886
a92	0.0474139	0.0602356	0.0859265	0.124891	0.156974	0.160931	0.135561	0.0712543	0.0411229	0.0262106	0.0221841	0.0226322	0.02104	0.0236226
a56	0.0581341	0.0578636	0.0719446	0.0902066	0.155656	0.178296	0.151171	0.0698188	0.0371305	0.0256129	0.0234045	0.024997	0.0275532	0.0282105
a21	0.0597142	0.0510807	0.0594459	0.0790501	0.170093	0.180547	0.167945	0.0803071	0.0381171	0.0239796	0.0215352	0.0223832	0.0225442	0.0232586
a5	0.0199974	0.0156679	0.0196619	0.0315918	0.100896	0.144481	0.182972	0.119472	0.0798858	0.0557958	0.0508792	0.0550973	0.0568287	0.0667726
a92	0.0147485	0.0108278	0.0141019	0.0214813	0.0581643	0.0915891	0.152304	0.137474	0.107468	0.0774694	0.0717904	0.074428	0.0765658	0.0915875
a85	0.0119647	0.00830161	0.0111413	0.0171817	0.0396743	0.0721738	0.124834	0.140842	0.133652	0.102796	0.0918847	0.0818105	0.0744533	0.0892901
a37	0.012757	0.00811447	0.00976758	0.0132299	0.0268558	0.0606043	0.113142	0.150033	0.148657	0.100227	0.0877886	0.0839592	0.0761851	0.10868
a56	0.0209543	0.0127725	0.0146615	0.0179172	0.0343846	0.0515121	0.0822406	0.111445	0.121831	0.0867224	0.0854367	0.0940163	0.108658	0.157448
a34	0.0113434	0.00622716	0.00657671	0.0072375	0.0150616	0.0302806	0.0553341	0.105002	0.166819	0.137527	0.120079	0.103963	0.101845	0.132704
a85	0.00760556	0.00441362	0.00455174	0.00507916	0.0106792	0.0244587	0.0402726	0.0670366	0.12082	0.12946	0.135824	0.132622	0.137247	0.17993
a47	0.00216243	0.0011624	0.00130646	0.00194099	0.00479252	0.0116554	0.0192117	0.0427303	0.105573	0.128853	0.148272	0.149679	0.152142	0.230519
a36	0.00348387	0.00211858	0.0022728	0.00299939	0.0055748	0.0113509	0.0152186	0.0243912	0.0565645	0.0890075	0.135887	0.174109	0.186339	0.290683
a2	0.0114611	0.00818448	0.00773165	0.00712531	0.00820504	0.0154867	0.0162798	0.0210242	0.0332209	0.0484689	0.077667	0.145299	0.224663	0.375183
a57	0.0274085	0.0241951	0.0220788	0.0211994	0.0163622	0.031124	0.0237881	0.0244569	0.0298653	0.0348311	0.0539694	0.0988948	0.191751	0.400075
a87	0.118162	0.0912841	0.0748708	0.0690383	0.0514445	0.0610097	0.0473654	0.0389076	0.0365118	0.0332804	0.0399627	0.055783	0.0954063	0.186973
a23	0.131519	0.109748	0.0917259	0.0964894	0.0877199	0.0754675	0.0528795	0.047974	0.0452075	0.0401394	0.0407901	0.0472077	0.0562898	0.0768415
a87	0.0586455	0.0447203	0.0376796	0.0381738	0.04081	0.0311863	0.0234275	0.0266731	0.0453632	0.0648057	0.0813015	0.124967	0.141841	0.240406
</S>	0.018051	0.0131942	0.0113219	0.0117681	0.0171622	0.0169702	0.0135159	0.0181767	0.0336596	0.0459048	0.0667671	0.128443	0.215701	0.389364
