 	il	a	les	sourcils	en	broussaille	</S>
a85	0.429765	0.268792	0.150797	0.0796409	0.0266691	0.0211904	0.0231458
a87	0.48796	0.190027	0.112439	0.0960269	0.0515387	0.0303757	0.0316327
a23	0.329361	0.208648	0.176686	0.114072	0.0703902	0.0436462	0.0571978
a13	0.261788	0.182176	0.141946	0.0941403	0.0566195	0.0781034	0.185227
a20	0.333466	0.301779	0.212682	0.0964313	0.0221588	0.0159815	0.0175014
a30	0.218664	0.306706	0.286004	0.127306	0.0413947	0.0116017	0.00832321
a2	0.202402	0.256087	0.271813	0.162473	0.0738471	0.0193425	0.0140355
a94	0.146746	0.158493	0.201698	0.180326	0.127878	0.0864935	0.0983657
a24	0.175669	0.170561	0.201111	0.190507	0.148009	0.0616946	0.0524487
a32	0.175919	0.15063	0.183755	0.158277	0.165305	0.0958612	0.0702529
a10	0.13752	0.1441	0.199735	0.169388	0.168835	0.102876	0.0775455
a26	0.0809059	0.0782707	0.115437	0.122073	0.169491	0.206705	0.227117
a24	0.0952749	0.0888417	0.116495	0.111773	0.174486	0.191265	0.221864
a26	0.0711065	0.0648332	0.0908667	0.0846198	0.146472	0.230498	0.311604
a32	0.0412562	0.0309838	0.0429017	0.0455894	0.141595	0.284317	0.413357
a0	0.0339569	0.0275575	0.0360442	0.0399836	0.115888	0.285649	0.46092
a38	0.0387727	0.0268416	0.0258628	0.0233442	0.0865478	0.284999	0.513632
a94	0.0144774	0.00914203	0.00870517	0.0100826	0.0734119	0.314187	0.569994
a98	0.00829207	0.00476418	0.00459951	0.0067828	0.0554074	0.300944	0.61921
a94	0.00384057	0.00212249	0.00280916	0.00617523	0.0647744	0.334778	0.5855
a4	0.00369725	0.00186033	0.00239805	0.00548602	0.051032	0.298626	0.6369
a13	0.00430199	0.00222	0.00297357	0.0065524	0.053221	0.275019	0.655712
a3	0.00623142	0.00264661	0.00271531	0.00634632	0.0449187	0.245711	0.691431
a87	0.00752708	0.00380091	0.00372988	0.00716247	0.0340334	0.227008	0.716738
</S>	0.0054006	0.00288231	0.00325035	0.00672767	0.0223906	0.186726	0.772622
