 	il	l'	a	rangé	au-dessous	</S>
a79	0.402876	0.153034	0.0821866	0.0740604	0.110492	0.177351
a20	0.443799	0.205272	0.121879	0.0584664	0.0641663	0.106417
a41	0.266321	0.205478	0.178092	0.148254	0.124142	0.0777148
a2	0.447881	0.3116	0.15075	0.0474379	0.0261729	0.0161589
a75	0.436122	0.308852	0.139451	0.0444545	0.0355856	0.0355349
a61	0.329693	0.247001	0.141638	0.0973965	0.0887235	0.095548
a70	0.236408	0.234948	0.201031	0.137208	0.0933835	0.0970215
a98	0.16935	0.166459	0.161189	0.176313	0.144579	0.18211
a94	0.121431	0.11569	0.124877	0.174225	0.191573	0.272203
a90	0.112283	0.0987713	0.105889	0.188805	0.209054	0.285197
a56	0.0716825	0.0782375	0.0942713	0.202326	0.242058	0.311424
a13	0.0495425	0.0586945	0.0779489	0.191278	0.25428	0.368257
a38	0.0219633	0.0282699	0.0413766	0.115422	0.239151	0.553817
a0	0.0229883	0.0291493	0.0441267	0.110204	0.223311	0.570221
a47	0.0213216	0.0223612	0.0303193	0.0645729	0.180852	0.680573
a98	0.014725	0.0167119	0.0253438	0.0624758	0.179384	0.70136
a71	0.00521371	0.00732246	0.0158179	0.0669528	0.20633	0.698364
a9	0.00359498	0.00466826	0.00948021	0.0305534	0.153022	0.798682
a87	0.0171265	0.0158107	0.0225969	0.0443151	0.162888	0.737263
</S>	0.108331	0.0875176	0.0881328	0.0997208	0.165323	0.450974
