 	il	est	blessant	sans	s'	en	rendre	compte	</S>
a23	0.325984	0.176349	0.0961725	0.100914	0.0696753	0.0559243	0.0416135	0.0520193	0.0813481
a87	0.309003	0.225792	0.126229	0.0769629	0.0427171	0.0445238	0.0349427	0.0512376	0.0885911
a23	0.135661	0.138409	0.0923072	0.077196	0.0573701	0.0731468	0.0773374	0.135261	0.213311
a20	0.195302	0.142636	0.0587431	0.041293	0.0342858	0.0487942	0.0541146	0.129969	0.294863
a7	0.59278	0.218027	0.0456584	0.0258542	0.0189217	0.0201246	0.0191535	0.0247072	0.0347732
a30	0.405001	0.270884	0.114746	0.0719909	0.0366485	0.0326324	0.0232899	0.0219007	0.022906
a73	0.253498	0.214382	0.145891	0.111047	0.0663429	0.0631751	0.0499218	0.0480005	0.0477416
a84	0.20504	0.185661	0.154818	0.131709	0.0843709	0.0784403	0.0559984	0.0507057	0.0532562
a53	0.106537	0.103243	0.150862	0.160645	0.0998201	0.0813706	0.0743352	0.0928799	0.130307
a20	0.165637	0.18639	0.131649	0.119804	0.0872413	0.0864215	0.0749156	0.0716445	0.0762983
a32	0.176679	0.208359	0.138557	0.122614	0.105116	0.0974118	0.0681903	0.0442634	0.0388101
a54	0.183957	0.225875	0.193804	0.153706	0.0917058	0.0614303	0.0350541	0.0255595	0.0289098
a73	0.146876	0.193494	0.152466	0.132044	0.106764	0.0927714	0.0702844	0.0513317	0.053968
a20	0.162398	0.226814	0.180349	0.144176	0.0907159	0.073134	0.0467694	0.0356461	0.0399978
a58	0.11244	0.148456	0.157175	0.142759	0.112191	0.0978024	0.0796401	0.0663027	0.0832332
a20	0.105753	0.156992	0.186576	0.181462	0.108944	0.0875715	0.0534497	0.0481994	0.0710514
a73	0.0874963	0.102412	0.112212	0.12973	0.112465	0.111091	0.106879	0.107427	0.130287
a94	0.0749157	0.0918342	0.112735	0.137845	0.11064	0.102761	0.10337	0.117925	0.147974
a12	0.0793903	0.0928851	0.107331	0.154854	0.13051	0.117756	0.0920164	0.0940698	0.131188
a18	0.0505285	0.0641676	0.0982134	0.14745	0.149958	0.13427	0.112884	0.121137	0.121391
a57	0.0692375	0.0734035	0.0790878	0.131208	0.15103	0.153097	0.107228	0.099004	0.136704
a25	0.0248465	0.0336985	0.0785683	0.18617	0.205566	0.185054	0.108144	0.0803666	0.0975864
a10	0.0450122	0.0442154	0.0584807	0.102554	0.11359	0.118529	0.104662	0.137904	0.275054
a75	0.0219029	0.0240571	0.0368816	0.0749388	0.0833328	0.10279	0.106859	0.183722	0.365516
a41	0.0394632	0.0433	0.0664321	0.116454	0.117657	0.107685	0.0991664	0.152401	0.257441
a94	0.037655	0.0419641	0.0563057	0.097959	0.110266	0.113047	0.101015	0.147176	0.294612
a54	0.0409411	0.0450756	0.0522463	0.0889332	0.107987	0.124782	0.105923	0.145317	0.288796
a73	0.0350567	0.0366962	0.0421554	0.0620693	0.0787957	0.0893046	0.111819	0.195265	0.348837
a84	0.0224583	0.0250765	0.0322302	0.0656878	0.0963366	0.112062	0.124162	0.194718	0.327269
a57	0.00733884	0.0101	0.0161398	0.0446502	0.068145	0.100344	0.122236	0.214812	0.416235
a87	0.0109503	0.0114374	0.015499	0.0295711	0.0502889	0.0794314	0.118595	0.217196	0.467031
a23	0.00515094	0.00499457	0.00769767	0.0137677	0.0256375	0.0388849	0.0784093	0.229928	0.595529
a40	0.00488654	0.00417858	0.00679265	0.0150274	0.0384291	0.0616277	0.10433	0.230121	0.534607
a73	0.0453527	0.0323712	0.0294443	0.0486853	0.0536909	0.0536202	0.0549392	0.153603	0.528293
a44	0.0198237	0.0302648	0.0598515	0.107881	0.106213	0.098404	0.0837457	0.139223	0.354592
a26	0.0171035	0.0240419	0.0435276	0.0794474	0.099754	0.106385	0.0992443	0.153924	0.376572
a20	0.00646335	0.00850392	0.0180854	0.0409134	0.0641717	0.0840768	0.103508	0.195695	0.478583
a94	0.0122761	0.0161511	0.0245971	0.0460707	0.0642703	0.0836425	0.0961612	0.173341	0.48349
a24	0.00519882	0.00737314	0.014934	0.0316167	0.045819	0.0627616	0.0855229	0.182195	0.564578
a41	0.00336605	0.00446592	0.00968535	0.0233517	0.0366496	0.0558621	0.0869413	0.202059	0.577619
a20	0.00226105	0.00287223	0.00633204	0.0180541	0.0305781	0.049927	0.0826406	0.209482	0.597853
a73	0.00295334	0.00418879	0.00915815	0.0229753	0.0356069	0.0523105	0.0803339	0.187379	0.605094
a2	0.00296195	0.00420957	0.00945472	0.0235522	0.0374946	0.055653	0.0877702	0.194357	0.584546
a54	0.00243813	0.00289162	0.0051969	0.0124265	0.0252365	0.040625	0.0972037	0.255849	0.558133
a73	0.00619509	0.00829621	0.0139718	0.032148	0.0467501	0.0698652	0.0903919	0.188088	0.544294
a84	0.00279688	0.0039584	0.00963649	0.0246532	0.0385121	0.0582619	0.095902	0.213942	0.552337
a57	0.00164331	0.0019876	0.00305993	0.00830472	0.0177737	0.0308056	0.0775167	0.259935	0.598973
a87	0.00200775	0.00172627	0.00206969	0.00454129	0.0137257	0.0260536	0.0871581	0.289105	0.573612
</S>	0.00696372	0.00422496	0.00265421	0.00525304	0.0155893	0.0322198	0.0806415	0.232977	0.619477
