 	l'	homme	partit	le	fusil	en	bandoulière	</S>
a97	0.314699	0.140599	0.0846471	0.0968533	0.092354	0.104815	0.0896294	0.076403
a87	0.295535	0.153895	0.126836	0.0958781	0.0693185	0.0738142	0.0855236	0.0991992
a99	0.304213	0.172328	0.129716	0.0912724	0.0760713	0.0814988	0.0725108	0.072389
a83	0.404079	0.228615	0.121989	0.0785058	0.0535063	0.043632	0.0319436	0.0377282
a56	0.320379	0.252957	0.129785	0.0668105	0.0496204	0.0575167	0.0587889	0.0641426
a21	0.411928	0.330558	0.129058	0.051129	0.0298288	0.0231331	0.0145581	0.00980641
a18	0.429129	0.352221	0.123934	0.0447423	0.0230649	0.0146913	0.00718774	0.00502971
a38	0.275193	0.313517	0.202799	0.0892382	0.0472706	0.0353101	0.0203913	0.0162813
a21	0.173496	0.231901	0.211474	0.119779	0.086297	0.07807	0.0533564	0.045627
a96	0.198298	0.261446	0.231438	0.121774	0.0753735	0.0570398	0.0291751	0.0254561
a34	0.141258	0.197124	0.249817	0.148863	0.0950472	0.0770203	0.0450268	0.0458433
a75	0.117308	0.14551	0.218409	0.175141	0.13242	0.114911	0.0526605	0.0436415
a92	0.0932698	0.0918123	0.131289	0.117978	0.125923	0.150183	0.132063	0.157482
a44	0.056321	0.0496032	0.0719248	0.0849824	0.119075	0.162029	0.192156	0.263908
a26	0.0714144	0.066182	0.108148	0.13621	0.176032	0.183513	0.119451	0.139049
a75	0.0578723	0.0514887	0.0874249	0.116477	0.171428	0.191735	0.139398	0.184177
a5	0.0274397	0.0203336	0.0289723	0.053705	0.115824	0.183531	0.219	0.351195
a61	0.0669405	0.054358	0.0656767	0.0882942	0.145936	0.184727	0.170091	0.223976
a34	0.037728	0.034173	0.047626	0.0702576	0.123473	0.176568	0.206158	0.304017
a62	0.011358	0.0113677	0.019711	0.0357948	0.0785819	0.140914	0.227248	0.475025
a88	0.00654657	0.00696824	0.0143529	0.0291134	0.0685432	0.120144	0.226607	0.527725
a71	0.0033469	0.00326519	0.00637443	0.0148608	0.0394447	0.0931738	0.255997	0.583537
a62	0.00412072	0.00379645	0.00603691	0.0115508	0.0290309	0.0894953	0.222009	0.63396
a0	0.00181971	0.00203305	0.0043632	0.00911005	0.0227779	0.0664701	0.221831	0.671595
a9	0.00484253	0.00477298	0.00787722	0.0159283	0.0365376	0.0819214	0.22102	0.6271
a10	0.0307786	0.0225746	0.0209604	0.0338525	0.0550987	0.0871789	0.198935	0.550621
a87	0.153649	0.0726956	0.0447654	0.0565251	0.07573	0.0980161	0.154243	0.344375
a23	0.170918	0.0956223	0.0612686	0.0685539	0.0850921	0.102848	0.130096	0.285601
a87	0.107934	0.0593212	0.0474157	0.0623789	0.0858402	0.0917705	0.142073	0.403266
</S>	0.016331	0.0134905	0.0245865	0.0425633	0.0738503	0.0900129	0.181743	0.557423
